N,M,n_A,n_B,degA_min,degA_max,degA_regular,degB_min,degB_max,degB_regular,deg_seqs_equal,c_opp_min,c_opp_max,c_opp_target_Nm1,frac_edges_c_opp_eq_Nm1,weighted_sumrule_cv,weighted_sumrule_mean
3,3,2,1,1,2,False,0,1,False,False,1,2,2,0.3333333333333333,4.1061717262544755e-13,1.4142135623730947
4,6,4,2,2,2,True,1,1,True,False,2,4,3,0.0,6.505313262608409e-16,2.82842712474619
5,10,4,6,1,2,False,2,3,False,False,3,6,4,0.3,1.721034978458229e-14,3.74165738677394
6,15,8,7,2,3,False,2,3,False,False,4,6,5,0.5333333333333333,1.4278363136982487e-13,4.868312063574108
7,21,10,11,2,3,False,3,4,False,False,5,7,6,0.7142857142857143,2.3389528800490364e-14,5.938895754950222
8,28,14,14,3,4,False,3,4,False,True,6,8,7,0.5714285714285714,6.86704135167238e-14,6.90389621314764
9,36,18,18,3,5,False,3,5,False,True,6,9,8,0.3888888888888889,6.755032464143163e-14,7.8521327394512435
10,45,23,22,4,5,False,4,5,False,False,8,10,9,0.5333333333333333,1.8771978455099712e-14,8.927744120659579
11,55,26,29,4,6,False,4,6,False,False,8,12,10,0.34545454545454546,7.865850141683032e-14,9.884450696367933
12,66,32,34,4,6,False,5,7,False,False,9,13,11,0.45454545454545453,6.79654258156041e-15,10.90027270821282
13,78,40,38,5,7,False,5,7,False,False,10,13,12,0.5,8.524203873497123e-14,11.934153256645342
14,91,47,44,6,8,False,5,7,False,False,10,15,13,0.3956043956043956,3.692903615152295e-14,12.892081612070728
15,105,51,54,5,8,False,6,9,False,False,11,17,14,0.3142857142857143,3.215973466270764e-14,13.810410835292224
16,120,59,61,6,9,False,6,9,False,False,12,18,15,0.26666666666666666,2.111731644438994e-14,14.800387322898054
17,136,68,68,6,10,False,6,10,False,True,13,19,16,0.2647058823529412,6.155190828736433e-14,15.822304754845826
18,153,76,77,7,11,False,6,10,False,False,13,21,17,0.21568627450980393,2.641098730302617e-14,16.786359456054523
19,171,88,83,7,11,False,7,11,False,False,15,22,18,0.23391812865497075,1.4971839700588205e-14,17.82241146902608
20,190,96,94,8,11,False,8,11,False,False,16,22,19,0.3263157894736842,3.4788570098538453e-14,18.894364432718294
21,210,106,104,8,13,False,7,12,False,False,15,24,20,0.22857142857142856,2.6939838807198738e-14,19.784309466288914
22,231,118,113,10,12,False,9,11,False,False,18,24,21,0.38961038961038963,2.344321495432426e-15,20.934983336391603
23,253,132,121,10,13,False,9,12,False,False,18,26,22,0.22134387351778656,6.6009812748671124e-15,21.864154577116036
24,276,141,135,8,14,False,9,15,False,False,18,27,23,0.17391304347826086,1.265317850993103e-14,22.83836973633975
25,300,149,151,11,14,False,10,13,False,False,21,27,24,0.30666666666666664,3.324699644343977e-14,23.90292588873584
26,325,161,164,10,14,False,11,15,False,False,22,30,25,0.36923076923076925,3.293012508090126e-15,24.908091964328314
27,351,171,180,10,15,False,11,16,False,False,20,31,26,0.17663817663817663,1.3074667382604139e-14,25.762842766164813
28,378,186,192,10,15,False,12,17,False,False,21,32,27,0.23809523809523808,1.2705631525184266e-14,26.84953088542046
29,406,204,202,12,17,False,11,16,False,False,23,32,28,0.29802955665024633,4.311079604375035e-15,27.90222279512012
30,435,218,217,12,17,False,12,17,False,False,25,33,29,0.2827586206896552,1.942056592315392e-14,28.897961754712416
31,465,236,229,12,20,False,10,18,False,False,23,38,30,0.21505376344086022,1.915307213214339e-14,29.779983486541617
32,496,248,248,13,18,False,13,18,False,False,27,35,31,0.25806451612903225,1.4018821670715557e-15,30.90320994300164
33,528,264,264,13,20,False,12,19,False,False,26,37,32,0.2159090909090909,2.0956366054694397e-14,31.84332386258247
34,561,278,283,14,19,False,14,19,False,False,29,38,33,0.20855614973262032,5.019024619948069e-15,32.870273513825275
35,595,300,295,14,19,False,15,20,False,False,29,39,34,0.19663865546218487,2.837168494226454e-15,33.86390902278579
36,630,315,315,14,20,False,15,21,False,False,28,40,35,0.2619047619047619,1.3413642550000387e-14,34.86716036325541
37,666,329,337,14,22,False,14,22,False,False,29,44,36,0.16966966966966968,9.739541505696387e-15,35.78879391050157
38,703,346,357,16,21,False,16,21,False,False,32,42,37,0.1593172119487909,3.420741914656603e-15,36.84294682842612
39,741,371,370,17,21,False,17,21,False,False,34,42,38,0.23751686909581646,3.3530761744691703e-15,37.91176169197803
40,780,393,387,17,22,False,17,22,False,False,34,43,39,0.23846153846153847,1.7007184289132747e-14,38.90466299805243
