idx,i,j,d,family,theta_deg,a,b,r
0,0,1,1,0,0,2.1320071635561044e-01,0.0000000000000000e+00,2.1320071635561044e-01
1,0,2,2,0,0,2.1320071635561044e-01,0.0000000000000000e+00,2.1320071635561044e-01
2,0,3,3,1,90,1.3691967456605066e-17,2.2360679774997896e-01,2.2360679774997896e-01
3,0,4,3,1,90,1.3691967456605066e-17,2.2360679774997896e-01,2.2360679774997896e-01
4,0,5,2,0,0,2.1320071635561044e-01,0.0000000000000000e+00,2.1320071635561044e-01
5,0,6,1,0,0,2.1320071635561044e-01,0.0000000000000000e+00,2.1320071635561044e-01
6,1,2,1,0,0,2.1320071635561044e-01,0.0000000000000000e+00,2.1320071635561044e-01
7,1,3,2,0,0,2.1320071635561044e-01,0.0000000000000000e+00,2.1320071635561044e-01
8,1,4,3,1,90,1.3691967456605066e-17,2.2360679774997896e-01,2.2360679774997896e-01
9,1,5,3,1,90,1.3691967456605066e-17,2.2360679774997896e-01,2.2360679774997896e-01
10,1,6,2,0,0,2.1320071635561044e-01,0.0000000000000000e+00,2.1320071635561044e-01
11,2,3,1,0,0,2.1320071635561044e-01,0.0000000000000000e+00,2.1320071635561044e-01
12,2,4,2,1,90,1.3691967456605066e-17,2.2360679774997896e-01,2.2360679774997896e-01
13,2,5,3,1,90,1.3691967456605066e-17,2.2360679774997896e-01,2.2360679774997896e-01
14,2,6,3,1,90,1.3691967456605066e-17,2.2360679774997896e-01,2.2360679774997896e-01
15,3,4,1,0,0,2.1320071635561044e-01,0.0000000000000000e+00,2.1320071635561044e-01
16,3,5,2,1,90,1.3691967456605066e-17,2.2360679774997896e-01,2.2360679774997896e-01
17,3,6,3,1,90,1.3691967456605066e-17,2.2360679774997896e-01,2.2360679774997896e-01
18,4,5,1,0,0,2.1320071635561044e-01,0.0000000000000000e+00,2.1320071635561044e-01
19,4,6,2,1,90,1.3691967456605066e-17,2.2360679774997896e-01,2.2360679774997896e-01
20,5,6,1,0,0,2.1320071635561044e-01,0.0000000000000000e+00,2.1320071635561044e-01
