step,treat_Hperp,treat_Hperp_frac,treat_PR_M,treat_amp_std
0,2.8504464342579583e-32,4.2756652623588227e-32,1.0000000000000002,0.0
25,6.430388615840047e-31,9.64557302244909e-31,0.9999999999999999,2.613547691566656e-16
50,6.314156272571606e-30,9.471224686517396e-30,1.0,8.060275230453533e-16
75,2.0398400009535704e-29,3.0597568605486073e-29,1.0,1.652175749684289e-15
100,1.6486306542343755e-29,2.47294344284171e-29,1.0,1.466587386380936e-15
125,1.6590981091510143e-29,2.4886446090991796e-29,1.0,1.3146106407463314e-15
150,1.2233034644996241e-29,1.834953313145033e-29,1.0,1.4425780750362253e-15
200,1.393791684634774e-29,2.0906853808353114e-29,0.9999999999999997,2.072705413048317e-15
300,2.2798710463768606e-29,3.419803059091066e-29,0.9999999999999999,2.7774073168908822e-15
500,5.035570343710263e-29,7.553347761951429e-29,1.0,4.3311743487938906e-15
750,1.7035096639012798e-28,2.5552618728409445e-28,1.0000000000000002,8.569209026408331e-15
1000,2.1005698839508605e-28,3.150851591534419e-28,1.0,5.837739457238779e-15
1500,2.387390960666588e-28,3.5810827649698164e-28,1.0000000000000002,9.910256439669761e-15
2000,1.0935713474004316e-27,1.6403553372536356e-27,0.9999999999999997,1.5498252149457176e-14
3000,6.250073002450493e-27,9.3750998800086e-27,0.9999999999999997,3.3259773901354614e-14
4000,1.9302211053988784e-26,2.8953286860041454e-26,1.0,5.539951244380931e-14
5000,3.949461624085538e-26,5.924186354870787e-26,1.0000000000000002,8.226680819734594e-14
7500,3.8655318661143557e-25,5.798291847146352e-25,1.0,2.5267085166646183e-13
10000,9.308338208309264e-25,1.3962492979775712e-24,0.9999999999999999,3.93735043615989e-13
15000,4.66316083405046e-24,6.994734070886088e-24,1.0000000000000002,8.811080757851373e-13
20000,8.657966564158395e-24,1.2986936514971198e-23,0.9999999999999997,1.2011518858354039e-12
25000,4.3136614302161e-24,6.470485503283242e-24,0.9999999999999999,8.477931428971766e-13
30000,2.1723571141550394e-24,3.2585323263052694e-24,0.9999999999999999,6.017220283897871e-13
35000,5.440903367968823e-24,8.161346674220656e-24,0.9999999999999996,9.522944330609582e-13
40000,9.81120092755823e-24,1.4716786284356644e-23,1.0000000000000002,1.278808913194594e-12
