step,R_v0,R_v1,R_v2,R_v3,nulldev_v0,nulldev_v1,nulldev_v2,nulldev_v3
0,0.2886752827592363,0.28867528275923643,0.28867528275923643,0.2886752827592363,1.258719608588775e-16,1.2489996205883287e-16,1.2489996205883287e-16,1.0928746680147875e-16
40,0.2886752827592368,0.28867528275923704,0.28867528275923665,0.2886752827592366,7.016943896633487e-16,4.2470578762134443e-16,6.0917547753047444e-15,7.360923129206459e-15
80,0.2886752827592379,0.28867528275923826,0.28867528275923743,0.28867528275923765,4.8858879233201016e-15,9.193363843947984e-15,9.807828670027572e-15,1.1652471365379827e-14
120,0.2886752827592395,0.28867528275923954,0.288675282759239,0.28867528275923937,4.045414137998991e-15,5.924792817075899e-15,7.862391227843792e-15,1.019628401809483e-14
160,0.28867528275924126,0.2886752827592408,0.2886752827592409,0.28867528275924126,7.410329064118338e-15,4.880796635548307e-15,6.439695364567162e-15,6.87547889814183e-15
200,0.288675282759242,0.2886752827592415,0.28867528275924187,0.2886752827592424,1.9954699028840673e-15,9.363814483724437e-15,1.575399216855766e-14,9.52927956870939e-15
240,0.28867528275924315,0.2886752827592427,0.28867528275924276,0.28867528275924326,7.84755827068971e-15,1.2314607386242852e-14,7.784801729429271e-15,5.0138633551389176e-15
280,0.2886752827592449,0.28867528275924476,0.2886752827592447,0.2886752827592457,2.3195444849441095e-14,1.4055443131194917e-14,3.542213350447561e-15,1.4150740265569991e-14
320,0.28867528275924526,0.28867528275924476,0.288675282759245,0.288675282759246,2.330903713027033e-14,4.703094140090959e-15,1.3060932421208175e-14,1.9143282880867996e-14
360,0.2886752827592451,0.2886752827592447,0.2886752827592451,0.28867528275924614,1.1066385096325844e-14,1.256461812881914e-14,2.6834386970988684e-14,1.589705099495061e-14
400,0.2886752827592458,0.28867528275924537,0.2886752827592459,0.2886752827592468,8.255689085830939e-15,2.4596058332361324e-14,2.872863732641328e-14,1.42734590956574e-14
440,0.28867528275924564,0.28867528275924526,0.28867528275924564,0.2886752827592466,1.935717728764056e-14,2.7384601514492843e-14,1.50405953197983e-14,1.3599579538134342e-14
480,0.28867528275924514,0.28867528275924487,0.2886752827592452,0.2886752827592462,3.226377201834187e-14,2.0484188757392277e-14,1.0622913644828896e-14,2.3216783912504234e-14
520,0.2886752827592457,0.28867528275924526,0.2886752827592453,0.2886752827592464,2.5845088940916737e-14,1.153149510913814e-14,2.7595800838783696e-14,2.633824544512874e-14
