step,plane0_sigma0.085965,plane1_sigma0.085965,plane2_sigma0.085965,plane3_sigma0.085965,plane4_sigma0.343860
0,5.7344947675964785e-33,3.26636441824185e-33,7.387791716834834e-34,1.7144806074260665e-32,0.9999999999999999
20,2.8894458098220983e-30,7.4882981645865525e-31,1.0523548224885521e-30,1.4713960651901145e-30,1.0
40,6.563964632275485e-30,5.529398888647137e-31,1.6739332757044786e-30,1.93826754291678e-30,1.0
60,1.3003903325040398e-29,1.0103882998586726e-30,2.785944080558408e-30,6.369901620734521e-30,0.9999999999999994
80,1.0542460615359961e-29,9.22306181078657e-31,3.061411642417589e-30,3.434855323393208e-30,1.0000000000000002
100,1.906052539160152e-29,4.456325245336095e-31,1.3260405248908813e-30,7.12428590463469e-30,1.0
120,3.3967204218501104e-29,1.158733474931958e-30,1.5494897965350557e-30,5.400562509656287e-30,0.9999999999999998
140,5.231235648436682e-29,1.1671722154613707e-30,1.3041070348554179e-30,4.0047365870960915e-30,0.9999999999999998
160,6.119199360378804e-29,7.417779006270504e-31,2.0375323017929844e-30,3.8104775184710264e-30,1.0
180,7.339397468635085e-29,1.993613122990169e-30,2.6440882852539244e-30,4.668454854003128e-30,0.9999999999999997
200,7.767730915102495e-29,3.9458966041134424e-30,2.7076600947011226e-30,5.4589483046447655e-30,0.9999999999999999
220,1.0742801513024725e-28,7.207365586765815e-30,4.1788966768224556e-30,6.580169394126405e-30,0.9999999999999994
240,1.367603376107783e-28,6.999181693685915e-30,5.150031894585418e-30,7.859108678147677e-30,1.0000000000000002
260,1.6998609521313764e-28,8.858135589359249e-30,9.63046361393632e-30,1.2398197305976234e-29,0.9999999999999997
280,2.114440254480549e-28,1.494569463600542e-29,1.3542488464814237e-29,1.3135102264379243e-29,1.0
300,2.425931195958524e-28,2.0790847294070863e-29,2.17598430902162e-29,1.2751691436584039e-29,0.9999999999999998
320,3.2610056616167883e-28,3.055211448124527e-29,3.528903617720632e-29,1.662405593089254e-29,1.0
340,4.31380429743499e-28,3.9302846996993286e-29,4.76150423481593e-29,1.74580600709768e-29,0.9999999999999997
360,4.953851590553897e-28,6.255311509706442e-29,6.599211947697036e-29,1.9821202564563983e-29,0.9999999999999998
380,6.066859943224948e-28,9.934160772926364e-29,7.208362140079636e-29,2.801361572775905e-29,1.0000000000000002
400,7.49646244156878e-28,1.2629101380291539e-28,9.236384361115204e-29,4.38288566155025e-29,0.9999999999999998
420,9.17863928455631e-28,1.4111074326919512e-28,1.2717488981368321e-28,6.288118547008282e-29,1.0
440,1.203901637720402e-27,1.888522617153929e-28,1.4024654160718248e-28,7.926749687838722e-29,1.0
460,1.5261878745285205e-27,2.241970398560515e-28,1.7094506246066745e-28,1.0460826112803562e-28,0.9999999999999999
480,1.7552060099575558e-27,2.92600645015703e-28,1.921555077636367e-28,1.3734054269274015e-28,0.9999999999999998
500,2.0903400336391967e-27,3.474465761094082e-28,2.5917032162098385e-28,1.9206285404610332e-28,1.0
520,2.4436841733620886e-27,4.308590175626644e-28,2.915772720155802e-28,2.5552670214653316e-28,0.9999999999999999
540,2.872526335043628e-27,5.1875081428009125e-28,3.047118158178928e-28,2.994412625845062e-28,0.9999999999999998
560,3.274771962275217e-27,6.105823423925668e-28,3.2826186176211225e-28,3.2376098238170736e-28,0.9999999999999999
580,3.694774769449382e-27,7.127818105265029e-28,3.8514847443511436e-28,3.8398261544874586e-28,0.9999999999999999
600,4.301373585001375e-27,7.774579990344723e-28,4.403183589806652e-28,4.692021278986051e-28,0.9999999999999997
620,4.833411238801898e-27,8.777797690655712e-28,5.169706247538728e-28,5.759282400073407e-28,1.0
640,5.448457387449172e-27,9.961308639315992e-28,5.677002442617938e-28,6.843843057512835e-28,0.9999999999999999
660,6.148566320932104e-27,1.0774409752341879e-27,5.748761108123318e-28,7.6844915291302505e-28,1.0
680,7.002824985189617e-27,1.2013135600073195e-27,6.982380978773167e-28,9.325811052681937e-28,1.0000000000000002
700,7.792239953749429e-27,1.3044058095920613e-27,7.746712227579181e-28,1.0299983432175115e-27,1.0
720,8.851139478535141e-27,1.4043131258756787e-27,9.069404246912487e-28,1.1602702702025341e-27,1.0000000000000002
740,9.811131774689129e-27,1.4963012203023823e-27,9.928353915106662e-28,1.2430520425172793e-27,0.9999999999999998
760,1.0944081548302996e-26,1.5576258536757543e-27,1.0492400967295902e-27,1.2864552153979428e-27,0.9999999999999999
780,1.2096007992152494e-26,1.640779276981436e-27,1.2200856227839542e-27,1.4315517480530445e-27,0.9999999999999997
800,1.3299668152855282e-26,1.6683205957813955e-27,1.4055962797583755e-27,1.4823056418759526e-27,1.0000000000000004
820,1.462821986448294e-26,1.724435643866689e-27,1.5759807973045076e-27,1.5662325110501804e-27,0.9999999999999999
840,1.607980658596057e-26,1.792932051992359e-27,1.73467491745123e-27,1.6207683103806586e-27,0.9999999999999999
860,1.7517356718488424e-26,1.900083078990409e-27,1.8609920743737878e-27,1.6872779034671196e-27,0.9999999999999997
880,1.8913743034822165e-26,2.038931698528474e-27,2.1407448000944837e-27,1.742340857300373e-27,1.0000000000000002
900,2.0497546647573995e-26,2.2209983679649803e-27,2.41049840132315e-27,1.7931347833921804e-27,0.9999999999999998
920,2.2112057687409114e-26,2.3611405234331946e-27,2.7057669539591062e-27,1.9260406098751652e-27,0.9999999999999998
940,2.3722289202534504e-26,2.5400732592754325e-27,2.955037152739719e-27,2.0122874779281127e-27,0.9999999999999998
960,2.5683278003204402e-26,2.6829638325009166e-27,3.1896520245596744e-27,2.1056103730212646e-27,0.9999999999999998
980,2.759331882971977e-26,2.833913358782858e-27,3.556632342576467e-27,2.2806389302042795e-27,0.9999999999999998
1000,2.982309419593325e-26,3.040267913392084e-27,3.933102367261383e-27,2.4924377606549264e-27,1.0
1020,3.2111577568810215e-26,3.2913316748674095e-27,4.243048184958187e-27,2.7280546411641012e-27,0.9999999999999994
1040,3.4652104680313774e-26,3.611237145951609e-27,4.685635099617667e-27,3.0285126675280836e-27,0.9999999999999999
1060,3.717460748138333e-26,3.8607247070705585e-27,5.301922959065695e-27,3.255570788183736e-27,0.9999999999999999
1080,4.0025065714644896e-26,4.203487902851351e-27,5.767110604266879e-27,3.568631582789544e-27,1.0000000000000004
1100,4.287154467533137e-26,4.530804505228614e-27,6.165336645412426e-27,3.799691959530385e-27,0.9999999999999998
1120,4.5773231840498733e-26,4.9042062930279714e-27,6.677346123094064e-27,4.145958491137384e-27,1.0
1140,4.8752212112624446e-26,5.253029368999234e-27,7.266120096207267e-27,4.438752891863852e-27,0.9999999999999994
1160,5.170011766557138e-26,5.728116960382019e-27,7.873518252133497e-27,4.755044149729633e-27,1.0000000000000002
1180,5.48147614412673e-26,6.1708296425110914e-27,8.1262572981295e-27,5.099853290457607e-27,0.9999999999999998
1200,5.798392692316026e-26,6.614800504042554e-27,8.576269335680971e-27,5.455858686981855e-27,1.0
1220,6.075086539078507e-26,7.110549764367865e-27,9.016225659407898e-27,5.7652317002360686e-27,0.9999999999999998
1240,6.373106184269675e-26,7.515011788833458e-27,9.502526757248631e-27,6.171734632887585e-27,0.9999999999999994
1260,6.653669073178444e-26,7.864188866545394e-27,9.862671072844288e-27,6.3427988787673966e-27,1.0
1280,6.946458131307556e-26,8.164456562312351e-27,1.01280830385373e-26,6.3476669774304035e-27,1.0
1300,7.228303189491473e-26,8.511697003749492e-27,1.0707546869755042e-26,6.641682254746257e-27,0.9999999999999998
1320,7.49884869825799e-26,8.812978080188553e-27,1.1255165008128447e-26,6.871782898824546e-27,0.9999999999999999
