step,R_v0,R_v1,R_v2,R_v3,R_v4,nulldev_v0,nulldev_v1,nulldev_v2,nulldev_v3,nulldev_v4
0,0.2772894031062445,0.2772894031062445,0.27728940310624456,0.2772894031062445,0.27728940310624445,4.9244597926686955e-17,4.924459792668694e-17,6.678913961398416e-17,4.9244597926686955e-17,4.9819268519456785e-17
40,0.27728940310624617,0.2772894031062462,0.2772894031062457,0.2772894031062457,0.27728940310624545,4.8973622405307156e-15,3.2182988230387463e-15,5.4794289089919805e-16,9.385511212461808e-15,2.5821087197765318e-15
80,0.2772894031062473,0.2772894031062473,0.2772894031062468,0.2772894031062466,0.2772894031062465,5.785235979702673e-15,1.2650515167201354e-14,6.938471091064226e-15,4.632776150100296e-15,8.031009702381429e-15
120,0.27728940310624983,0.2772894031062497,0.27728940310624867,0.27728940310624883,0.27728940310624833,7.598257153256093e-15,1.3698196739049581e-14,8.784816759430976e-15,9.828874258827541e-15,1.1445183328430797e-14
160,0.27728940310625183,0.2772894031062516,0.27728940310625017,0.2772894031062506,0.27728940310624983,4.560148822390247e-15,4.666689209558563e-15,1.0379027201950316e-14,2.2013288424415816e-14,9.346022093941603e-15
200,0.2772894031062513,0.2772894031062513,0.27728940310625005,0.2772894031062504,0.27728940310624944,9.477556446197595e-15,8.097932068068652e-15,1.2529091424009369e-14,2.1073052955952952e-14,5.226734996137221e-15
240,0.2772894031062522,0.27728940310625255,0.27728940310625066,0.2772894031062511,0.27728940310625005,7.962802083567176e-15,1.641780123115973e-14,1.811996042287615e-14,1.9483542840448545e-14,1.0503247408314023e-14
280,0.2772894031062524,0.27728940310625305,0.2772894031062506,0.2772894031062516,0.27728940310624994,3.783944702484629e-15,2.233858725326318e-14,1.984861746732963e-14,2.7957169433359173e-14,1.7918101370128585e-14
320,0.2772894031062511,0.27728940310625166,0.277289403106249,0.27728940310624994,0.2772894031062476,1.8015168434407595e-14,1.7440283699788672e-14,1.427396759320929e-14,4.7993486532086816e-14,1.2131916731165793e-14
360,0.27728940310625033,0.2772894031062512,0.27728940310624794,0.27728940310624867,0.27728940310624645,2.5548613993690213e-14,1.9374016358134924e-14,2.104262881478705e-14,6.449460958563818e-14,1.3473478698156725e-15
400,0.2772894031062498,0.2772894031062514,0.27728940310624733,0.27728940310624867,0.2772894031062455,1.852404315000119e-14,2.9154061729644274e-14,4.502351028234838e-14,6.391668296231179e-14,1.3647270104367424e-14
440,0.2772894031062487,0.2772894031062506,0.2772894031062451,0.27728940310624695,0.27728940310624317,1.3489767196088208e-14,4.248433847848951e-14,5.803614956015097e-14,7.644678781426823e-14,1.438678158165156e-14
480,0.2772894031062493,0.27728940310625194,0.27728940310624567,0.2772894031062475,0.2772894031062435,1.2043579871514055e-14,4.519536852729644e-14,6.541828831109928e-14,8.849761429446903e-14,2.407820995215086e-14
520,0.27728940310625017,0.2772894031062532,0.2772894031062462,0.2772894031062484,0.27728940310624406,3.980467732656263e-15,3.486625009845483e-14,6.903421492648767e-14,1.1178792165212083e-13,3.267283519574063e-14
560,0.27728940310625283,0.27728940310625627,0.2772894031062492,0.27728940310625094,0.2772894031062466,1.7645062802303176e-14,1.925734206241356e-14,5.498313821064439e-14,1.235529070909717e-13,2.743457940650278e-14
600,0.2772894031062547,0.2772894031062586,0.2772894031062507,0.2772894031062527,0.2772894031062484,3.24613758154527e-14,3.009631383317262e-14,7.515155944847596e-14,1.1050975707748345e-13,1.1623276763227895e-14
640,0.27728940310625466,0.27728940310625877,0.2772894031062511,0.27728940310625305,0.27728940310624856,3.435338355753721e-14,3.15370559683806e-14,9.318965865171763e-14,9.228296171719807e-14,1.8884325961096057e-14
680,0.2772894031062538,0.27728940310625827,0.2772894031062498,0.2772894031062517,0.27728940310624733,2.812806859498585e-14,2.492733243015009e-14,9.191212882245727e-14,9.804359138279026e-14,3.261594984885292e-14
