iter,residual,mu
0,0.013777862847713634,-0.5367413552096306
50,0.0001204335288800421,-0.5374093701841044
100,7.429656216737515e-05,-0.5374108409998609
150,5.196447897770642e-05,-0.5374114770695706
200,3.81297116592157e-05,-0.537411804051878
250,2.8549511970674975e-05,-0.537411983806345
300,2.157756377208189e-05,-0.5374120855516413
350,1.63837389245865e-05,-0.5374121439453421
400,1.2469672206244195e-05,-0.5374121776922486
450,9.502600854532809e-06,-0.5374121972658166
500,7.2464339743823e-06,-0.537412208640579
550,5.527992960913758e-06,-0.5374122152576943
600,4.217935762859449e-06,-0.5374122191093279
650,3.2187135712506853e-06,-0.537412221351972
700,2.456364051524119e-06,-0.537412222658003
750,1.8746446592215401e-06,-0.5374122234186631
800,1.4307183580934781e-06,-0.5374122238617134
850,1.0919290837728147e-06,-0.5374122241197787
900,8.333695293812959e-07,-0.5374122242700976
950,6.360371085327309e-07,-0.5374122243576579
1000,4.854318150312051e-07,-0.537412224408661
1050,3.7048835189178104e-07,-0.5374122244383711
1100,2.827620941366643e-07,-0.537412224455678
1150,2.1580822735569994e-07,-0.5374122244657603
1200,1.6470808089767815e-07,-0.5374122244716331
1250,1.2570769836677352e-07,-0.5374122244750552
1300,9.59420239631116e-08,-0.5374122244770494
1350,7.322441257238496e-08,-0.5374122244782106
1400,5.588598729795048e-08,-0.5374122244788874
1450,4.265303759246995e-08,-0.5374122244792827
1500,3.255344888582059e-08,-0.5374122244795133
1550,2.4845288844682806e-08,-0.5374122244796488
1600,1.896230356807726e-08,-0.5374122244797278
1650,1.4472319460552539e-08,-0.5374122244797754
1700,1.1045495062275642e-08,-0.5374122244798023
1750,8.430090403243837e-09,-0.5374122244798197
1800,6.433973658150121e-09,-0.5374122244798302
1850,4.910506881668192e-09,-0.5374122244798359
1900,3.747773792501598e-09,-0.5374122244798397
1950,2.860358158561872e-09,-0.5374122244798416
2000,2.1830689976344372e-09,-0.5374122244798428
2050,1.666151579038406e-09,-0.5374122244798433
2100,1.271632316459206e-09,-0.537412224479844
2150,9.705291927365077e-10,-0.5374122244798442
2200,7.40722699985407e-10,-0.5374122244798444
2250,5.653308653795577e-10,-0.5374122244798445
2300,4.3146914388342433e-10,-0.5374122244798444
2350,3.29303830205766e-10,-0.5374122244798445
2400,2.5132970832179307e-10,-0.5374122244798445
2450,1.9181867108867496e-10,-0.5374122244798446
2500,1.463989267921014e-10,-0.5374122244798445
2550,1.1173389921624102e-10,-0.5374122244798445
2600,8.527702325998077e-11,-0.5374122244798446
2650,6.508472940600181e-11,-0.5374122244798445
2700,4.9673658540325885e-11,-0.5374122244798444
2750,3.7911683230784215e-11,-0.5374122244798444
2800,2.8934789280467564e-11,-0.5374122244798445
2850,2.2083461100037376e-11,-0.5374122244798443
2900,1.685443854922844e-11,-0.5374122244798445
2950,1.2863564469271073e-11,-0.5374122244798445
3000,9.817672056112191e-12,-0.5374122244798443
3050,7.492990956981543e-12,-0.5374122244798445
3100,5.718769094619486e-12,-0.5374122244798443
3150,4.3646428186918704e-12,-0.5374122244798445
3200,3.3311665646800154e-12,-0.5374122244798445
3250,2.5423974890165956e-12,-0.5374122244798447
3300,1.9403950424879525e-12,-0.5374122244798445
3350,1.4809430426004997e-12,-0.5374122244798443
3400,1.1302784739940668e-12,-0.5374122244798445
3423,9.98162378608584e-13,-0.5374122244798445
