step,R_v0,R_v1,R_v2,R_v3,R_v4,R_v5,nulldev_v0,nulldev_v1,nulldev_v2,nulldev_v3,nulldev_v4,nulldev_v5
0,0.251962984964639,0.25196298496463887,0.2519629849646388,0.25196298496463876,0.2519629849646389,0.2704627879773248,3.345564384236616e-17,4.797067085146921e-17,4.615534418474849e-17,7.63069186038911e-17,1.0117342485946826e-16,6.971144361305094e-17
40,0.2519629849646381,0.2519629849646393,0.25196298496463887,0.25196298496463815,0.2519629849646382,0.27046278797732454,1.0955868622986615e-14,4.2505534459136545e-15,5.754202725134372e-15,7.428973499193487e-15,3.5186854451654174e-15,3.778727352198942e-15
80,0.2519629849646378,0.25196298496463915,0.25196298496463887,0.25196298496463815,0.2519629849646378,0.2704627879773247,6.2507970559062066e-15,1.9241231564763777e-14,1.1346834161518216e-14,1.792108672339732e-15,7.655377578579651e-15,1.0665695572802454e-14
120,0.2519629849646369,0.2519629849646386,0.251962984964639,0.251962984964638,0.2519629849646379,0.2704627879773255,2.016911127903111e-14,3.1706401144832984e-14,5.440334556371965e-15,1.5914694869121617e-14,1.6874661075641558e-14,1.3675465871298814e-14
160,0.25196298496463737,0.25196298496463854,0.2519629849646395,0.2519629849646391,0.2519629849646381,0.2704627879773259,1.8810690759933912e-14,2.3442274118374836e-14,1.0349049940032165e-14,2.4396633262459437e-14,2.4781828512638806e-14,9.53917712861829e-15
200,0.2519629849646367,0.25196298496463787,0.2519629849646388,0.2519629849646387,0.2519629849646373,0.2704627879773247,1.4397579120077066e-14,2.392916458964262e-14,4.8664149785933545e-15,2.676284634287018e-14,2.0519495293341465e-14,6.865670507658659e-15
240,0.251962984964637,0.2519629849646386,0.2519629849646405,0.2519629849646408,0.2519629849646383,0.27046278797732626,1.4333130616025752e-14,3.191520081218381e-14,1.5125503563703452e-14,3.55639542852633e-14,2.222685256981556e-14,2.036752748772104e-14
280,0.25196298496463965,0.2519629849646415,0.25196298496464176,0.25196298496464153,0.2519629849646391,0.27046278797732815,3.4138655910623835e-14,4.2763639040823666e-14,2.493711075769813e-14,2.795329163550637e-14,2.3366426781226434e-14,2.092603661115694e-14
320,0.25196298496464153,0.2519629849646431,0.2519629849646427,0.2519629849646426,0.2519629849646399,0.27046278797732926,4.998392819732309e-14,4.3994258327868175e-14,2.208679957178579e-14,2.964036290074906e-14,3.387549056659606e-14,1.5212379831398276e-14
360,0.25196298496463865,0.2519629849646401,0.2519629849646395,0.25196298496464,0.25196298496463715,0.2704627879773268,4.9843621859746403e-14,4.1145037431146227e-14,1.9197746900642276e-14,2.2380424316807058e-14,4.279952489646301e-14,3.048076673639e-15
400,0.25196298496463987,0.25196298496464126,0.25196298496463987,0.2519629849646397,0.2519629849646378,0.27046278797732715,3.116467165093673e-14,2.0702039351175056e-14,1.1741548616081264e-14,4.4437285183749965e-14,5.5758579036192784e-14,1.660896075055532e-14
440,0.2519629849646427,0.2519629849646434,0.25196298496464165,0.251962984964642,0.2519629849646397,0.2704627879773293,8.214285756865856e-15,4.768796630125261e-15,2.2456287660485212e-14,5.1028520405779983e-14,3.9339982866779154e-14,3.1818690962709554e-14
480,0.2519629849646424,0.2519629849646427,0.25196298496464087,0.25196298496464115,0.25196298496464026,0.2704627879773297,1.4499251259622707e-14,1.8826769961202686e-14,2.9350430544455604e-14,4.765445777014017e-14,1.894644454526698e-14,4.2634347397049115e-14
520,0.2519629849646435,0.25196298496464353,0.2519629849646408,0.2519629849646406,0.25196298496464087,0.2704627879773297,3.5510807420404315e-14,3.5653118786722176e-14,2.707812713247853e-14,3.792394406050319e-14,3.4792451712298105e-15,4.3695886447137735e-14
560,0.2519629849646428,0.2519629849646431,0.2519629849646402,0.2519629849646401,0.2519629849646413,0.27046278797732975,4.184259849790334e-14,4.573178050817913e-14,2.960421890406459e-14,2.5873169513809185e-14,1.72451745245118e-14,2.667863524851752e-14
600,0.25196298496464065,0.25196298496464115,0.2519629849646379,0.2519629849646375,0.2519629849646393,0.270462787977328,4.534025973766574e-14,4.505226016091107e-14,3.1986712577842295e-14,5.456616809471751e-15,3.669905493660471e-14,4.5029282695860156e-15
640,0.25196298496463865,0.2519629849646403,0.2519629849646364,0.25196298496463554,0.2519629849646374,0.2704627879773263,4.344550055197796e-14,4.4192490300339136e-14,3.623649181535542e-14,1.84557370191765e-14,4.899313041892039e-14,2.452913972940064e-14
680,0.2519629849646374,0.25196298496463937,0.2519629849646332,0.2519629849646321,0.25196298496463493,0.27046278797732404,2.950792649186087e-14,2.5885572473723794e-14,1.5642492454385288e-14,4.198602148678767e-14,6.057062903386538e-14,4.250279341893748e-14
720,0.25196298496463787,0.25196298496463987,0.25196298496463204,0.25196298496463093,0.25196298496463465,0.27046278797732315,2.5297812076675064e-14,1.5649842760644327e-14,2.38655806903053e-14,6.915746161173065e-14,5.943441811030154e-14,3.254953981416595e-14
760,0.2519629849646383,0.25196298496464065,0.25196298496463265,0.25196298496463143,0.2519629849646353,0.2704627879773233,1.223270301697629e-14,3.690549061869845e-14,5.012949515119368e-14,9.330612265300963e-14,4.4712154983674343e-14,1.709218966066364e-15
800,0.25196298496464226,0.2519629849646449,0.251962984964637,0.2519629849646347,0.2519629849646405,0.27046278797732765,9.676644508413731e-15,5.906616256484037e-14,5.986707441024882e-14,9.701400384060677e-14,3.9000166360342226e-14,3.447811285852415e-14
840,0.2519629849646405,0.25196298496464314,0.25196298496463515,0.2519629849646322,0.25196298496464126,0.27046278797732665,1.894119185999228e-14,7.058699863340877e-14,3.860111175262046e-14,7.095517317296033e-14,5.3658429102646405e-14,5.951277143188545e-14
880,0.25196298496463837,0.2519629849646397,0.25196298496463426,0.2519629849646304,0.251962984964642,0.2704627879773256,3.44554309949671e-14,6.584439132667304e-14,1.581057643637207e-14,5.3135921007520417e-14,7.335578742853865e-14,6.2938398785637e-14
920,0.25196298496463715,0.2519629849646364,0.2519629849646345,0.2519629849646292,0.25196298496464375,0.2704627879773254,6.613147357587607e-14,5.729554482998794e-14,4.443479853372842e-14,6.95279890242813e-14,7.159361076513104e-14,5.13526232044369e-14
960,0.2519629849646366,0.2519629849646326,0.2519629849646369,0.251962984964627,0.2519629849646436,0.2704627879773239,9.279424878401074e-14,5.943453827941144e-14,6.925766469306197e-14,1.0319552939797526e-13,6.004973205194984e-14,2.775710026728823e-14
1000,0.25196298496463787,0.2519629849646289,0.2519629849646403,0.2519629849646253,0.2519629849646439,0.2704627879773241,1.149942354940778e-13,9.97784557142181e-14,6.290622228483044e-14,1.267931721070972e-13,4.2062550176359544e-14,5.337393864682784e-14
1040,0.2519629849646408,0.2519629849646233,0.25196298496464536,0.2519629849646254,0.2519629849646456,0.2704627879773259,1.2376727834883496e-13,1.5155297723615376e-13,8.357105360228569e-14,1.5365207352970577e-13,7.414119918610194e-14,9.390173745504557e-14
1080,0.25196298496464675,0.25196298496461617,0.2519629849646505,0.25196298496462716,0.251962984964645,0.27046278797732765,1.572624265272393e-13,1.859369767215883e-13,1.450652782206194e-13,1.8464256082075532e-13,1.3872521469208524e-13,1.309245304808474e-13
1120,0.25196298496465075,0.251962984964605,0.25196298496465336,0.25196298496462827,0.2519629849646384,0.2704627879773266,2.5496848868315217e-13,1.800951837335735e-13,2.2507658608729755e-13,2.1907588899372485e-13,2.0984147148565951e-13,1.3334288425018881e-13
1160,0.2519629849646608,0.2519629849645954,0.2519629849646572,0.25196298496463443,0.2519629849646286,0.2704627879773271,3.7843165965210357e-13,1.895078128326231e-13,2.951107663798718e-13,3.1330115709922525e-13,2.5259229376318556e-13,1.0393836820538885e-13
1200,0.25196298496467484,0.25196298496458747,0.25196298496465874,0.2519629849646471,0.2519629849646143,0.2704627879773284,4.801891876592228e-13,2.637928230906289e-13,3.7159742686335603e-13,4.426011105940598e-13,3.2115471825268456e-13,1.0503171563781596e-13
1240,0.25196298496469144,0.2519629849645832,0.25196298496465575,0.2519629849646677,0.25196298496459585,0.27046278797733075,5.64484516265068e-13,3.835372038908394e-13,4.876864230487792e-13,6.00219588030303e-13,4.49194040061174e-13,1.5027976082067286e-13
1280,0.25196298496470687,0.2519629849645838,0.25196298496464176,0.2519629849646943,0.2519629849645689,0.2704627879773306,6.725890709048266e-13,5.444654486496468e-13,7.046126364677427e-13,7.479622405038814e-13,6.312654225430345e-13,1.8324628260179498e-13
1320,0.2519629849647174,0.25196298496459457,0.2519629849646151,0.2519629849647297,0.2519629849645369,0.27046278797733053,8.68668298725521e-13,7.683234244591376e-13,1.0165025269452325e-12,9.257559090258927e-13,8.060849636421427e-13,1.7685508860263517e-13
1360,0.2519629849647224,0.25196298496462377,0.2519629849645748,0.2519629849647776,0.25196298496450725,0.27046278797733353,1.1864966759746867e-12,1.0878279028175898e-12,1.3773927168140003e-12,1.1894693478551956e-12,9.85815479318526e-13,1.433215593226447e-13
1400,0.2519629849647095,0.25196298496467395,0.2519629849645132,0.25196298496483294,0.2519629849644817,0.2704627879773348,1.6382021596524011e-12,1.560833648808831e-12,1.7706895242111895e-12,1.5294900800976853e-12,1.252411922109536e-12,1.0932787380407744e-13
1440,0.2519629849646687,0.2519629849647516,0.2519629849644309,0.25196298496489156,0.2519629849644697,0.270462787977335,2.229850744093849e-12,2.212975267611841e-12,2.2117554794326853e-12,1.934131912131228e-12,1.7184442619458338e-12,1.2355422387322246e-13
1480,0.25196298496458963,0.251962984964864,0.2519629849643312,0.2519629849649434,0.25196298496448577,0.2704627879773358,3.013806960160665e-12,3.0136560925335314e-12,2.76922520475944e-12,2.4405722769981485e-12,2.4854079749539074e-12,1.4888926616176314e-13
1520,0.2519629849644591,0.25196298496501457,0.2519629849642208,0.2519629849649715,0.2519629849645468,0.27046278797733586,4.069416786453231e-12,3.893770840842003e-12,3.479850259295096e-12,3.2050119850202222e-12,3.609353765285455e-12,1.352239279872843e-13
1560,0.2519629849642626,0.2519629849651973,0.2519629849641155,0.2519629849649518,0.25196298496467445,0.27046278797733353,5.422110154997052e-12,4.898111797263797e-12,4.424537005578116e-12,4.4257519885018096e-12,5.129970344843007e-12,9.442908586504122e-14
1600,0.251962984963997,0.25196298496540404,0.2519629849640467,0.2519629849648563,0.251962984964897,0.2704627879773335,7.04348209332003e-12,6.111673281838045e-12,5.807313320013832e-12,6.299364889258939e-12,7.092333661675844e-12,3.864306690953092e-14
1640,0.25196298496366326,0.25196298496560776,0.25196298496405417,0.25196298496464264,0.25196298496523584,0.2704627879773345,8.902125901125024e-12,7.73996716449475e-12,7.913997136231897e-12,8.964396748720171e-12,9.543310129113007e-12,2.5247505943678462e-14
1680,0.2519629849632777,0.2519629849657587,0.25196298496419306,0.2519629849642635,0.2519629849657052,0.2704627879773335,1.1072013421967163e-11,1.0139710737819893e-11,1.1107047860646984e-11,1.2496658715392452e-11,1.2516486158510885e-11,4.8655777969566264e-14
1720,0.2519629849628869,0.25196298496578934,0.2519629849645386,0.2519629849636762,0.25196298496631037,0.2704627879773345,1.3847805193295949e-11,1.382881354843153e-11,1.5747923893414137e-11,1.690759080606122e-11,1.6011953850222066e-11,2.6589684324893368e-14
1760,0.25196298496256664,0.2519629849655943,0.25196298496517266,0.25196298496284186,0.2519629849670211,0.2704627879773338,1.7874163626488124e-11,1.942648446479036e-11,2.203893425891204e-11,2.2234014279555027e-11,2.0074983560523267e-11,3.1416834319252844e-14
1800,0.25196298496244546,0.25196298496504715,0.2519629849661884,0.2519629849617553,0.25196298496777186,0.27046278797733597,2.4153143372126072e-11,2.7529386969342375e-11,3.005627527270106e-11,2.851979043141588e-11,2.5080991549168617e-11,1.0142958822270755e-13
1840,0.25196298496269587,0.2519629849639871,0.25196298496765446,0.25196298496044495,0.25196298496842534,0.270462787977337,3.3827449357776665e-11,3.865868536518482e-11,3.976797461445166e-11,3.587998294844935e-11,3.2068429086026296e-11,1.4043825140498738e-13
1880,0.25196298496355746,0.25196298496224995,0.2519629849696075,0.2519629849590242,0.25196298496876995,0.27046278797733697,4.800496638447836e-11,5.309033165404983e-11,5.1194680676515584e-11,4.4843993800557864e-11,4.278536662796414e-11,1.3769823454188583e-13
1920,0.25196298496531927,0.2519629849596875,0.2519629849720084,0.2519629849577163,0.2519629849684974,0.2704627879773408,6.764768211230707e-11,7.082342958880496e-11,6.453577818658699e-11,5.6956831811166734e-11,5.943961684190683e-11,1.1365217516606173e-13
1960,0.25196298496828945,0.25196298495620556,0.2519629849746773,0.25196298495687935,0.2519629849671782,0.2704627879773411,9.341290352243345e-11,9.1775780899975e-11,8.063276239509911e-11,7.51938444966434e-11,8.422016027974527e-11,1.2713596752907705e-13
2000,0.25196298497276537,0.2519629849518422,0.2519629849772552,0.25196298495706265,0.2519629849642928,0.2704627879773393,1.2554372783297486e-10,1.1611779069788939e-10,1.0186606522428122e-10,1.0367200575849393e-10,1.1895316768517897e-10,1.7582192523252603e-13
2040,0.2519629849789584,0.25196298494686126,0.2519629849791218,0.25196298495901787,0.25196298495925407,0.27046278797733864,1.6390008584433863e-10,1.4506385930582788e-10,1.331548112838077e-10,1.4667997763824544e-10,1.6496809244518828e-10,2.079603507996092e-13
2080,0.25196298498686026,0.25196298494184954,0.2519629849793249,0.2519629849636926,0.25196298495147873,0.270462787977337,2.0850361371852368e-10,1.8237652686596305e-10,1.8182011678979364e-10,2.0793610297037772e-10,2.229040346438138e-10,1.938833247660373e-13
2120,0.2519629849960991,0.2519629849378638,0.25196298497653763,0.2519629849721863,0.25196298494052155,0.27046278797733725,2.6090752848421173e-10,2.36183835764511e-10,2.5613318826590044e-10,2.901009905850989e-10,2.9274566699494857e-10,1.38658291038891e-13
2160,0.2519629850057175,0.2519629849365474,0.25196298496904357,0.25196298498561814,0.2519629849262726,0.27046278797733553,3.2681380811905766e-10,3.194468930266982e-10,3.635240505897406e-10,3.9465332660643335e-10,3.7435848537279186e-10,1.1783808876460518e-13
2200,0.2519629850139498,0.25196298494024916,0.2519629849548204,0.2519629850049264,0.2519629849092524,0.2704627879773355,4.195500196631787e-10,4.4762659986931677e-10,5.09643070967641e-10,5.217558562534057e-10,4.696411942540165e-10,1.4887922386196755e-13
2240,0.25196298501795916,0.25196298495205127,0.25196298493171904,0.2519629850305025,0.251962984890972,0.2704627879773359,5.61820604713261e-10,6.353494859803639e-10,6.97782237403241e-10,6.710988490241376e-10,5.868971358636559e-10,1.8379131244511103e-13
2280,0.25196298501362024,0.2519629849756774,0.25196298489784175,0.2519629850616985,0.2519629848743829,0.27046278797733897,7.823697399418503e-10,8.94300684008778e-10,9.286869740273453e-10,8.44880880789648e-10,7.474736402892888e-10,1.6758452429298185e-13
2320,0.25196298499541175,0.25196298501518727,0.2519629848521346,0.2519629850961589,0.25196298486435137,0.2704627879773443,1.1096715558927137e-09,1.2319115671722594e-09,1.2016350992454366e-09,1.0549851679273016e-09,9.904801229475444e-10,1.0324287947627124e-13
