step,rank_full,d_eff_full,rank_perp,d_eff_perp
0,7,4.377447946247279,7,4.330382052218553
40,7,4.377447946247302,7,3.174616166324863
80,7,4.377447946247295,7,3.239499800156099
120,7,4.37744794624729,7,3.843366721201811
160,7,4.377447946247271,7,3.8843129353305157
200,7,4.377447946247246,7,4.194606762020036
240,7,4.377447946247246,7,4.517732694586334
280,7,4.377447946247252,7,4.973460137956356
320,7,4.3774479462472655,7,5.1173982095746195
360,7,4.377447946247278,7,4.847170962416884
400,7,4.377447946247283,7,4.503026941443907
440,7,4.3774479462472975,7,4.445423187072172
480,7,4.377447946247298,7,4.091240144461387
520,7,4.377447946247288,7,3.902881179045691
560,7,4.377447946247269,7,4.232580961140033
600,7,4.377447946247246,7,4.649965893222734
640,7,4.377447946247225,7,5.041938356103257
680,7,4.377447946247212,7,5.033928523257261
720,7,4.377447946247204,7,4.619354024059691
760,7,4.377447946247219,7,4.749060931492339
800,7,4.377447946247242,7,4.825551746216412
840,7,4.377447946247257,7,4.872408482360959
880,7,4.3774479462472735,7,4.906231524208964
920,7,4.377447946247267,7,4.8623335379637735
960,7,4.377447946247258,7,4.848614363632326
1000,7,4.377447946247238,7,4.789389998824513
1040,7,4.377447946247227,7,4.842543694761867
1080,7,4.377447946247234,7,4.85342618225914
1120,7,4.377447946247236,7,4.844244507958381
1160,7,4.3774479462472415,7,4.845343004276068
1200,7,4.377447946247252,7,4.835889032938566
1240,7,4.37744794624726,7,4.827548733736991
1280,7,4.377447946247248,7,4.833494658399767
1320,7,4.377447946247228,7,4.844825268080135
1360,7,4.377447946247224,7,4.848895895401917
1400,7,4.377447946247227,7,4.839093790524194
1440,7,4.377447946247229,7,4.830903448653446
1480,7,4.377447946247222,7,4.833241336368493
1520,7,4.377447946247226,7,4.842580374177723
1560,7,4.377447946247242,7,4.847185282689603
1600,7,4.377447946247262,7,4.842102271563516
1640,7,4.377447946247278,7,4.832284839641489
1680,7,4.377447946247267,7,4.831915904879522
1720,7,4.377447946247241,7,4.841472134482674
1760,7,4.377447946247217,7,4.846944061069381
1800,7,4.377447946247206,7,4.843068677980867
1840,7,4.377447946247208,7,4.8333243626070805
1880,7,4.377447946247211,7,4.831226099580097
1920,7,4.377447946247239,7,4.84027237312042
1960,7,4.37744794624726,7,4.846652420440685
2000,7,4.377447946247268,7,4.844069767723601
2040,7,4.377447946247253,7,4.834541983223794
2080,7,4.377447946247239,7,4.830609439432373
2120,7,4.377447946247198,7,4.839014007775212
2160,7,4.377447946247116,7,4.8462862112412095
2200,7,4.377447946247014,7,4.844927659899789
2240,7,4.377447946246842,7,4.835840969586065
2280,7,4.37744794624653,7,4.830256187508039
2320,7,4.3774479462458675,7,4.837701585043523
2360,7,4.377447946244443,7,4.845760676922326
2400,7,4.377447946241408,7,4.845643738773119
2440,7,4.377447946235054,7,4.837193893270436
2480,7,4.377447946221896,7,4.830179686992251
2520,7,4.377447946194598,7,4.836379796006614
2560,7,4.377447946138001,7,4.8450855572436655
2600,7,4.3774479460206495,7,4.846206172627067
2640,7,4.377447945777163,7,4.838551988185662
2680,7,4.377447945271894,7,4.83039114608458
2720,7,4.377447944223375,7,4.835087768272038
2760,7,4.377447942047494,7,4.8442649542287
