step,R_v0,R_v1,R_v2,R_v3,R_v4,R_v5,R_v6,R_v7,nulldev_v0,nulldev_v1,nulldev_v2,nulldev_v3,nulldev_v4,nulldev_v5,nulldev_v6,nulldev_v7
0,0.23870097908436178,0.2387009790843617,0.23870097908436178,0.23870097908436178,0.23870097908436178,0.2387009790843617,0.2387009790843618,0.27364619324469425,7.592899792270096e-17,6.410021511060794e-17,4.873829833235772e-17,4.532569678022728e-17,7.166621917983928e-17,5.01663534258875e-17,6.410021511060794e-17,7.475734820670866e-17
40,0.23870097908435942,0.23870097908435983,0.23870097908436025,0.23870097908435953,0.23870097908435955,0.23870097908436028,0.2387009790843595,0.27364619324469136,2.1004820212544818e-14,6.1191369359789875e-15,1.142252523945687e-14,1.5115375755372005e-14,6.1944160821407974e-15,1.2634490339684697e-14,8.617176710683566e-15,8.833605764593018e-15
80,0.2387009790843602,0.23870097908436108,0.23870097908436125,0.23870097908435967,0.23870097908436044,0.23870097908436122,0.2387009790843601,0.2736461932446922,2.8525017053982655e-14,4.068653540604877e-15,1.924988799049361e-14,1.9963059834721368e-14,3.766780843329851e-15,9.40952145069517e-15,1.228047874102902e-14,1.2078669021070262e-14
120,0.2387009790843606,0.23870097908436066,0.23870097908436055,0.23870097908435906,0.2387009790843599,0.2387009790843612,0.23870097908436008,0.2736461932446911,4.019841027934646e-14,8.197269272842894e-15,1.6392030564087013e-14,6.522100667567924e-15,4.949287983363765e-15,1.6151954107167522e-14,3.0734114704598875e-15,7.788281031739051e-15
160,0.23870097908435775,0.23870097908435925,0.23870097908436047,0.23870097908435942,0.23870097908435983,0.2387009790843612,0.23870097908436086,0.27364619324469064,3.6364603427765437e-14,9.491844432015514e-15,2.3463524537377537e-14,9.651133705870136e-15,8.949653233380455e-15,1.8417868360503452e-14,2.3428716311154665e-15,1.016159297180094e-14
200,0.2387009790843548,0.2387009790843578,0.23870097908435933,0.23870097908435955,0.23870097908435958,0.23870097908435955,0.23870097908436066,0.2736461932446897,4.12842460246982e-14,1.0513881952697261e-14,3.6168375261976214e-14,1.7782467206304504e-15,1.5312253763971196e-14,1.461763910624463e-14,1.5652138529353952e-15,1.0996746992967923e-14
240,0.23870097908435473,0.23870097908435864,0.2387009790843598,0.23870097908435994,0.23870097908436078,0.2387009790843591,0.23870097908436133,0.27364619324469003,2.5878019775482518e-14,1.88638997289339e-14,4.233713424395579e-14,8.766802957258861e-15,2.1477173809394637e-14,1.9806370058519725e-14,1.2693003982103049e-14,8.843293342772127e-15
280,0.23870097908435545,0.23870097908435955,0.23870097908436042,0.23870097908435886,0.2387009790843622,0.23870097908435933,0.23870097908436258,0.27364619324469047,1.0698419997128475e-14,3.375359934047093e-14,5.750300573736421e-14,1.6213838664482744e-14,3.445657263166761e-14,1.9759389078994488e-14,1.7484672101419113e-14,1.8509325600681923e-14
320,0.23870097908435484,0.23870097908435864,0.23870097908436025,0.23870097908435528,0.23870097908436305,0.23870097908435756,0.23870097908436208,0.273646193244689,1.0577137629645242e-14,4.32583377969877e-14,7.73123321055345e-14,2.652212920285101e-14,5.019244674101744e-14,3.453022424006753e-14,2.144545000847119e-14,2.7479770631464816e-14
360,0.23870097908435417,0.2387009790843564,0.23870097908436258,0.2387009790843515,0.23870097908436352,0.23870097908435403,0.23870097908436086,0.273646193244687,1.2179602262097831e-14,5.088830653022018e-14,9.20143869250889e-14,4.944571100213209e-14,5.879821148103818e-14,7.47010349283413e-14,2.516091953438702e-14,3.060625762767752e-14
400,0.23870097908435306,0.23870097908435114,0.2387009790843643,0.23870097908434512,0.23870097908436277,0.23870097908434895,0.23870097908435778,0.27364619324468337,2.7442901786916908e-14,6.726614391201539e-14,8.814411495765954e-14,8.149359867446414e-14,7.079248912640025e-14,1.0358111817373005e-13,5.1723164229662386e-14,3.135174189014761e-14
440,0.2387009790843561,0.2387009790843463,0.23870097908436816,0.2387009790843396,0.2387009790843617,0.23870097908434593,0.23870097908435362,0.27364619324468076,6.619539749411036e-14,8.815994253258583e-14,1.0503525016511643e-13,8.121268068978822e-14,1.0946323748354419e-13,1.2380630401492647e-13,8.157853462121792e-14,4.387669915552217e-14
480,0.2387009790843633,0.23870097908434137,0.23870097908437418,0.23870097908433746,0.23870097908436247,0.23870097908434806,0.23870097908435015,0.27364619324468115,1.0181571414205549e-13,1.4294931470922374e-13,1.0848445279574389e-13,1.1165996671129045e-13,1.4433426519802783e-13,1.6708300426821326e-13,1.27840339126369e-13,5.799256366562136e-14
520,0.23870097908437105,0.23870097908433227,0.2387009790843793,0.23870097908433605,0.23870097908435847,0.23870097908435484,0.23870097908434212,0.2736461932446805,1.546058028905613e-13,2.0362786321105894e-13,1.358654110649911e-13,1.5481759354509616e-13,2.2164106714253542e-13,2.0556256726218693e-13,2.117366476198885e-13,5.175692636941821e-14
560,0.23870097908438243,0.2387009790843231,0.23870097908438143,0.23870097908433813,0.23870097908434873,0.23870097908436583,0.23870097908432777,0.273646193244679,2.4198187753759374e-13,2.610046196544427e-13,2.2036016942899137e-13,2.1701059871905005e-13,3.3211915379124054e-13,2.768732522784802e-13,3.069317568652802e-13,5.1474452191504095e-14
600,0.2387009790843964,0.23870097908431678,0.23870097908437693,0.2387009790843456,0.23870097908432816,0.2387009790843826,0.2387009790843076,0.27364619324467643,3.6115769183582695e-13,3.6285634012553254e-13,3.4018827404155505e-13,3.634489205957854e-13,4.355194294546369e-13,4.1034788648420187e-13,4.004921312363377e-13,7.389178034311582e-14
640,0.23870097908440704,0.23870097908431562,0.23870097908436208,0.23870097908436555,0.23870097908429846,0.23870097908440932,0.23870097908428553,0.2736461932446749,5.075580165169824e-13,5.555404434634868e-13,5.041379848109996e-13,5.908180218989434e-13,5.859385176383588e-13,5.623999205426811e-13,5.513172136500736e-13,6.784740352870483e-14
680,0.2387009790844065,0.23870097908432766,0.23870097908433036,0.23870097908440163,0.23870097908425625,0.2387009790844399,0.23870097908426413,0.2736461932446718,7.302550658155336e-13,8.491736610586567e-13,7.75679142363806e-13,8.603251516840573e-13,8.254333623049004e-13,7.305674174678167e-13,7.944879804241483e-13,3.1475717102335786e-14
720,0.23870097908438573,0.23870097908436472,0.23870097908427404,0.23870097908445623,0.2387009790842035,0.2387009790844694,0.23870097908425406,0.273646193244669,1.1248276942094179e-12,1.2396973267521318e-12,1.1961614494359562e-12,1.1842611893430068e-12,1.147064978734497e-12,1.002503504440432e-12,1.1292441143620483e-12,3.51806567032488e-14
760,0.23870097908433247,0.23870097908443907,0.23870097908419022,0.23870097908453025,0.23870097908415128,0.23870097908448878,0.2387009790842741,0.27364619324466866,1.7416823674049422e-12,1.7797320058113997e-12,1.7264791491893263e-12,1.6360348584009384e-12,1.552824759131334e-12,1.4835523947915763e-12,1.6396339091213063e-12,5.045391186368302e-14
800,0.23870097908422605,0.23870097908455665,0.23870097908407475,0.23870097908461171,0.23870097908411295,0.23870097908447133,0.23870097908433913,0.2736461932446664,2.567151848790271e-12,2.5538861011009482e-12,2.3738939601085445e-12,2.2733682323802357e-12,2.1777815515362167e-12,2.2592803710545357e-12,2.452536120197619e-12,3.301303122451806e-14
840,0.23870097908405546,0.23870097908472485,0.23870097908394422,0.23870097908467983,0.23870097908412127,0.23870097908438853,0.23870097908448012,0.2736461932446664,3.6513575497577315e-12,3.551592874367789e-12,3.2581786713721916e-12,3.1914479106524276e-12,3.2349286383473066e-12,3.4408559807399004e-12,3.6679425360687575e-12,9.83154517322499e-15
880,0.2387009790838096,0.23870097908492677,0.23870097908382637,0.23870097908469096,0.2387009790842207,0.23870097908420093,0.23870097908472312,0.273646193244667,5.084722119485038e-12,4.813842226656509e-12,4.577259580598485e-12,4.648414636128384e-12,4.941188634188508e-12,5.177001245579331e-12,5.3082056817804936e-12,4.3310550631030515e-14
