step,r1_full,r2_full,r3_full,r4_full,r5_full,r6_full,r7_full,r8_full,r1_perp,r2_perp,r3_perp,r4_perp,r5_perp,r6_perp,r7_perp,r8_perp
0,0.4260774136582626,0.2925400858047371,0.29254008580473706,0.17394537573124996,0.17394537573124993,0.17394537573124993,0.1739453757312499,1.7606168994196384e-09,8.442276790665878e-17,6.24823061415298e-17,5.615734651199e-17,4.7886966837036455e-17,4.543479823460995e-17,2.285630208074579e-17,1.4604398583593887e-17,5.20683388518076e-25
40,0.42607741365825813,0.2925400858047339,0.29254008580473384,0.17394537573125268,0.17394537573125057,0.17394537573124813,0.17394537573124588,1.253002791875149e-09,4.56481894081572e-15,3.70226773938297e-15,2.291218290156312e-15,2.0891313111057292e-15,1.0733077153492994e-15,9.031962478447027e-16,1.2845852475410721e-16,3.239121270183531e-23
80,0.42607741365826,0.29254008580473495,0.2925400858047346,0.1739453757312548,0.17394537573125227,0.17394537573124752,0.1739453757312446,1.982655691107174e-09,6.25607474697411e-15,4.9349693297318906e-15,3.0545700878549435e-15,2.3946097654738207e-15,1.902240464975986e-15,1.6081548612270897e-15,9.520212898540937e-16,2.9479787506981087e-23
120,0.42607741365825985,0.29254008580473384,0.2925400858047337,0.17394537573125585,0.1739453757312531,0.1739453757312464,0.1739453757312438,2.538504021955786e-09,7.226198026561727e-15,5.960257862904318e-15,3.981772361656299e-15,3.3289492923362442e-15,2.9938949125266912e-15,2.4143340130638793e-15,1.3232731872525806e-15,3.3756926802997184e-23
160,0.4260774136582598,0.2925400858047334,0.2925400858047329,0.17394537573125668,0.17394537573125401,0.17394537573124635,0.1739453757312383,2.4319439402804394e-09,8.594247556048091e-15,7.535632429080134e-15,4.653765308448339e-15,3.9882219793747145e-15,3.580263390061307e-15,3.0383075156196774e-15,1.8669210549357597e-15,7.202991953615616e-23
200,0.426077413658259,0.2925400858047326,0.2925400858047318,0.17394537573125635,0.17394537573125263,0.17394537573124563,0.1739453757312343,3.180277882395576e-09,9.289294528644079e-15,8.994110959664383e-15,6.039030923981614e-15,5.407272636726571e-15,4.272346957101158e-15,2.8804686859221483e-15,2.098359731787031e-15,5.481819935021225e-23
240,0.4260774136582598,0.2925400858047325,0.29254008580473206,0.17394537573125715,0.17394537573125424,0.17394537573124455,0.17394537573123475,1.8407496686805967e-09,1.0378051182787307e-14,8.865444414249684e-15,7.496283749174272e-15,6.953058066936005e-15,4.896782412870708e-15,2.8169544628898745e-15,2.4848439503385322e-15,8.434041920983373e-23
280,0.4260774136582606,0.2925400858047332,0.2925400858047326,0.1739453757312587,0.17394537573125537,0.17394537573124336,0.1739453757312359,1.4063136380557078e-09,1.1787034536207346e-14,1.0227058026817452e-14,8.893897497473481e-15,8.40427354655042e-15,6.931919526300697e-15,4.296189369202713e-15,3.0345074577648823e-15,9.417835670178929e-23
320,0.42607741365825846,0.29254008580473156,0.292540085804731,0.17394537573125973,0.17394537573125807,0.173945375731242,0.1739453757312328,1.0891410331869882e-09,1.5550644770576767e-14,1.3771109801310314e-14,1.1803540384840131e-14,1.0584995369071202e-14,1.0462016249543038e-14,6.649723270439354e-15,3.3682132322635087e-15,1.3525982062664761e-22
360,0.42607741365825563,0.2925400858047293,0.29254008580472907,0.17394537573126342,0.17394537573125982,0.17394537573124058,0.17394537573122745,2.750963927396131e-09,2.1308052694859893e-14,1.8912340748953694e-14,1.589914233425964e-14,1.2720241231830043e-14,1.1528642345672868e-14,8.324141238011885e-15,6.8111130625351384e-15,1.1929603001168168e-22
400,0.42607741365825025,0.2925400858047276,0.2925400858047232,0.1739453757312688,0.1739453757312579,0.17394537573123642,0.17394537573122035,3.132085858292273e-09,2.7172245254337928e-14,2.5273546289714312e-14,1.9328392488295823e-14,1.4738134874833602e-14,1.2074336350097635e-14,1.1266425377697356e-14,8.12996886070114e-15,2.717293100348398e-22
440,0.42607741365824703,0.29254008580472585,0.2925400858047194,0.17394537573127686,0.1739453757312541,0.17394537573123253,0.17394537573121843,1.5967364301804058e-09,3.408861934807723e-14,3.379401471956879e-14,2.254267070047289e-14,1.987861932189121e-14,1.568356791309063e-14,1.4316553436189238e-14,1.0134137594358354e-14,1.9734811870236715e-22
480,0.4260774136582483,0.2925400858047269,0.29254008580471924,0.17394537573128496,0.1739453757312525,0.17394537573123034,0.17394537573121718,2.1544992043036174e-09,4.613390368627116e-14,4.4041839906175576e-14,3.137873009217301e-14,2.742930035674492e-14,1.5557633577867853e-14,1.4301688124377665e-14,1.1261958987897988e-14,2.8086866972433873e-22
