N,design,kind,stage,tau,Hperp_frac
4,A_matching,neutral,S1_initial,0,4.2756652623588227e-32
4,A_matching,neutral,S3_mid,20000,1.2986936514971198e-23
4,A_matching,neutral,S5_final,40000,1.4716786284356644e-23
5,C_cycle,neutral,S1_initial,0,3.075324810302166e-67
5,C_cycle,neutral,S3_mid,20000,2.8485186579253456e-21
5,C_cycle,neutral,S5_final,40000,2.483161419447773e-19
6,A_matching,inflating,S1_initial,0,3.365644103523789e-32
6,A_matching,inflating,S2_growth_mid,4618,8.967291487745769e-05
6,A_matching,inflating,S3_knee_mid,5322,0.6882890126159235
6,A_matching,inflating,S4_relinear,5587,0.8850596387276504
6,A_matching,inflating,S5_final,40000,0.7957740272925733
7,C_cycle,neutral,S1_initial,0,4.09044507908883e-32
7,C_cycle,neutral,S3_mid,20000,6.343242049647506e-21
7,C_cycle,neutral,S5_final,40000,1.3020953177122176e-18
8,A_matching,inflating,S1_initial,0,4.245564637682928e-32
8,A_matching,inflating,S2_growth_mid,3288,9.953950557955519e-05
8,A_matching,inflating,S3_knee_mid,3836,0.7108077134720914
8,A_matching,inflating,S4_relinear,12573,0.9198750636183471
8,A_matching,inflating,S5_final,40000,0.9656450837575269
