edge_index,i,j,class,theta_deg,a_Re,b_Im,abs_z,abs_z_sq
0,0,1,3,108.0,-0.08647870500453797,0.2661540867087018,0.2798509680008362,0.07831656429100504
1,0,2,1,36.0,0.18848009407493962,0.13693880402789488,0.23297420868218072,0.05427698191108829
2,0,3,4,144.0,-0.1884800940749396,0.13693880402789488,0.23297420868218072,0.05427698191108829
3,0,4,2,72.0,0.08647870500453798,0.2661540867087017,0.27985096800083614,0.07831656429100502
4,0,5,0,0.0,0.3052439078460808,0.0,0.3052439078460808,0.09317384327714667
5,1,2,4,144.0,-0.1884800940749396,0.13693880402789488,0.23297420868218072,0.05427698191108829
6,1,3,2,72.0,0.08647870500453798,0.2661540867087017,0.27985096800083614,0.07831656429100502
7,1,4,0,0.0,0.3052439078460808,0.0,0.3052439078460808,0.09317384327714667
8,1,5,1,36.0,0.18848009407493962,0.13693880402789488,0.23297420868218072,0.05427698191108829
9,2,3,0,0.0,0.3052439078460808,0.0,0.3052439078460808,0.09317384327714667
10,2,4,3,108.0,-0.08647870500453797,0.2661540867087018,0.2798509680008362,0.07831656429100504
11,2,5,2,72.0,0.08647870500453798,0.2661540867087017,0.27985096800083614,0.07831656429100502
12,3,4,1,36.0,0.18848009407493962,0.13693880402789488,0.23297420868218072,0.05427698191108829
13,3,5,3,108.0,-0.08647870500453797,0.2661540867087018,0.2798509680008362,0.07831656429100504
14,4,5,4,144.0,-0.1884800940749396,0.13693880402789488,0.23297420868218072,0.05427698191108829
