eps,residual,mu,global_closure,local_closure,rank,amp_min,amp_max,axis1,axis2,axis3,axis4,axis5,axis6,axis7,axis8,axis9
-0.900,7.409e-17,-0.600000000,8.865e-17,2.586e-17,9,0.081650,0.350782,0.517862519,0.394579520,0.360724149,0.359773065,0.297470911,0.185205627,0.182407002,0.129937908,0.126217690
-0.850,9.942e-17,-0.600000000,3.271e-17,1.668e-17,9,0.100000,0.346289,0.517702999,0.385958897,0.357557961,0.356542045,0.285892404,0.185065697,0.182310472,0.135402879,0.131868374
-0.800,1.011e-16,-0.600000000,9.739e-17,2.785e-17,9,0.115470,0.341736,0.517552902,0.377178087,0.354457575,0.353343732,0.273817149,0.184925692,0.182227017,0.140558234,0.137201877
-0.750,1.261e-16,-0.600000000,1.315e-16,3.737e-17,9,0.129099,0.337122,0.517412165,0.368266129,0.351432523,0.350142429,0.261178206,0.184785609,0.182156647,0.145420702,0.142237971
-0.700,1.122e-16,-0.600000000,9.816e-17,2.132e-17,9,0.141421,0.332444,0.517280735,0.359339274,0.348493401,0.346814774,0.247890847,0.184645444,0.182099366,0.150001156,0.146989944
-0.650,1.301e-16,-0.600000000,1.335e-16,2.926e-17,9,0.152753,0.327699,0.517158560,0.350921321,0.345651951,0.342829003,0.233845736,0.184505192,0.182055177,0.154305603,0.151465787
-0.600,7.135e-17,-0.600000000,1.636e-17,9.537e-18,9,0.163299,0.322884,0.517045596,0.344743751,0.342921114,0.336444361,0.218898058,0.184364850,0.182024076,0.158335909,0.155669021
-0.550,1.165e-16,-0.600000000,2.082e-17,1.156e-17,9,0.173205,0.317997,0.516941803,0.341018473,0.340315063,0.327437782,0.202849399,0.184224410,0.182006036,0.162090334,0.159599198
-0.500,1.638e-16,-0.600000000,1.084e-16,1.897e-17,9,0.182574,0.313033,0.516847146,0.338175292,0.337849179,0.317365662,0.185416507,0.184083866,0.182000495,0.165563982,0.163251510
-0.450,1.207e-16,-0.600000000,6.865e-17,1.552e-17,9,0.191485,0.307989,0.516761592,0.335702944,0.335539966,0.306721789,0.183943206,0.182009600,0.168749211,0.166811979,0.165969550
-0.400,1.012e-16,-0.600000000,9.687e-17,2.459e-17,9,0.200000,0.302862,0.516685115,0.333487257,0.333404878,0.295597777,0.183802412,0.182030722,0.171636060,0.169715669,0.144340556
-0.350,1.014e-16,-0.600000000,1.194e-16,2.384e-17,9,0.208167,0.297645,0.516617689,0.331502455,0.331462038,0.283989810,0.183661454,0.182064913,0.174212725,0.172492807,0.118590467
-0.300,1.762e-16,-0.600000000,7.380e-17,2.313e-17,9,0.216025,0.292336,0.516559294,0.329748398,0.329729834,0.271858687,0.183520279,0.182112047,0.176466128,0.174957784,0.085395627
-0.250,6.548e-17,-0.600000000,3.222e-17,8.340e-18,9,0.223607,0.286929,0.516509913,0.328234037,0.328226382,0.259142541,0.183378780,0.182171977,0.178382604,0.177096645,0.022822964
-0.200,1.263e-16,-0.600000000,5.444e-17,1.179e-17,9,0.230940,0.281418,0.516469529,0.326971538,0.326968871,0.245757203,0.183236716,0.182244420,0.179948726,0.178896502,0.079061080
-0.150,1.474e-16,-0.600000000,1.326e-16,3.016e-17,9,0.238048,0.275796,0.516438132,0.325973531,0.325972824,0.231590811,0.183093458,0.182328686,0.181152379,0.180345777,0.114114142
-0.100,9.416e-17,-0.600000000,1.056e-16,2.502e-17,9,0.244949,0.270058,0.516415712,0.325251437,0.325251323,0.216492878,0.182946969,0.182422706,0.181984608,0.181435882,0.140687898
-0.050,9.917e-17,-0.600000000,5.796e-17,1.481e-17,9,0.251661,0.264195,0.516402262,0.324814297,0.324814292,0.200254815,0.182788570,0.182518175,0.182445627,0.182166817,0.162983424
0.000,1.456e-16,-0.600000000,9.620e-17,2.381e-17,9,0.258199,0.258199,0.516397779,0.324667915,0.324667915,0.182574186,0.182574186,0.182574186,0.182574186,0.182574186,0.182574186
0.050,1.038e-16,-0.600000000,1.410e-16,3.613e-17,9,0.252060,0.264575,0.516402262,0.324814295,0.324814293,0.200254815,0.182789732,0.182506597,0.182457143,0.182165716,0.162983424
0.100,1.209e-16,-0.600000000,4.813e-17,1.349e-17,9,0.245768,0.270801,0.516415712,0.325251384,0.325251375,0.216492878,0.182957841,0.182382161,0.182024450,0.181425713,0.140687898
0.150,1.188e-16,-0.600000000,8.570e-17,1.854e-17,9,0.239311,0.276887,0.516438132,0.325973226,0.325973129,0.231590810,0.183126793,0.182245763,0.181233151,0.180314593,0.114114143
0.200,1.269e-16,-0.600000000,5.274e-17,1.636e-17,9,0.232675,0.282843,0.516469529,0.326970600,0.326969810,0.245757200,0.183305643,0.182106172,0.180082684,0.178831865,0.079061082
0.250,1.371e-16,-0.600000000,1.099e-16,2.555e-17,9,0.225843,0.288675,0.516509913,0.328231818,0.328228602,0.259142533,0.183496309,0.181965418,0.178582196,0.176986087,0.022822954
0.300,8.214e-17,-0.600000000,7.140e-17,1.939e-17,9,0.218799,0.294392,0.516559294,0.329743967,0.329734269,0.271858667,0.183699296,0.181824117,0.176744076,0.174788757,0.085395622
0.350,8.697e-17,-0.600000000,4.579e-17,1.180e-17,9,0.211520,0.300000,0.516617689,0.331494592,0.331469916,0.283989759,0.183914746,0.181682504,0.174582117,0.172252550,0.118590459
0.400,1.485e-16,-0.600000000,7.552e-17,2.182e-17,9,0.203981,0.305505,0.516685115,0.333474483,0.333417711,0.295597649,0.184142682,0.181540686,0.172110486,0.169391072,0.144340518
0.450,6.359e-17,-0.600000000,3.016e-17,9.252e-18,9,0.196153,0.310913,0.516761592,0.335683589,0.335559526,0.306721461,0.184383075,0.181398740,0.169342936,0.166526466,0.165832367
0.500,1.054e-16,-0.600000000,5.498e-17,1.463e-17,9,0.187999,0.316228,0.516847146,0.338147721,0.337877468,0.317364739,0.185415813,0.184635880,0.181256222,0.166292165,0.162716326
0.550,1.095e-16,-0.600000000,1.018e-16,2.415e-17,9,0.179475,0.321455,0.516941803,0.340982084,0.340354278,0.327434633,0.202849180,0.184901035,0.181114219,0.162969291,0.158935682
0.600,1.174e-16,-0.600000000,4.467e-17,9.881e-18,9,0.170526,0.326599,0.517045596,0.344705043,0.342973613,0.336430083,0.218897863,0.185178474,0.180971885,0.159383417,0.154860237
