eps,residual,mu,global_closure,local_closure,rank,amp_min,amp_max,axis1,axis2,axis3,axis4,axis5,axis6,axis7,axis8,axis9,axis10,axis11
-0.900,7.659e-17,-0.733333333,5.593e-17,1.232e-17,11,0.081650,0.352472,0.578410390,0.430180202,0.376575643,0.376051556,0.343583326,0.214499341,0.213628034,0.165226695,0.160099801,0.105787964,0.104886406
-0.850,1.396e-16,-0.733333333,5.299e-17,1.058e-17,11,0.100000,0.347905,0.578296131,0.420293769,0.373281903,0.372728402,0.331170737,0.212938130,0.212156011,0.166767173,0.161748343,0.112888331,0.112153860
-0.800,6.764e-17,-0.733333333,1.232e-17,6.502e-18,11,0.115470,0.343278,0.578188344,0.410175849,0.370065548,0.369493792,0.318250391,0.211367807,0.210669316,0.168281863,0.163385232,0.119472614,0.118883859
-0.750,1.035e-16,-0.733333333,6.357e-18,5.289e-18,11,0.129099,0.338587,0.578087039,0.399813975,0.366936562,0.366343360,0.304768429,0.209786869,0.209166599,0.169767039,0.165008208,0.125608444,0.125147995
-0.700,3.110e-16,-0.733333333,1.072e-17,1.037e-17,11,0.141421,0.333831,0.577992225,0.389200740,0.363905913,0.363270343,0.290652392,0.208193594,0.207646311,0.171218199,0.166614394,0.131345289,0.130997986
-0.650,1.302e-16,-0.733333333,8.674e-18,6.502e-18,11,0.152753,0.329006,0.577903911,0.378351055,0.360985591,0.360245609,0.275808295,0.206586000,0.206106660,0.172629876,0.168200096,0.136720301,0.136472150
-0.600,7.466e-17,-0.733333333,3.473e-17,1.454e-17,11,0.163299,0.324109,0.577822105,0.367407719,0.358188625,0.357110568,0.260113675,0.204961786,0.204545561,0.173995434,0.169760574,0.141762115,0.141599567
-0.550,9.102e-17,-0.733333333,3.825e-17,1.183e-17,11,0.173205,0.319136,0.577746814,0.357862750,0.355529058,0.352354614,0.243405562,0.203318270,0.202960575,0.175306886,0.171289774,0.146493448,0.146402958
-0.500,9.536e-17,-0.733333333,4.796e-17,1.232e-17,11,0.182574,0.314086,0.577678047,0.353508998,0.353021884,0.342162214,0.225459922,0.201652266,0.201348824,0.176554717,0.172780030,0.150933000,0.150900809
-0.450,1.466e-16,-0.733333333,7.345e-17,1.277e-17,11,0.191485,0.308952,0.577615810,0.350856366,0.350682915,0.329995078,0.205955601,0.199958959,0.199706908,0.177727788,0.174221738,0.155109021,0.155096891
-0.400,2.169e-16,-0.733333333,1.820e-17,7.097e-18,11,0.200000,0.303732,0.577560107,0.348601345,0.348528578,0.317120526,0.198239896,0.198030783,0.184394235,0.178813318,0.175602229,0.159042165,0.158999775
-0.350,1.632e-16,-0.733333333,4.483e-17,1.095e-17,11,0.208167,0.298421,0.577510946,0.346606927,0.346575624,0.303628688,0.196482183,0.196315636,0.179797036,0.176913196,0.162721259,0.162655703,0.159944028
-0.300,1.077e-16,-0.733333333,7.256e-17,1.839e-17,11,0.216025,0.293013,0.577468330,0.344853623,0.344840747,0.289477440,0.194683918,0.194555729,0.180663508,0.178130865,0.166144573,0.166078749,0.131023674
-0.250,1.655e-16,-0.733333333,6.280e-17,1.429e-17,11,0.223607,0.287503,0.577432263,0.343344887,0.343340114,0.274581152,0.192838014,0.192744226,0.181396711,0.179241726,0.169344153,0.169283408,0.093543407
-0.200,8.316e-17,-0.733333333,5.108e-17,1.300e-17,11,0.230940,0.281886,0.577402749,0.342090298,0.342088819,0.258818808,0.190936576,0.190873007,0.181980825,0.180226911,0.172333357,0.172284775,0.018257833
-0.150,9.856e-17,-0.733333333,1.247e-16,2.371e-17,11,0.238048,0.276155,0.577379791,0.341100632,0.341100294,0.242025380,0.188970531,0.188932486,0.182401221,0.181068055,0.175131178,0.175098510,0.089909285
-0.100,1.546e-16,-0.733333333,8.228e-17,2.104e-17,11,0.244949,0.270302,0.577363390,0.340385767,0.340385723,0.223971566,0.186929505,0.186911446,0.182645551,0.181748308,0.177757422,0.177740645,0.128454557
-0.050,1.261e-16,-0.733333333,7.732e-17,1.428e-17,11,0.251661,0.264320,0.577353550,0.339953508,0.339953507,0.204325221,0.184801758,0.184796922,0.182704805,0.182253668,0.180231989,0.180227272,0.157851777
0.000,1.974e-16,-0.733333333,5.892e-17,1.411e-17,11,0.258199,0.258199,0.577350269,0.339808849,0.339808849,0.182574186,0.182574186,0.182574186,0.182574186,0.182574186,0.182574186,0.182574186,0.182574186
0.050,9.659e-17,-0.733333333,7.270e-17,1.608e-17,11,0.251929,0.264575,0.577353550,0.339953508,0.339953507,0.204325221,0.184802138,0.184796539,0.182704824,0.182253650,0.180232414,0.180226850,0.157851777
0.100,7.964e-17,-0.733333333,2.794e-17,7.885e-18,11,0.245500,0.270801,0.577363390,0.340385767,0.340385723,0.223971566,0.186932357,0.186908555,0.182645840,0.181748011,0.177760977,0.177737138,0.128454557
0.150,1.788e-16,-0.733333333,6.939e-17,1.577e-17,11,0.238897,0.276887,0.577379791,0.341100632,0.341100295,0.242025380,0.188979512,0.188923323,0.182402649,0.181066566,0.175143612,0.175086320,0.089909285
0.200,7.151e-17,-0.733333333,5.576e-17,1.357e-17,11,0.232106,0.282843,0.577402749,0.342090297,0.342088820,0.258818808,0.190956364,0.190852689,0.181985217,0.180222280,0.172363619,0.172255281,0.018257833
0.250,1.376e-16,-0.733333333,6.466e-17,1.154e-17,11,0.225111,0.288675,0.577432263,0.343344883,0.343340118,0.274581152,0.192873838,0.192707216,0.181407094,0.179230687,0.169404269,0.169225133,0.093543407
0.300,1.122e-16,-0.733333333,5.117e-17,1.699e-17,11,0.217892,0.294392,0.577468330,0.344853613,0.344840757,0.289477440,0.194741177,0.194496228,0.180684262,0.178108670,0.166249176,0.165977829,0.131023673
0.350,8.507e-17,-0.733333333,5.740e-17,1.058e-17,11,0.210425,0.300000,0.577510946,0.346606905,0.346575647,0.303628687,0.196566134,0.196227904,0.179833942,0.176873598,0.162882571,0.162501199,0.159943691
0.400,1.214e-16,-0.733333333,1.060e-16,2.468e-17,11,0.202682,0.305505,0.577560107,0.348601298,0.348528625,0.317120526,0.198355182,0.197909648,0.184394225,0.178873522,0.175537466,0.159289417,0.158762941
0.450,1.271e-16,-0.733333333,2.213e-17,7.885e-18,11,0.194633,0.310913,0.577615810,0.350856279,0.350683004,0.329995076,0.205955463,0.200113708,0.199543751,0.177819689,0.174122934,0.155455302,0.154766057
0.500,1.090e-16,-0.733333333,6.968e-17,1.262e-17,11,0.186235,0.316228,0.577678047,0.353508854,0.353022038,0.342162202,0.225459909,0.201846199,0.201143061,0.176687828,0.172637144,0.151366099,0.150489326
0.550,9.731e-17,-0.733333333,1.317e-16,2.344e-17,11,0.177441,0.321455,0.577746814,0.357862623,0.355529307,0.352354491,0.243405555,0.203556392,0.202706679,0.175491656,0.171091914,0.147007396,0.145917870
0.600,1.880e-16,-0.733333333,1.357e-16,2.402e-17,11,0.168187,0.326599,0.577822105,0.367407693,0.358189006,0.357110208,0.260113669,0.205247413,0.204239579,0.174243094,0.169496159,0.142363679,0.141035096
0.650,8.201e-17,-0.733333333,5.677e-17,1.338e-17,11,0.158394,0.331662,0.577903911,0.378351045,0.360986150,0.360245053,0.275808288,0.206921882,0.205745196,0.172952281,0.167856995,0.137417270,0.135821405
0.700,9.360e-17,-0.733333333,8.328e-17,2.213e-17,11,0.147954,0.336650,0.577992225,0.389200733,0.363906702,0.363269550,0.290652385,0.208582010,0.207226451,0.171627713,0.166180033,0.132146982,0.130252460
0.750,1.198e-16,-0.733333333,1.120e-16,1.951e-17,11,0.136719,0.341565,0.578087039,0.399813970,0.366937640,0.366342272,0.304768419,0.210229670,0.208685866,0.170276432,0.164469635,0.126526356,0.124296924
0.800,1.389e-16,-0.733333333,1.129e-16,2.713e-17,11,0.124474,0.346410,0.578188344,0.410175845,0.370066980,0.369492345,0.318250377,0.211866460,0.210125629,0.168904241,0.162729157,0.120521298,0.117913331
0.850,2.675e-16,-0.733333333,1.105e-16,2.528e-17,11,0.110885,0.351188,0.578296131,0.420293765,0.373283759,0.372726526,0.331170717,0.213493752,0.211547657,0.167515924,0.160961162,0.114086697,0.111045464
0.900,9.026e-17,-0.733333333,4.350e-17,1.347e-17,11,0.095379,0.355903,0.578410390,0.430180198,0.376577999,0.376049180,0.343583291,0.215112733,0.212953631,0.166115453,0.159167597,0.107161306,0.103615060
