eps,residual,mu,global_closure,local_closure,rank,amp_min,amp_max,axis1,axis2,axis3,axis4,axis5,axis6,axis7,axis8,axis9,axis10,axis11,axis12
-0.900,2.062e-16,-0.800000000,2.698e-16,4.402e-17,12,0.081650,0.310913,0.457486161,0.457486161,0.449999285,0.449999285,0.370762642,0.370762642,0.311124675,0.311124675,0.284895599,0.284895599,0.214132232,0.214132232
-0.850,3.389e-16,-0.800000000,2.209e-16,3.739e-17,12,0.100000,0.308221,0.455375497,0.455375497,0.446606910,0.446606910,0.370131941,0.370131941,0.300198941,0.300198941,0.281086131,0.281086131,0.212997620,0.212997620
-0.800,3.000e-16,-0.800000000,2.738e-16,4.398e-17,12,0.115470,0.305505,0.453352133,0.453352133,0.443294217,0.443294217,0.369533807,0.369533807,0.288924845,0.288924845,0.277224695,0.277224695,0.211995417,0.211995417
-0.750,3.209e-16,-0.800000000,2.980e-16,5.317e-17,12,0.129099,0.302765,0.451419884,0.451419884,0.440067864,0.440067864,0.368968729,0.368968729,0.277277338,0.277277338,0.273309122,0.273309122,0.211131494,0.211131494
-0.700,2.168e-16,-0.800000000,2.287e-16,4.206e-17,12,0.141421,0.300000,0.449582535,0.449582535,0.436934785,0.436934785,0.368437173,0.368437173,0.269337089,0.269337089,0.265232146,0.265232146,0.210411109,0.210411109
-0.650,1.932e-16,-0.800000000,2.061e-16,3.530e-17,12,0.152753,0.297209,0.447843817,0.447843817,0.433902161,0.433902161,0.367939582,0.367939582,0.265306102,0.265306102,0.252768965,0.252768965,0.209838791,0.209838791
-0.600,1.759e-16,-0.800000000,1.709e-16,3.001e-17,12,0.163299,0.294392,0.446207390,0.446207390,0.430977398,0.430977398,0.367476378,0.367476378,0.261213480,0.261213480,0.239877866,0.239877866,0.209418234,0.209418234
-0.550,2.104e-16,-0.800000000,2.340e-16,3.708e-17,12,0.173205,0.291548,0.444676812,0.444676812,0.428168090,0.428168090,0.367047958,0.367047958,0.257056337,0.257056337,0.226571988,0.226571988,0.209152210,0.209152210
-0.500,2.114e-16,-0.800000000,2.388e-16,3.777e-17,12,0.182574,0.288675,0.443255516,0.443255516,0.425481974,0.425481974,0.366654691,0.366654691,0.252831553,0.252831553,0.212912790,0.212912790,0.209042497,0.209042497
-0.450,1.820e-16,-0.800000000,1.931e-16,3.112e-17,12,0.191485,0.285774,0.441946782,0.441946782,0.422926880,0.422926880,0.366296922,0.366296922,0.248535755,0.248535755,0.209089833,0.209089833,0.199060205,0.199060205
-0.400,1.575e-16,-0.800000000,1.676e-16,3.833e-17,12,0.200000,0.282843,0.440753716,0.440753716,0.420510675,0.420510675,0.365974966,0.365974966,0.244165281,0.244165281,0.209293900,0.209293900,0.185370035,0.185370035
-0.350,2.513e-16,-0.800000000,1.628e-16,2.508e-17,12,0.208167,0.279881,0.439679217,0.439679217,0.418241190,0.418241190,0.365689108,0.365689108,0.239716149,0.239716149,0.209653328,0.209653328,0.172567205,0.172567205
-0.300,4.183e-16,-0.800000000,1.944e-16,3.214e-17,12,0.216025,0.276887,0.438725956,0.438725956,0.416126151,0.416126151,0.365439605,0.365439605,0.235184017,0.235184017,0.210165734,0.210165734,0.161975536,0.161975536
-0.250,2.182e-16,-0.800000000,8.312e-17,1.607e-17,12,0.223607,0.273861,0.437896349,0.437896349,0.414173097,0.414173097,0.365226681,0.365226681,0.230564131,0.230564131,0.210827779,0.210827779,0.155540913,0.155540913
-0.200,2.773e-16,-0.800000000,1.765e-16,3.061e-17,12,0.230940,0.270801,0.437192539,0.437192539,0.412389291,0.412389291,0.365050529,0.365050529,0.225851276,0.225851276,0.211635256,0.211635256,0.155034889,0.155034889
-0.150,1.794e-16,-0.800000000,1.705e-16,2.722e-17,12,0.238048,0.267706,0.436616370,0.436616370,0.410781637,0.410781637,0.364911309,0.364911309,0.221039712,0.221039712,0.212583182,0.212583182,0.160620940,0.160620940
-0.100,2.104e-16,-0.800000000,1.625e-16,3.019e-17,12,0.244949,0.264575,0.436169370,0.436169370,0.409356580,0.409356580,0.364809148,0.364809148,0.216123091,0.216123091,0.213665916,0.213665916,0.170693244,0.170693244
-0.050,2.106e-16,-0.800000000,9.645e-17,1.688e-17,12,0.251661,0.261406,0.435852739,0.435852739,0.408120021,0.408120021,0.364744139,0.364744139,0.214877277,0.214877277,0.211094377,0.211094377,0.183251596,0.183251596
