eps,residual,mu,global_closure,local_closure,rank,amp_min,amp_max,axis1,axis2,axis3,axis4,axis5,axis6,axis7,axis8,axis9,axis10,axis11,axis12,axis13
-0.900,1.384e-16,-0.866666667,1.334e-16,2.253e-17,13,0.081650,0.353445,0.633275004,0.463232350,0.390505150,0.390504755,0.384593655,0.220549571,0.219807085,0.202534638,0.201061560,0.136628066,0.135306709,0.094607096,0.093660895
-0.850,1.122e-16,-0.866666667,6.772e-17,1.602e-17,13,0.100000,0.348836,0.633186624,0.452233103,0.387117282,0.387113657,0.371275948,0.218613877,0.217872701,0.202034691,0.200605044,0.139579809,0.138310504,0.103154940,0.102275679
-0.800,1.129e-16,-0.866666667,6.643e-17,1.402e-17,13,0.115470,0.344166,0.633103264,0.440959592,0.383814854,0.383810891,0.357459196,0.216660900,0.215925063,0.201506745,0.200126719,0.142470423,0.141255975,0.110966063,0.110140644
-0.750,1.455e-16,-0.866666667,1.273e-16,2.149e-17,13,0.129099,0.339432,0.633024927,0.429390224,0.380608210,0.380604353,0.343085892,0.214690168,0.213963802,0.200945344,0.199620980,0.145303556,0.144146694,0.118171264,0.117391464
-0.700,1.338e-16,-0.866666667,1.361e-16,2.050e-17,13,0.141421,0.334630,0.632951620,0.417500424,0.377508592,0.377504932,0.328083288,0.212701187,0.211988533,0.200344452,0.199081613,0.148082506,0.146985889,0.124860006,0.124120643
-0.650,2.245e-16,-0.866666667,8.185e-17,2.062e-17,13,0.152753,0.329759,0.632883346,0.405262034,0.374528164,0.374524639,0.312360839,0.210693438,0.209998851,0.199697380,0.198501703,0.150810266,0.149776487,0.131095777,0.130393744
-0.600,1.076e-16,-0.866666667,7.625e-17,1.110e-17,13,0.163299,0.324814,0.632820112,0.392642599,0.371679992,0.371676348,0.295803835,0.208666381,0.207994338,0.198996699,0.197873553,0.153489566,0.152521155,0.136924819,0.136258542
-0.550,1.510e-16,-0.866666667,8.017e-17,1.279e-17,13,0.173205,0.319793,0.632761920,0.379604864,0.368977995,0.368973188,0.278263369,0.206619445,0.205974552,0.198234173,0.197188600,0.156122899,0.155222330,0.142381455,0.141750585
-0.500,1.116e-16,-0.866666667,8.887e-17,1.790e-17,13,0.182574,0.314693,0.632708776,0.366514012,0.366436859,0.366019848,0.259540137,0.204552032,0.203939033,0.197400690,0.196437352,0.158712552,0.157882242,0.147491544,0.146896784
-0.450,1.344e-16,-0.866666667,9.036e-17,2.150e-17,13,0.191485,0.309508,0.632660681,0.364073456,0.364071883,0.352074808,0.239356751,0.202463515,0.201887297,0.196486223,0.195609341,0.161260629,0.160502943,0.152274854,0.151717863
-0.400,1.272e-16,-0.866666667,9.282e-17,1.700e-17,13,0.200000,0.304234,0.632617641,0.361899187,0.361898772,0.337473286,0.217306742,0.200353230,0.199818836,0.195479814,0.194693106,0.163769068,0.163086322,0.156746778,0.156230130
