step,treat_Hperp,treat_Hperp_frac,treat_PR_M,treat_amp_std
0,1.9736240028827477e-32,1.8357878946174734e-32,0.6339503544336341,0.10335840537790712
25,3.263296845052219e-29,3.0353911565425837e-29,0.6339503544336361,0.10335840537790493
50,1.3037840953512563e-28,1.2127289979979627e-28,0.6339503544336362,0.10335840537790451
75,2.5414992453045175e-28,2.364003245752414e-28,0.6339503544336427,0.10335840537790326
100,4.378427524063171e-28,4.072642121495796e-28,0.6339503544336398,0.10335840537790386
125,6.913688456112705e-28,6.430842732126522e-28,0.6339503544336335,0.1033584053779037
150,1.1632370903660938e-27,1.0819976682210667e-27,0.633950354433631,0.10335840537790361
200,3.1917598902923625e-27,2.9688502777460534e-27,0.6339503544336492,0.10335840537790075
300,1.560457962198706e-26,1.4514769950507622e-26,0.6339503544336254,0.10335840537789887
500,1.1538508529583175e-25,1.0732669571110963e-25,0.6339503544336369,0.10335840537789405
750,5.953269465882476e-25,5.537498532093207e-25,0.6339503544336301,0.10335840537788811
1000,1.265737139450033e-23,1.1773392069499012e-23,0.6339503544332589,0.10335840537794837
1500,1.5727197049994296e-21,1.4628823888687891e-21,0.6339503544263889,0.10335840537896362
2000,7.395441011149066e-20,6.878950126165115e-20,0.6339503544408707,0.1033584053749977
3000,5.959644751327848e-16,5.543428573393189e-16,0.6339503510985137,0.10335840592795938
4000,9.407817265215003e-12,8.750783849930196e-12,0.6339505767421548,0.10335838168514681
5000,7.41382276860749e-08,6.896048118370302e-08,0.6339653707632159,0.10335476495593897
7500,0.8539952625937967,0.7943530089013958,0.5095014267858323,0.11340435535844268
10000,1.0233991735259818,0.9519259045167064,0.42192317404260676,0.13854266484840555
15000,0.9363998862290001,0.8710025684472329,0.32140890924020765,0.16247999968486088
20000,0.9893372608795437,0.9202428449204795,0.2519183103524429,0.19116517158717516
25000,1.009663523868063,0.9391495401587159,0.2819773870495776,0.20243698572352006
30000,0.9807805817603706,0.9122837565014911,0.2690424665498448,0.20437783661699718
35000,0.9144524034748747,0.8505878779599486,0.18544040618434424,0.22554471749765967
40000,0.9108107270344667,0.8472005328954638,0.1799179388228013,0.22938274296096745
