tag,N,seed,constraint_residual,selfcons_residual,mu,minus_W0,global_closure,local_closure,amp_min,amp_max,amp_std_over_rms,phase_classes,rank,roundness,axes,vertex_null,rho,rho_minus_1,lambda_f,pred_band
random_N5_s0,5,0,8.6e-17,3.4e-17,-0.343860,-0.343860,9.1e-17,6.5e-17,0.2028,0.3461,0.148,none (generic),4,0.561,0.3802 0.3387 0.2658 0.1667,9.6e-17,1.006314705,6.31e-03,0.01259,inflating
random_N5_s1,5,1,1.1e-16,5.9e-17,-0.343860,-0.343860,4.0e-17,4.9e-17,0.1502,0.3705,0.251,none (generic),4,0.664,0.4062 0.3345 0.2518 0.1364,5.8e-17,1.007373827,7.37e-03,0.01469,inflating
random_N5_s2,5,2,9.7e-17,7.6e-17,-0.343860,-0.343860,3.3e-17,5.1e-17,0.1616,0.3629,0.192,none (generic),4,0.475,0.3980 0.3222 0.2480 0.2089,7.9e-17,1.006975316,6.98e-03,0.01390,inflating
random_N5_s3,5,3,1.0e-16,8.9e-17,-0.343860,-0.343860,5.1e-17,2.3e-17,0.1716,0.3486,0.183,none (generic),4,0.500,0.3880 0.3380 0.2501 0.1939,6.3e-17,1.006508115,6.51e-03,0.01297,inflating
random_N5_s4,5,4,8.0e-17,3.4e-17,-0.343860,-0.343860,3.1e-17,3.9e-17,0.2067,0.3530,0.172,none (generic),4,0.503,0.3980 0.3114 0.2668 0.1978,9.3e-17,1.007186956,7.19e-03,0.01432,inflating
random_N6_s0,6,0,1.6e-16,4.5e-17,-0.358361,-0.358361,2.6e-17,3.5e-17,0.0806,0.4113,0.386,none (generic),5,0.346,0.3792 0.3630 0.3464 0.2595 0.2482,6.1e-17,1.004612190,4.61e-03,0.00920,inflating
random_N6_s1,6,1,2.0e-16,6.8e-17,-0.358361,-0.358361,2.9e-17,3.2e-17,0.1679,0.3821,0.243,none (generic),5,0.357,0.3731 0.3350 0.2978 0.2590 0.2398,1.1e-16,1.004063276,4.06e-03,0.00811,inflating
random_N6_s2,6,2,1.3e-16,7.2e-17,-0.358361,-0.358361,4.0e-17,3.3e-17,0.0925,0.3898,0.354,none (generic),5,0.473,0.3722 0.3467 0.3258 0.3171 0.1963,5.2e-17,1.005651662,5.65e-03,0.01127,inflating
random_N6_s3,6,3,1.0e-16,4.8e-17,-0.358361,-0.358361,5.8e-17,3.2e-17,0.0325,0.3940,0.376,none (generic),5,0.481,0.3772 0.3642 0.3069 0.2633 0.1957,5.0e-17,1.005100549,5.10e-03,0.01018,inflating
random_N6_s4,6,4,2.2e-16,6.6e-17,-0.358361,-0.358361,2.3e-17,3.1e-17,0.1276,0.3732,0.232,none (generic),5,0.471,0.3544 0.3478 0.3102 0.2695 0.1874,7.3e-17,1.004310435,4.31e-03,0.00860,inflating
random_N7_s0,7,0,1.8e-16,6.6e-17,-0.418631,-0.418631,1.7e-17,2.2e-17,0.0364,0.3609,0.347,none (generic),6,0.544,0.3812 0.3691 0.3515 0.3110 0.2438 0.1737,9.2e-17,1.005129050,5.13e-03,0.01023,inflating
random_N7_s1,7,1,1.6e-16,1.1e-16,-0.418631,-0.418631,6.4e-17,3.9e-17,0.0743,0.3905,0.325,none (generic),6,0.698,0.4130 0.3839 0.3163 0.2787 0.2302 0.1246,1.4e-16,1.004326880,4.33e-03,0.00864,inflating
random_N7_s2,7,2,1.4e-16,5.6e-17,-0.418631,-0.418631,9.5e-18,2.9e-17,0.1228,0.3612,0.239,none (generic),6,0.611,0.3950 0.3560 0.3340 0.2732 0.2144 0.1536,6.5e-17,1.005681811,5.68e-03,0.01133,inflating
random_N7_s3,7,3,2.7e-16,5.2e-17,-0.418631,-0.418631,2.5e-17,1.8e-17,0.0777,0.4263,0.318,none (generic),6,0.649,0.4040 0.3588 0.3472 0.3163 0.2426 0.1419,8.3e-17,1.003762023,3.76e-03,0.00751,inflating
random_N7_s4,7,4,1.7e-16,8.3e-17,-0.418631,-0.418631,5.0e-17,3.1e-17,0.0980,0.3584,0.312,none (generic),6,0.622,0.3919 0.3830 0.3023 0.2890 0.2610 0.1483,1.4e-16,1.006623460,6.62e-03,0.01320,inflating
random_N8_s0,8,0,1.8e-16,7.3e-17,-0.423598,-0.423598,2.5e-17,2.0e-17,0.1025,0.4053,0.293,none (generic),7,0.537,0.3947 0.3604 0.3343 0.2912 0.2543 0.2279 0.1828,1.3e-16,1.003431575,3.43e-03,0.00685,inflating
random_N8_s1,8,1,2.6e-16,1.1e-16,-0.423598,-0.423598,5.2e-17,3.2e-17,0.0250,0.3399,0.357,none (generic),7,0.760,0.4145 0.3714 0.3184 0.2655 0.2423 0.2067 0.0993,9.1e-17,1.006346832,6.35e-03,0.01265,inflating
random_N8_s2,8,2,2.0e-16,9.0e-17,-0.423598,-0.423598,6.6e-17,2.5e-17,0.0037,0.4278,0.487,none (generic),7,0.675,0.3984 0.3918 0.3722 0.3381 0.2980 0.2566 0.1295,1.2e-16,1.004140235,4.14e-03,0.00826,inflating
random_N8_s3,8,3,2.0e-16,6.7e-17,-0.423598,-0.423598,5.2e-17,2.7e-17,0.0807,0.3754,0.348,none (generic),7,0.664,0.3980 0.3705 0.3357 0.3196 0.2959 0.1888 0.1337,9.4e-17,1.004827004,4.83e-03,0.00963,inflating
random_N8_s4,8,4,1.5e-16,6.8e-17,-0.423598,-0.423598,6.6e-17,2.4e-17,0.0554,0.3766,0.361,none (generic),7,0.523,0.3872 0.3799 0.3396 0.2923 0.2787 0.2202 0.1848,6.5e-17,1.004848659,4.85e-03,0.00967,inflating
