tag,N,eps,k,pred_kind,pred_lambda_f,pred_t50,f0,max_f,max_f_step,final_f,t50_measured,lambda_measured,lambda_ratio_meas_over_pred,growth_fit_R2,t50_pred_from_measured_floor,ln_f_40000_pred,ln_f_40000_measured,final_amp_min,final_amp_max,final_amp_std,final_PR_over_M,init_amp_min,init_amp_max,init_amp_std,final_abs_ZTZ_over_H,Htotal_drift
N6_eps0.00_k2,6,0.0,2,inflating,0.01431,5025,3.37e-32,9.969e-01,12862,7.958e-01,5269,0.01431,1.0000,1.00000,5016,499.9,-0.2,0.0016,0.7117,0.2283,0.172,0.2677,0.2677,0.0000,3.3e-13,7.2e-13
N6_eps0.30_k2,6,0.3,2,inflating,0.01413,5088,1.49e-32,9.978e-01,8534,9.195e-01,4908,0.01413,1.0001,0.99998,5137,492.0,-0.1,0.0031,0.7064,0.2214,0.207,0.2330,0.3052,0.0287,3.1e-13,8.4e-13
N6_eps0.60_k2,6,0.6,2,inflating,0.01329,5410,1.49e-32,9.928e-01,5486,7.730e-01,5064,0.01329,1.0001,0.99995,5462,458.4,-0.3,0.0033,0.6543,0.2261,0.231,0.1920,0.3386,0.0590,3.1e-14,7.1e-13
N6_eps0.90_k2,6,0.9,2,inflating,0.01341,5363,1.97e-32,9.771e-01,11653,8.498e-01,4762,0.01333,0.9938,0.99935,5393,463.4,-0.2,0.0023,0.5813,0.2173,0.285,0.1396,0.3690,0.0939,1.9e-13,3.9e-13
N8_eps0.00_k2,8,0.0,2,inflating,0.01825,3940,4.25e-32,9.898e-01,8977,9.656e-01,3791,0.01825,1.0000,1.00000,3920,657.8,-0.0,0.0000,0.7039,0.2174,0.171,0.2460,0.2460,0.0000,2.2e-13,1.5e-12
N8_eps0.60_k2,8,0.6,2,inflating,0.01775,4050,4.67e-32,9.987e-01,10541,9.538e-01,3828,0.01775,0.9999,1.00000,4024,638.1,-0.0,0.0000,0.6417,0.2164,0.187,0.1667,0.3112,0.0544,2.3e-13,2.4e-12
N8_eps0.60_k3,8,0.6,3,inflating,0.01827,3935,1.31e-32,9.952e-01,10043,9.844e-01,3977,0.01827,0.9999,0.99995,3980,657.5,-0.0,0.0000,0.7155,0.2195,0.165,0.1667,0.3112,0.0544,1.3e-13,3.6e-12
N9_eps0.00_k2,9,0.0,2,inflating,0.00029,247400,2.48e-32,6.378e-18,40000,6.378e-18,,,,,247704,-61.1,-39.6,0.2333,0.2333,0.0000,1.000,0.2333,0.2333,0.0000,3.6e-13,4.7e-12
N9_eps0.60_k2,9,0.6,2,inflating,0.00033,218228,1.95e-33,5.721e-18,40000,5.721e-18,,,,,226127,-62.1,-39.7,0.1476,0.2951,0.0738,0.735,0.1476,0.2951,0.0738,1.9e-13,1.3e-12
random_N5_s0,5,random,0,inflating,0.01259,5711,1.86e-32,9.953e-01,10256,8.078e-01,5357,0.01257,0.9987,0.99976,5748,430.5,-0.2,0.0160,0.6134,0.2133,0.324,0.2028,0.3461,0.0433,5.8e-14,1.1e-12
random_N5_s1,5,random,1,inflating,0.01469,4895,2.54e-32,9.799e-01,11129,7.830e-01,4442,0.01468,0.9994,0.99964,4905,514.9,-0.2,0.0120,0.6448,0.2383,0.217,0.1502,0.3705,0.0737,1.5e-13,6.3e-13
random_N5_s2,5,random,2,inflating,0.01390,5173,1.79e-32,9.817e-01,6403,8.024e-01,4666,0.01391,1.0005,0.99944,5209,482.9,-0.2,0.0109,0.6443,0.2345,0.223,0.1616,0.3629,0.0564,2.3e-13,1.1e-12
random_N5_s3,5,random,3,inflating,0.01297,5544,2.18e-32,9.743e-01,13189,8.557e-01,5143,0.01295,0.9988,0.99963,5567,445.9,-0.2,0.0088,0.6443,0.2196,0.287,0.1716,0.3486,0.0537,7.1e-14,7.6e-13
random_N5_s4,5,random,4,inflating,0.01432,5021,1.51e-32,9.892e-01,6539,7.752e-01,4707,0.01432,1.0002,0.99976,5068,499.5,-0.3,0.0097,0.6521,0.2328,0.229,0.2067,0.3530,0.0504,7.2e-14,1.0e-12
random_N6_s0,6,random,0,inflating,0.00920,7816,1.84e-32,9.882e-01,17017,8.472e-01,6878,0.00920,0.9998,0.99889,7868,294.9,-0.2,0.0039,0.6962,0.2294,0.180,0.0806,0.4113,0.1034,1.1e-13,6.7e-13
random_N6_s1,6,random,1,inflating,0.00811,8866,2.70e-32,9.905e-01,19226,9.068e-01,7867,0.00811,0.9999,0.99356,8878,251.7,-0.1,0.0066,0.7193,0.2218,0.207,0.1679,0.3821,0.0651,1.3e-13,3.0e-13
random_N6_s2,6,random,2,inflating,0.01127,6380,3.31e-32,9.935e-01,6047,8.623e-01,5695,0.01101,0.9769,0.98253,6370,378.3,-0.1,0.0025,0.5437,0.2165,0.302,0.0925,0.3898,0.0948,2.1e-13,3.7e-13
random_N6_s3,6,random,3,inflating,0.01018,7064,3.29e-33,9.968e-01,12559,8.763e-01,6357,0.01021,1.0027,0.99977,7279,332.4,-0.1,0.0028,0.6984,0.2187,0.232,0.0325,0.3940,0.1006,2.3e-13,1.1e-12
random_N6_s4,6,random,4,inflating,0.00860,8361,5.77e-32,9.710e-01,9089,8.395e-01,8123,0.00874,1.0164,0.99790,8283,272.1,-0.2,0.0045,0.6185,0.2187,0.253,0.1276,0.3732,0.0622,1.2e-13,6.9e-13
random_N7_s0,7,random,0,inflating,0.01023,7029,1.48e-33,9.928e-01,10948,8.879e-01,6389,0.01021,0.9982,0.99734,7322,333.6,-0.1,0.0000,0.8168,0.2348,0.126,0.0364,0.3609,0.0916,1.8e-13,1.9e-12
random_N7_s1,7,random,1,inflating,0.00864,8323,1.73e-34,9.964e-01,10454,9.449e-01,7407,0.00863,0.9987,0.99952,8917,267.9,-0.1,0.0000,0.8198,0.2344,0.115,0.0743,0.3905,0.0858,3.2e-13,2.0e-12
