N,q,kind,k,eps,T,residual,mu,global_closure,local_closure,rank,amp_min,amp_max,amp_spread,round,axes,vertex_null,embed_err
3,3,equimodular,0,0.0,0.0,2.1334277879468756e-17,-0.09999999999999996,1.4304896245381995e-16,0.3333333333333334,1,0.2581988897471611,0.2581988897471611,0.0,True,0.258199,0.022222222222222237,4.046035655711836e-17
4,3,equimodular,0,0.0,0.0,5.042647498783524e-17,-0.19999999999999993,1.3985787785349408e-16,7.152448122690998e-17,3,0.2581988897471611,0.2581988897471611,0.0,True,0.258199 0.258199 0.258199,2.8556916123843425e-17,4.906538933386797e-17
4,3,control_k1,1,0.6,0.06,0.05723635208501675,-0.182,0.3000000000000001,0.15000000000000005,3,0.21602468994692864,0.32659863237109044,0.1105739424241618,False,,0.007500000000000031,6.929782590776434e-17
5,2,equimodular,0,0.0,0.0,1.6328623988631376e-17,-0.2666666666666666,6.123233995736766e-17,2.4492935982947065e-17,4,0.2581988897471611,0.2581988897471611,0.0,True,0.273012 0.273012 0.273012 0.273012,7.287696899109827e-17,2.2204461124438145e-16
5,2,control_k1,1,0.6,0.08,0.12800000000000003,-0.17066666666666672,0.6000000000000001,0.24000000000000002,4,0.16329931618554522,0.32659863237109044,0.16329931618554522,False,,0.016000000000000045,1.6656468577873243e-16
6,5,equimodular,0,0.0,0.0,3.3072454878176786e-17,-0.33333333333333326,3.9252311467094385e-17,2.7971575570698816e-17,5,0.2581988897471611,0.25819888974716115,5.551115123125783e-17,False,0.365148 0.285744 0.285744 0.182574 0.182574,7.798167441738925e-17,2.2729511820139823e-16
6,5,member,2,0.6,2.0816681711721685e-17,4.430897298918121e-17,-0.3333333333333334,7.850462293418875e-17,3.4694469519536136e-17,5,0.1852187541575333,0.32659863237109044,0.14137987821355713,False,0.371813 0.306577 0.296436 0.244655 0.095484,4.808181475531509e-17,1.316562550716263e-16
6,5,member,3,0.6,2.9079264368403834e-17,3.638456684738103e-17,-0.33333333333333337,9.863546768122328e-17,3.473781053520972e-17,5,0.18521875415753333,0.32659863237109044,0.1413798782135571,False,0.371813 0.306577 0.296436 0.244655 0.095484,5.910742589855308e-17,1.9329521701561158e-16
6,5,control_k1,1,0.6,0.09999999999999999,0.09539392014169455,-0.3033333333333334,0.3,0.09999999999999998,5,0.18521875415753333,0.32659863237109044,0.1413798782135571,False,,0.00833333333333337,2.0328117071991353e-16
7,3,equimodular,0,0.0,0.0,9.465557770498482e-17,-0.39999999999999997,1.4192834470457546e-16,4.0871132129662843e-17,6,0.2581988897471611,0.2581988897471611,0.0,True,0.296971 0.296971 0.296971 0.296971 0.296971 0.296971,6.317515481600947e-17,1.4833660915169986e-16
7,3,control_k1,1,0.6,0.06,0.11447270417003347,-0.364,0.30000000000000004,0.08571428571428574,6,0.21602468994692864,0.32659863237109044,0.1105739424241618,False,,0.008571428571428619,1.1152037920556904e-16
8,7,equimodular,0,0.0,0.0,6.60847683825476e-17,-0.4666666666666666,1.0112052942561251e-16,3.176032259107733e-17,7,0.25819888974716104,0.25819888974716115,1.1102230246251565e-16,False,0.447214 0.307052 0.307052 0.182574 0.182574 0.182574 0.182574,1.1133784230775528e-16,1.7567876183194558e-16
8,7,member,2,0.6,3.469446951953614e-17,5.218091550690718e-17,-0.4666666666666667,9.520842800803589e-17,2.4936168950028413e-17,7,0.17500831966100897,0.32659863237109044,0.15159031271008147,False,0.448176 0.341563 0.321844 0.281156 0.172196 0.172052 0.164492,5.557317898695956e-17,1.5823112613210482e-16
8,7,member,3,0.6,4.1777673608052095e-17,5.951300752424157e-17,-0.46666666666666673,1.0722230470946571e-16,2.8370790691573776e-17,7,0.17500831966100897,0.32659863237109044,0.15159031271008147,False,0.451742 0.320597 0.316600 0.305528 0.173996 0.168408 0.164446,8.671000772357426e-17,2.2142031105300067e-16
8,7,member,4,0.6,1.0971354589302191e-17,4.427551863656719e-17,-0.4666666666666667,5.947623346206196e-17,1.4984772627160076e-17,7,0.17500831966100897,0.32659863237109044,0.15159031271008147,False,0.451742 0.320597 0.316600 0.305528 0.173996 0.168408 0.164446,6.380154043455378e-17,2.221745907381869e-16
