step,takagi_r1,takagi_r2,takagi_r3,takagi_r4,takagi_r5,takagi_r6,takagi_r7,takagi_r8,takagi_r9,takagi_r10,takagi_r11
0,0.3423674951189838,0.3398238248394395,0.3033896631986918,0.2925408418269076,0.22964727616733202,0.22708101227899954,0.21470596536699185,0.19214829491822638,0.1521803174138349,0.08988422562787933,4.050813207651537e-09
1,0.3423683947197446,0.33982506546700053,0.30339017793990136,0.2925419902706274,0.2296492954088021,0.2270785083596452,0.21470596187405594,0.19214869812595145,0.15218011994630637,0.08988370614080267,3.631662427515516e-09
2,0.3423697833346086,0.3398276008276484,0.3033913367426436,0.2925442979883666,0.229655512445422,0.2270723957693391,0.21470556990835682,0.1921495189696964,0.1521798394608837,0.08988214276403063,2.597830077091978e-09
3,0.34237166169031924,0.33983143125528303,0.3033931397010209,0.2925477649513114,0.22966586336288403,0.22706273910815467,0.21470479009660365,0.19215075853569247,0.1521794754160572,0.08987953667088407,9.451535418226053e-10
4,0.3423740308853199,0.33983655738689283,0.30339558705853586,0.2925523912388445,0.22968024808088294,0.22704963965470656,0.21470362346917302,0.192152418593725,0.15217902701355862,0.08987588968398397,3.3860971959682767e-09
5,0.3423768923899332,0.3398429801580165,0.3033986792065436,0.2925581770369288,0.2296985345766442,0.22703323113963303,0.21470207145947726,0.19215450159414132,0.1521784931999545,0.08987120427049626,2.1410021008783523e-09
6,0.34238024804665057,0.33985070079666635,0.3034024166821823,0.2925651226359825,0.2297205641183601,0.22701367450823418,0.2147001359031544,0.19215701066392094,0.1521778726687761,0.08986548353578633,1.681370727550794e-09
7,0.3423841000705649,0.33985972081570576,0.30340680016579963,0.2925732284282626,0.22974615704957857,0.22699115213123366,0.21469781903707766,0.19215994960181493,0.1521771638631915,0.08985873121549913,3.1946205079041604e-09
8,0.3423884510499679,0.33987004200365506,0.30341183047787507,0.29258249490475446,0.2297751186796913,0.2269658619085241,0.21469512349818415,0.1921633228725477,0.15217636497920967,0.08985095166607344,3.4759639183397614e-09
9,0.34239330394714446,0.3398816664139015,0.30341750857544547,0.29259292265157333,0.2298072449021209,0.22693801164430216,0.21469205232211727,0.19216713560008217,0.1521754739694159,0.08984214985371866,3.2983683395162636e-09
10,0.3423986620994073,0.33989459635228286,0.3034238355480473,0.29260451234588936,0.22984232725915718,0.22690781397465606,0.21468860894168107,0.19217139355994245,0.15217448854723167,0.08983233134186722,2.9981262977815636e-09
11,0.3424045292204165,0.3399088343630056,0.3034308126131799,0.2926172647513783,0.2298801572787449,0.2268754820223119,0.2146847971851022,0.19217610317059458,0.15217340619169253,0.08982150227713151,2.2188346865053595e-09
12,0.34241090940183694,0.33992438321285534,0.30343844111130364,0.2926311807132078,0.229920530006493,0.22684122585528418,0.21468062127409357,0.19218127148387742,0.15217222415273665,0.08980966937379348,3.3812144045641526e-09
13,0.3424178071154024,0.33994124587364893,0.30344672250038796,0.29264626115257203,0.22996324673511673,0.22680524974722982,0.21467608582171896,0.1921869061744859,0.1521709394569993,0.08979683989685629,3.215510950170611e-09
14,0.3424252272154495,0.33995942550286795,0.30345565835001553,0.2926625070607793,0.23000811698935794,0.22676775018147705,0.2146711958300497,0.19219301552849785,0.15216954891409995,0.08978302164369044,2.672574398725276e-09
15,0.3424331749420128,0.3399789254224073,0.3034652503350661,0.292679919492909,0.2300549598580102,0.22672891450712,0.2146659566876113,0.19219960843094488,0.15216804912341803,0.08976822292431323,3.4637237573157575e-09
16,0.34244165592456516,0.33999974909535957,0.30347550022898706,0.29269849956104377,0.23010360477976333,0.2266889201404769,0.2146603741666128,0.1922066943524198,0.15216643648134043,0.08975245254033834,2.308533444710799e-09
17,0.34245067618651437,0.340021900100747,0.30348640989667147,0.29271824842709526,0.23015389189106011,0.22664793420374313,0.2146544544199558,0.19221428333472254,0.15216470718897665,0.08973571976263951,3.1078912933698336e-09
18,0.3424602421505738,0.3400453821061021,0.30349798128696315,0.29273916729523275,0.2302056720367611,0.2266061135000597,0.21464820397801487,0.19222238597553618,0.15216285726032255,0.0897180343077719,2.3664149974667067e-09
19,0.3424703606451379,0.3400701988377756,0.30351021642480003,0.2927612574039296,0.23025880653210498,0.22656360473652726,0.2146416297451861,0.19223101341213322,0.15216088253086296,0.08969940631319831,3.700812692561453e-09
20,0.3424810389118171,0.3400963540488474,0.3035231174030223,0.2927845200176415,0.23031316675019128,0.22652054492096688,0.21463473899619867,0.19224017730411055,0.15215877866659738,0.08967984631137249,2.8490888723176673e-09
21,0.3424922846143038,0.3401238514844883,0.303536686373863,0.2928089564181377,0.23036863359492818,0.2264770618725064,0.2146275393721843,0.1922498898151527,0.15215654117347666,0.08965936520273056,2.9470018384031425e-09
22,0.3425041058487567,0.34015269484460325,0.30355092554014274,0.2928345678954927,0.2304250969062754,0.22643327479917855,0.21462003887649825,0.19226016359381923,0.1521541654072267,0.08963797422764676,3.0465313798807675e-09
23,0.3425165111559207,0.340182887743563,0.3035658371461849,0.29286135573876043,0.23048245483323984,0.22638929490710816,0.21461224587029104,0.19227101175336214,0.15215164658355015,0.08961568493741151,4.369204024339611e-09
24,0.3425295095352276,0.340214433666809,0.3035814234684838,0.29288932122634814,0.2305406132006091,0.22634522601531779,0.21460416906782148,0.19228244785056936,0.15214897978867825,0.089592509164292,2.3337294877874444e-09
25,0.34254311046115044,0.3402473359240819,0.3035976868061404,0.29291846561610757,0.23059948488779847,0.22630116515781404,0.21459581753151366,0.1922944858636442,0.15214615999026226,0.08956845899073719,3.6312396186951606e-09
26,0.3425573239021165,0.34028159759899435,0.30361462947109275,0.2929487901351611,0.23065898923221975,0.22625720316056103,0.21458720066674997,0.19230714016911757,0.1521431820485729,0.08954354671779484,1.7508588672502341e-09
27,0.34257216034233157,0.3403172214946304,0.30363225377816644,0.2929802959694849,0.23071905146504568,0.22621342518550633,0.21457832821640221,0.19232042551780643,0.15214004072799392,0.08951778483280547,2.3029656057790574e-09
28,0.34258763080689947,0.34035421007481026,0.3036505620349667,0.29301298425326583,0.23077960218384527,0.2261699112372018,0.21456921025509484,0.1923343570098212,0.15213673070878067,0.08949118597644222,1.792063705426696e-09
29,0.3426037468906839,0.3403925654006148,0.3036695565316414,0.2930468560580548,0.23084057686411863,0.22612673663002833,0.21455985718320378,0.1923489500686336,0.15213324659905994,0.08946376290916797,2.7532683843350825e-09
30,0.3426205207913997,0.3404322890617053,0.30368923953053617,0.2930819123817354,0.23090191541001073,0.22608397241576753,0.21455027972058877,0.19236422041421644,0.152129582947045,0.0894355284771855,1.9024957588557095e-09
31,0.3426379653474978,0.3404733821019207,0.30370961325577134,0.2931181541373316,0.23096356174330668,0.22604168577245473,0.2145404889000605,0.19238018403527002,0.15212573425343867,0.08940649557794932,2.350896096067812e-09
32,0.3426560940814644,0.340515844938558,0.3037306798827646,0.29315558214167375,0.23102546342902872,0.22599994035621607,0.21453049606058547,0.19239685716054894,0.15212169498399272,0.08937667712532157,2.4828626374983275e-09
33,0.3426749212492381,0.34055967727467373,0.3037524415277255,0.2931941971039455,0.2310875713354914,0.22595879661826776,0.21452031284023063,0.1924142562293092,0.15211745958219755,0.08934608601444223,2.976366153177469e-09
34,0.3426944618965378,0.34060487800365946,0.303774900237151,0.29323399961413604,0.23114983932642208,0.2259183120895052,0.21450995116885396,0.19243239786089764,0.15211302248206748,0.08931473508639873,2.4906203695379163e-09
35,0.3427147319229759,0.34065144510524636,0.3037980579773439,0.2932749901314165,0.23121222398264896,0.2258785416352034,0.21449942326054508,0.19245129882350498,0.15210837812099154,0.08928263709276882,3.1279842776058393e-09
36,0.34273574815494756,0.3406993755319999,0.3038219166239847,0.293317168972466,0.23127468435087956,0.2258395376823429,0.21448874160582193,0.19247097600210852,0.152103520952613,0.0892498046601203,2.3046955682052485e-09
37,0.34275752842838764,0.340748665085254,0.30384647795178066,0.29336053629977166,0.23133718171716747,0.22580135042199487,0.21447791896359358,0.1924914463656376,0.15209844545970835,0.08921625025454469,8.481411209628944e-10
38,0.34278009168260726,0.3407993082793149,0.30387174362421737,0.29340509210991933,0.23139967940278894,0.22576402798907333,0.2144669683528957,0.1925127269333866,0.15209314616702255,0.08918198614630794,3.368513241024255e-09
39,0.3428034580665485,0.3408512981926518,0.30389771518344105,0.29345083622190604,0.23146214258040448,0.22572761662161436,0.21445590304441067,0.1925348347407175,0.15208761765403148,0.08914702437469793,2.3038531461431122e-09
40,0.34282764905891583,0.3409046263046627,0.3039243940402967,0.2934977682654947,0.23152453810854148,0.22569216080158097,0.21444473655178378,0.19255778680408497,0.15208185456758969,0.08911137671315031,2.5266521649712437e-09
41,0.3428526876037569,0.3409592823164826,0.30395178146454244,0.2935458876696304,0.23158683438259284,0.22565770337902316,0.21443348262274495,0.19258160008542727,0.15207585163442716,0.08907505463473048,2.3993321324498257e-09
42,0.3428785982631881,0.3410152539542081,0.3039798785752692,0.29359519365094594,0.2316490012006991,0.22562428568126636,0.21442215523005478,0.19260629145596364,0.15206960367345465,0.08903806927805302,3.2197754504295475e-09
43,0.34290540738902986,0.3410725267528184,0.30400868633154915,0.2936456852023808,0.23171100964302918,0.22559194760864623,0.21441076856228714,0.19263187765945042,0.15206310560784164,0.08900043141371797,2.2559936017154594e-09
44,0.3429331433151623,0.3411310838190343,0.30403820552333144,0.29369736108192857,0.23177283196311757,0.2255607277181555,0.2143993370144599,0.192658375274938,0.1520563524768212,0.08896215141133755,2.488785623102399e-09
45,0.3429618365723963,0.3411909055713878,0.30406843676261386,0.2937502198015471,0.23183444149006274,0.22553066329624802,0.21438787517853933,0.19268580067909155,0.15204933944719254,0.08892323920723423,3.3584411362586538e-09
46,0.34299152012752393,0.3412519694558876,0.3040993804749045,0.29380425961624224,0.23189581254049704,0.2255017904219021,0.21437639783382648,0.19271417000811888,0.15204206182446764,0.08888370427287942,1.4574188551444742e-09
47,0.3430222296479632,0.34131424963593254,0.3041310368910018,0.2938594785133556,0.2319569203393702,0.22547414402095511,0.21436491993724985,0.1927434991193765,0.1520345150636345,0.08884355558415055,2.167446144135784e-09
48,0.34305400379294854,0.3413777166555824,0.30416340603910624,0.2939158742020743,0.232017740948676,0.2254477579125998,0.21435345661358013,0.19277380355270668,0.15202669477949,0.08880280159147007,2.6905454827671447e-09
49,0.34308688453148434,0.34144233707602406,0.3041964877372824,0.2939734441031823,0.23207825120334916,0.22542266484885345,0.21434202314558523,0.1928050984915725,0.15201859675650517,0.08876145019090052,1.7334427917116631e-09
50,0.3431209174861979,0.34150807308618325,0.304230281586296,0.2940321853390803,0.2321384286536446,0.22539889654772594,0.21433063496414956,0.19283739872405983,0.1520102169581872,0.08871950869625543,2.2661735915045736e-09
51,0.34315615230061874,0.34157488208998993,0.30426478696282977,0.29409209472408554,0.23219825151337736,0.22537648372073363,0.21431930763837015,0.19287071860380955,0.15200155153589434,0.08867698381229351,1.7796776152404176e-09
52,0.3431926430252451,0.341642716275042,0.3043000030131066,0.2941531687550405,0.23225769861347786,0.22535545609535293,0.2143080568656574,0.1929050720109603,0.15199259683707358,0.08863388160904834,1.9126360645749858e-09
53,0.34323044851473195,0.3417115221703603,0.3043359286469204,0.2942154036022403,0.2323167493603625,0.22533584243293145,0.21429689846184932,0.19294047231316383,0.15198334941288033,0.08859020749735584,1.7639363060765944e-09
54,0.34326963282465806,0.3417812402048924,0.3043725625320988,0.294278795100707,0.23237538369868882,0.22531767054254304,0.2142858483513702,0.19297693232676127,0.1519738060251502,0.08854596620562712,3.055034177532443e-09
55,0.34331026559126254,0.34185180428340717,0.3044099030893998,0.2943433387418169,0.23243358207809295,0.2253009672912068,0.214274922557443,0.19301446427818617,0.15196396365268514,0.08850116175791727,2.845818882786978e-09
56,0.3433524223713733,0.34192314140265756,0.30444794848785633,0.2944090296653093,0.23249132542356427,0.22528575861086464,0.21426413719237536,0.19305307976567945,0.1519538194968293,0.08845579745333336,2.1786731405883262e-09
57,0.3433961849123435,0.3419951713380547,0.30448669664057504,0.29447586265168285,0.23254859510913783,0.2252720695024674,0.21425350844794025,0.19309278972139518,0.15194337098629973,0.08840987584682301,3.4090088532629054e-09
58,0.34344164131348587,0.3420678064394437,0.3045261452009953,0.2945438321150003,0.2326053729346238,0.22525992403748846,0.21424305258586016,0.19313360437397548,0.15193261578124867,0.08836339873137719,1.4696209283526625e-09
