step,takagi_r1,takagi_r2,takagi_r3,takagi_r4,takagi_r5,takagi_r6,takagi_r7,takagi_r8,takagi_r9,takagi_r10,takagi_r11,takagi_r12
0,0.3350682740088453,0.3236462790066772,0.3082139386007362,0.30244404541036585,0.25808018524673254,0.23656412579939862,0.23604715883522687,0.20301559024816282,0.14848638062503922,0.11105603494813057,0.10691380823165633,2.940401870901401e-09
1,0.33506904659513864,0.3236468862737074,0.30821453851140623,0.3024443142313086,0.25808114443376484,0.23656759253748116,0.23604345996516723,0.20301515569842277,0.14848666647650618,0.11105654273567851,0.10691507226760809,3.8263469823332175e-09
2,0.33507009136235877,0.32364797022839353,0.3082161758037975,0.302444893321861,0.25808305772431483,0.23657829987029624,0.23603314669002157,0.20301373650139332,0.14848736171764226,0.11105757397421391,0.10691816693191125,2.644979874905331e-09
3,0.3350714087523405,0.3236495311300212,0.3082188504138901,0.3024457831704862,0.25808592460052265,0.23659548105718595,0.23601698606744126,0.20301133405712646,0.14848846635477633,0.11105912877890513,0.10692309055992973,2.4799136568175365e-09
4,0.33507299947214614,0.32365156940811096,0.3082225623231304,0.30244698462126224,0.2580897443250706,0.23661812991740677,0.23599598487396445,0.20300795047930847,0.1484899804922904,0.11106120738311186,0.10692984075568303,3.5845780210325773e-09
5,0.335074864492583,0.3236540856611734,0.3082273115565908,0.302448498872236,0.2580945159411972,0.23664522553026873,0.23597116490328204,0.20300358859308146,0.14849190433260212,0.11106381013749696,0.10693841439296001,1.6764852128192776e-09
6,0.3350770050462159,0.3236570806550852,0.3082330981805137,0.3024503274732542,0.258100238272685,0.23667586599051457,0.2359434292087775,0.2029982519321876,0.14849423817615062,0.1110669375089659,0.10694880761658436,2.7254711562251608e-09
7,0.3350794226248885,0.3236605553210963,0.3082399222992445,0.3024524723232814,0.2581069099238345,0.2367093144862243,0.23591351602306665,0.20299194473544518,0.14849698242139395,0.11107059007942871,0.10696101584384705,2.8499726835797794e-09
8,0.33508211897675444,0.32366451075346697,0.3082477840515635,0.3024549356672071,0.25811452927941814,0.23674499382872122,0.2358820042250585,0.20298467194255482,0.14850013756481048,0.11107476854438814,0.1069750337660979,3.248657703898432e-09
9,0.335085096102826,0.32366894820673825,0.30825668360642466,0.3024577200921481,0.258123094504618,0.23678246059726613,0.2358493391917576,0.20297643918924704,0.14850370420090653,0.11107947371134348,0.1069908553505203,2.9431107267411254e-09
10,0.33508835625303884,0.32367386909263257,0.3082666211581001,0.3024608285232421,0.25813260354494455,0.23682137604382766,0.23581586188950884,0.20296725280176464,0.14850768302222384,0.11108470649801185,0.10700847384208209,2.47499754583884e-09
11,0.3350919019218473,0.32367927497659327,0.3082775969207529,0.3024642642189472,0.2581430541261385,0.2368614806574365,0.23578183430519203,0.2029571197906918,0.1485120748193448,0.11109046793036303,0.10702788176567937,3.44229684088119e-09
12,0.3350957358433583,0.3236851675739668,0.3082896111224438,0.3024680307658535,0.2581544437540627,0.23690257407104964,0.2357474595344409,0.20294604784413628,0.14851688048089803,0.11109675914046226,0.10704907092848422,4.1263932970725256e-09
13,0.33509986098600064,0.3236915487458218,0.30830266399857864,0.302472132073002,0.258166769714571,0.23694449991743433,0.23571289692036748,0.20293404532026385,0.14852210099355126,0.11110358136411579,0.10707203242250062,2.7881837434145613e-09
14,0.33510428054675206,0.3236984204944156,0.308316755784816,0.30247657236572717,0.2581800290733687,0.23698713465607532,0.23567827322080304,0.20292112123919565,0.14852773744199485,0.1111109359383162,0.10709675662734992,3.004755514275161e-09
15,0.3351089979449282,0.32370578495831376,0.30833188670945005,0.30248135617903166,0.25819421867585995,0.23703037939312188,0.23564369078203948,0.20290728527427723,0.14853379100891168,0.11111882429848088,0.10712323321329197,1.5076928805954877e-09
16,0.33511401681554065,0.32371364440715855,0.30834805698527806,0.3024864883504917,0.25820933514698063,0.23707415389287648,0.23560923352056884,0.2028925477427208,0.1485402629749255,0.11112724797547731,0.10715145114449941,4.043726548511154e-09
17,0.33511934100223684,0.32372200123609357,0.3083652668009701,0.30249197401270633,0.25822537489102093,0.2371183921745453,0.23557497131910035,0.20287691959563098,0.14854715471852437,0.11113620859242773,0.10718139868259673,2.5077264624005653e-09
18,0.33512497454984297,0.32373085795986034,0.30838351631196964,0.3024978185853076,0.2582423340914434,0.23716303925228033,0.23554096327885082,0.2028604124074291,0.14855446771595973,0.11114570786129106,0.10721306339048645,4.809737194803012e-09
