step,takagi_r1,takagi_r2,takagi_r3,takagi_r4,takagi_r5,takagi_r6,takagi_r7,takagi_r8,takagi_r9,takagi_r10,takagi_r11,takagi_r12,takagi_r13
0,0.3391038850488344,0.3173841000002298,0.29713010222518776,0.2805384563818488,0.27500842871137937,0.25144387289909753,0.2361636447662676,0.22338785206554043,0.20211330263780578,0.14222334599924005,0.11468729433844013,0.043195786672876796,3.2594783365976226e-09
1,0.3391045247360161,0.3173846325203874,0.2971305245484314,0.2805401405402933,0.27500897235489963,0.2514434203704866,0.2361636549860581,0.22338757562317127,0.20211389122128734,0.14222447213866019,0.11468705841572478,0.043197337326717704,3.485918940418939e-09
2,0.33910515845778294,0.31738587689332814,0.29713134982128464,0.28054357208716557,0.27501039005592687,0.2514430995028697,0.2361641355574588,0.22338730819734265,0.20211540485041354,0.14222762031371228,0.1146866682856058,0.043202578083453826,3.2313654157696214e-09
3,0.339105787113373,0.3173878332988065,0.29713257837043494,0.28054875304086135,0.27501268074850205,0.251442909988445,0.23616508797246144,0.22338705024082872,0.20211784324728663,0.1422327893892604,0.11468612360247915,0.043211505845971755,3.466402171995126e-09
4,0.33910641202146263,0.31739050206171815,0.297134210729058,0.28055568640224054,0.27501584300960896,0.2514428515520319,0.236166514838796,0.22338680247735995,0.20212120609751233,0.14223997783286185,0.11468542382028152,0.04322411614258355,2.9640212063201978e-09
5,0.3391070349186927,0.31739388365028187,0.2971362476358026,0.2805643761410391,0.27501987506597725,0.2514429239509054,0.23616841987585552,0.2233865659006233,0.20212549305010308,0.1422491837131787,0.11468456819070329,0.04324040313696433,1.8651148462187886e-09
6,0.3391076579577708,0.3173979786735702,0.2971386900334514,0.2805748271776713,0.2750247748031927,0.25144312697456583,0.23617080790940892,0.22338634177290212,0.2021307037173163,0.14226040469775145,0.11468355576070433,0.043260359641328884,2.327062995997159e-09
7,0.3391082837051705,0.3174027878784141,0.297141539067271,0.28058704536048745,0.2750305397770965,0.25144346044445154,0.23617368486511267,0.22338613162336346,0.20213683767443802,0.14227363805015156,0.1146823853693517,0.04328397713277879,2.6820938088239506e-09
8,0.33910891513840596,0.3174083121456732,0.29714479608303634,0.28060103743852277,0.2750371672274221,0.251443924213585,0.2361770577608159,0.22338593724599476,0.2021438944595026,0.14228888062652428,0.11468105564398925,0.04331124577273563,2.907522629612039e-09
9,0.33910955564290235,0.31741455248589573,0.2971484626247427,0.280616811029828,0.2750446540936305,0.2514445181661609,0.23618093469766893,0.22338576069719795,0.20215187357295678,0.14230612887154395,0.11467956499576289,0.04334215442935557,2.9695973869179084e-09
10,0.3391102090084446,0.31742151003436914,0.2971525404319928,0.28063437458544954,0.2750529970328762,0.25144524221706865,0.2361853248500324,0.22338560429304744,0.20216077447726538,0.14232537881379903,0.11467791161452097,0.04337669070282049,2.4263446319993926e-09
11,0.3391108794252153,0.31742918604558157,0.29715703143706484,0.2806537373491657,0.27506219244003755,0.2514460963113532,0.23619023845419038,0.22338547060621936,0.20217059659645756,0.14234662606063428,0.114676093463118,0.04341484095336206,2.073521866969145e-09
12,0.33911157147942034,0.3174375818871092,0.2971619377616607,0.28067490931309114,0.2750722364697317,0.25144708042361524,0.23619568679587669,0.22338536246260493,0.20218133931561924,0.14236986579247612,0.1146741082711489,0.04345659033188847,3.198090488172961e-09
