N,M,k,best_residual,edges
15,105,2,0.01253337128589861,"1-14;6-7"
15,105,3,0.0010446205952383404,"2-5;4-7;12-14"
15,105,4,0.00023141333777858324,"4-15;7-15;8-13;8-14"
15,105,5,8.7870687297337868e-05,"2-10;3-4;4-5;5-10;9-14"
15,105,6,0.00017305708038176085,"3-12;5-9;5-13;6-13;7-13;10-13"
15,105,7,1.2451848973955584e-05,"2-7;3-10;4-5;6-9;6-11;7-9;10-11"
15,105,8,8.0248256281663488e-05,"1-9;1-12;2-14;4-7;4-14;4-15;5-11;14-15"
15,105,9,5.5550810452836632e-05,"2-13;4-10;4-15;5-15;6-7;9-13;10-11;10-14;13-14"
15,105,10,4.7428639186023901e-05,"1-2;1-14;2-5;2-14;3-10;4-6;4-13;4-14;6-7;10-13"
15,105,11,6.7719518005845432e-05,"1-8;1-10;4-5;4-6;4-9;4-12;8-15;10-13;10-14;10-15;12-14"
15,105,12,2.3419792064828226e-05,"1-14;2-5;2-6;4-11;5-7;5-11;6-12;6-13;8-11;8-15;9-15;13-14"
15,105,13,3.1321543210972657e-05,"1-10;1-13;2-8;3-11;3-12;3-13;3-15;4-5;4-8;7-8;9-13;10-12;10-14"
