step,tol,triplet_cluster_count
0,0.01,2
0,0.001,2
0,0.0001,2
0,1e-06,2
0,1e-08,2
50,0.01,27
50,0.001,98
50,0.0001,117
50,1e-06,120
50,1e-08,120
100,0.01,40
100,0.001,102
100,0.0001,118
100,1e-06,120
100,1e-08,120
150,0.01,50
150,0.001,105
150,0.0001,115
150,1e-06,120
150,1e-08,120
200,0.01,59
200,0.001,106
200,0.0001,119
200,1e-06,120
200,1e-08,120
250,0.01,68
250,0.001,111
250,0.0001,120
250,1e-06,120
250,1e-08,120
300,0.01,75
300,0.001,113
300,0.0001,120
300,1e-06,120
300,1e-08,120
350,0.01,78
350,0.001,112
350,0.0001,120
350,1e-06,120
350,1e-08,120
400,0.01,87
400,0.001,117
400,0.0001,120
400,1e-06,120
400,1e-08,120
450,0.01,82
450,0.001,116
450,0.0001,119
450,1e-06,120
450,1e-08,120
500,0.01,93
500,0.001,117
500,0.0001,120
500,1e-06,120
500,1e-08,120
750,0.01,82
750,0.001,111
750,0.0001,120
750,1e-06,120
750,1e-08,120
1000,0.01,88
1000,0.001,116
1000,0.0001,119
1000,1e-06,120
1000,1e-08,120
1500,0.01,83
1500,0.001,115
1500,0.0001,119
1500,1e-06,120
1500,1e-08,120
2000,0.01,87
2000,0.001,117
2000,0.0001,119
2000,1e-06,120
2000,1e-08,120
2500,0.01,78
2500,0.001,116
2500,0.0001,120
2500,1e-06,120
2500,1e-08,120
3000,0.01,89
3000,0.001,119
3000,0.0001,120
3000,1e-06,120
3000,1e-08,120
3500,0.01,87
3500,0.001,116
3500,0.0001,120
3500,1e-06,120
3500,1e-08,120
4000,0.01,82
4000,0.001,111
4000,0.0001,119
4000,1e-06,120
4000,1e-08,120
4500,0.01,81
4500,0.001,112
4500,0.0001,120
4500,1e-06,120
4500,1e-08,120
5000,0.01,84
5000,0.001,118
5000,0.0001,120
5000,1e-06,120
5000,1e-08,120
