step,edge_index,i,j,a,b,a2,b2,ab,r2,theta,z2_re,z2_im,z2_phase_pi
5000,0,1,2,0.24904239989911256,0.12568602018524416,0.0620221169475095,0.015796975670005604,0.03130114810070151,0.0778190926175151,0.46738236151753987,0.04622514127750389,0.06260229620140302,0.29754485259791885
5000,1,1,3,-0.15706088808502422,-0.1526843708911943,0.024668122566056504,0.023312517114439782,0.023980742888874196,0.04798063968049629,-2.3703229582124496,0.001355605451616721,0.04796148577774839,0.4910055379051383
5000,2,1,4,0.2031024252336734,0.004838935608269548,0.041250595135799886,2.3415297820978984e-05,0.0009827995575891258,0.04127401043362087,0.023820593627578702,0.04122717983797891,0.0019655991151782517,0.015164660892849813
5000,3,1,5,-0.02818116864467774,0.11357960538751886,0.0007941782661797679,0.012900326759984504,-0.0032008060140216177,0.013694505026164271,1.8140031129471836,-0.012106148493804737,-0.006401612028043235,-0.84516975116148
5000,4,1,6,0.04569607191016803,-0.043890980751618715,0.0020881309880192477,0.0019264181913389645,-0.0020056454126337695,0.004014549179358212,-0.765251871208181,0.0001617127966802831,-0.004011290825267539,-0.4871744720524179
5000,5,1,7,0.17778616488981686,0.05105584641823672,0.03160792042622915,0.002606699453482575,0.009077023129901798,0.03421461987971172,0.2796501520925616,0.029001220972746572,0.018154046259803595,0.1780308161677261
5000,6,1,8,0.12173859193247549,-0.21756793251952627,0.014820284765701788,0.04733580526082114,-0.026486413754586973,0.06215609002652293,-1.0606560476340003,-0.03251552049511935,-0.052972827509173946,-0.6752346116050558
5000,7,1,9,0.11481189314885314,0.260782628141319,0.013181770808423669,0.06800757914029346,0.029940947237238214,0.08118934994871713,1.1560725013725204,-0.054825808331869785,0.05988189447447643,0.7359786126641943
5000,8,1,10,0.03565771393655345,0.041129133519358915,0.0012714725631810784,0.001691605624053253,0.001466570877491612,0.0029630781872343314,0.8565325828377871,-0.0004201330608721746,0.002933141754983224,0.5452855779116085
5000,9,2,3,0.12121842405586221,-0.39922547359711913,0.014693906330586834,0.15938097876884405,-0.04839348275239801,0.1740748850994309,-1.2760089386877436,-0.1446870724382572,-0.09678696550479601,-0.8123325200863905
5000,10,2,4,0.18450721517317203,-0.07805066292543215,0.0340429124509592,0.006091905983099429,-0.014400910458791431,0.04013481843405863,-0.4001943093205039,0.027951006467859776,-0.028801820917582863,-0.25477161010242066
5000,11,2,5,0.21435354881375987,-0.2552479129560786,0.04594744388905293,0.06515149706843389,-0.054713295969441134,0.11109894095748682,-0.8722621566888933,-0.01920405317938095,-0.10942659193888227,-0.5552993356361389
5000,12,2,6,-0.017506132313948423,-0.05271288278401949,0.00030646466859346916,0.0027786480114017783,0.0009227987006666991,0.0030851126799952473,-1.891439613660137,-0.0024721833428083093,0.0018455974013333982,0.7958721437046575
5000,13,2,7,0.0015569934992615605,-0.075940848032941,2.424228756742759e-06,0.00576701239996224,-0.00011823940671569921,0.0057694366287189824,-1.550296484773146,-0.005764588171205497,-0.00023647881343139842,-0.9869493952385417
5000,14,2,8,0.44891033608641534,0.11989427726966152,0.20152048984521836,0.014374637722014475,0.05382178030396162,0.21589512756723284,0.26098679841897976,0.1871458521232039,0.10764356060792324,0.16614935620043475
5000,15,2,9,-0.04978678556466749,-0.4234380167530552,0.0024787240168621834,0.17929975403176066,0.02108161774001244,0.18177847804862285,-1.6878364666010366,-0.17682103001489846,0.04216323548002488,0.9254899328387454
5000,16,2,10,0.17264387064874104,-0.16063865073993133,0.029805906072579227,0.025804776111545642,-0.027733278439532993,0.05561068218412487,-0.7493925800666459,0.004001129961033585,-0.05546655687906599,-0.4770781337359827
5000,17,3,4,0.04787000701258082,0.18901533675498522,0.0022915375713845366,0.03572679752860047,0.009048165495946467,0.03801833509998501,1.3227518750767013,-0.03343525995721593,0.018096330991892933,0.842089997610121
5000,18,3,5,0.05545337493326014,-0.07176499730467858,0.0030750767914887243,0.005150214838140524,-0.003979611302620745,0.008225291629629249,-0.9129198989648256,-0.0020751380466518,-0.00795922260524149,-0.5811828582688227
5000,19,3,6,0.14051169523855225,0.11952940793577162,0.01974353649881179,0.014287279361476102,0.01679527973991573,0.03403081586028789,0.7048842435740551,0.005456257137335685,0.03359055947983146,0.44874324668960974
5000,20,3,7,0.09663709261456539,0.2262220344391409,0.00933872766899609,0.051176408865783854,0.02186143969355066,0.06051513653477994,1.1670822798239429,-0.04183768119678777,0.04372287938710132,0.7429876553157564
5000,21,3,8,0.13976777247063982,0.12954343112791558,0.019535030221404542,0.016781500548393006,0.018105996806952504,0.036316530769797545,0.7474516047278917,0.0027535296730115356,0.03621199361390501,0.47584247045765377
5000,22,3,9,0.28643912005186783,-0.16395505180049177,0.08204736949608836,0.02688125901090194,-0.04696314076579127,0.1089286285069903,-0.5198710142326284,0.055166110485186416,-0.09392628153158254,-0.33096016674127954
5000,23,3,10,0.24060275929653022,-0.05898295627395949,0.05788968778110406,0.003478989130815817,-0.014191462030981242,0.06136867691191988,-0.2404055976207187,0.05441069865028824,-0.028382924061962484,-0.1530469568331943
5000,24,4,5,0.11527662119502338,0.023632063747618726,0.013288699394140914,0.0005584744369715152,0.0027242244606908886,0.01384717383111243,0.20220156390829877,0.0127302249571694,0.005448448921381777,0.1287255135876701
5000,25,4,6,-0.07934493089918876,0.023912120258617976,0.006295618059397039,0.0005717894952626082,-0.0018973055295731349,0.006867407554659647,2.8488801641142283,0.005723828564134431,-0.0037946110591462697,-0.18634655841908224
5000,26,4,7,0.09995306415357554,0.11372520626288271,0.009990615033688787,0.012933422539535217,0.011367182837472525,0.022924037573224004,0.8497618394793556,-0.0029428075058464303,0.02273436567494505,0.5409751888160046
5000,27,4,8,0.1065426080233107,0.20448898588256753,0.01135132732440883,0.0418157453472809,0.021786789867970707,0.05316707267168973,1.0904754094829348,-0.030464418022872072,0.04357357973594141,0.694218206957471
5000,28,4,9,0.061457030036460275,0.025866943525445135,0.0037769665409023803,0.000669098767348568,0.0015897055251947033,0.004446065308250948,0.3983883624832414,0.0031078677735538124,0.0031794110503894067,0.2536219086379746
5000,29,4,10,-0.10678074570856369,-0.2085425680102746,0.011402127654076943,0.043490002672320005,0.02226833092411598,0.05489213032639695,-2.044024192943832,-0.03208787501824306,0.04453666184823196,0.6987337835742685
5000,30,5,6,-0.11543093762733919,0.04328182380844291,0.013324301361526672,0.0018733162721850953,-0.004996061504429858,0.015197617633711767,2.782858271812031,0.011450985089341576,-0.009992123008859715,-0.22837740046778388
5000,31,5,7,-0.05344058020199767,0.06589576439652106,0.0028558956123261453,0.004342251765401812,-0.0035215078822042264,0.007198147377727958,2.252200589531437,-0.001486356153075667,-0.007043015764408453,-0.566204573366364
5000,32,5,8,0.02845382560773529,0.05470061454742238,0.0008096201917154126,0.002992157231865677,0.0015564417469683045,0.0038017774235810896,1.0911402505209413,-0.002182537040150264,0.003112883493936609,0.6946414579077473
5000,33,5,9,-0.1222067249766819,-0.045817979350008683,0.014934483629526369,0.002099287231717822,0.005599265201413802,0.01703377086124419,-2.782890443188402,0.012835196397808547,0.011198530402827605,0.2283569195334819
5000,34,5,10,0.06916710989146034,0.19469805804198198,0.004784089090737351,0.037907333805318986,0.013466701976243691,0.04269142289605634,1.2294492755783029,-0.03312324471458163,0.026933403952487382,0.782691717956147
5000,35,6,7,0.15511040747925342,-0.08390181661899594,0.024059238508380036,0.0070395148319676235,-0.013014044964022057,0.03109875334034766,-0.49584276556019397,0.017019723676412413,-0.026028089928044115,-0.3156633085410427
5000,36,6,8,0.0753079603420879,0.09898547464919873,0.005671288890885485,0.009798124191527164,0.007454394199324606,0.01546941308241265,0.9204201812978346,-0.004126835300641679,0.014908788398649212,0.5859576863003555
5000,37,6,9,0.004913928407973231,-0.21769184414846343,2.4146692398686335e-05,0.04738973900875889,-0.0010697221371452157,0.04741388570115758,-1.5482272954312881,-0.0473655923163602,-0.0021394442742904314,-0.9856321083907428
5000,38,6,10,-0.00922551450851372,0.04667962832163321,8.511011794679713e-05,0.002178987700245821,-0.0004306435883332551,0.002264097818192618,1.7659165321505284,-0.0020938775822990237,-0.0008612871766665102,-0.8757826192821819
5000,39,7,8,0.18358094645234732,0.005676439391571857,0.03370196390033962,3.222196416618867e-05,0.001042086115984148,0.03373418586450581,0.03091078613659618,0.03366974193617343,0.002084172231968296,0.019678417633982852
5000,40,7,9,-0.03185930454406661,-0.002938979502753962,0.0010150152860315834,8.637600517607926e-06,9.363384302700793e-05,0.0010236528865491914,-3.0496042965855326,0.0010063776855139754,0.00018726768605401586,0.05856160689652032
5000,41,7,10,0.05324662666933164,-0.01105050589880981,0.002835203251663179,0.0001221136806196304,-0.000588402162101173,0.0029573169322828097,-0.2046295525945905,0.002713089571043549,-0.001176804324202346,-0.13027121919244822
5000,42,8,9,-0.40280914831567316,0.18277179805269617,0.162255209966798,0.03340553016341555,-0.07362215230973075,0.19566074013021353,2.715630478031095,0.12884967980338244,-0.1472443046194615,-0.27117594324137817
5000,43,8,10,-0.06225465915270103,0.01340430222646722,0.003875642586218982,0.00017967531817847406,-0.0008344802662885082,0.004055317904397456,2.9295163472187014,0.003695967268040508,-0.0016689605325770165,-0.13501196988652195
5000,44,9,10,0.11081292327347313,0.13378890513996544,0.012279503964412642,0.01789947113855067,0.014825539680116965,0.030178975102963315,0.8790555297638587,-0.005619967174138029,0.02965107936023393,0.5596241312567314
