N,M,subset_size,best_closure_residual,hit_count_lt1e-6,best_edges
3,3,2,0.3333333333333233,0,"1-2,1-3"
3,3,3,2.8085494517735225e-14,1,"1-2,1-3,2-3"
4,6,2,0.33333333333246384,0,"1-4,2-4"
4,6,3,5.230996589591354e-13,12,"1-2,1-3,1-4"
5,10,2,0.4202718904573447,0,"1-5,2-5"
5,10,3,0.34276507851043986,0,"1-4,1-5,3-5"
6,15,2,0.3526714999780569,0,"2-5,3-5"
6,15,3,0.027915472216232487,0,"2-3,2-5,3-5"
7,21,2,0.14184040777133833,0,"2-5,4-5"
7,21,3,0.04780465831763357,0,"2-7,3-7,5-6"
8,28,2,0.03838843142007009,0,"1-6,3-4"
8,28,3,0.028621678788119238,0,"2-7,4-7,6-8"
9,36,2,0.09154817504300461,0,"3-4,4-8"
9,36,3,0.012509624643824007,0,"1-7,2-5,2-8"
10,45,2,0.04136640129218101,0,"1-5,4-5"
10,45,3,0.011963362699148062,0,"1-7,1-8,3-8"
11,55,2,0.028377018303432224,0,"5-9,9-10"
11,55,3,0.0038330396883492104,0,"1-8,3-11,4-8"
12,66,2,0.049026868722321024,0,"2-10,3-11"
12,66,3,0.007171241192222421,0,"1-8,9-11,11-12"
13,78,2,0.029783249715901464,0,"3-13,4-8"
13,78,3,0.0015588803147465744,0,"3-5,3-9,4-11"
14,91,2,0.013717809799406174,0,"5-14,9-14"
14,91,3,0.0020363062389773543,0,"1-2,1-5,3-7"
15,105,2,0.012533371154864262,0,"1-14,6-7"
15,105,3,0.0010446206032224882,0,"2-5,4-7,12-14"
16,120,2,0.017920720032359887,0,"3-10,8-16"
16,120,3,0.00021318096791216235,0,"6-9,9-15,12-15"
