N,M,subset_size,cover_id,block_count,max_block_residual,mean_block_residual,blocks
3,3,3,0,1,2.8085494517735225e-14,2.8085494517735225e-14,1-2+1-3+2-3
4,6,3,0,2,5.361785925209657e-13,5.296391257400505e-13,1-2+1-3+1-4 | 2-3+2-4+3-4
4,6,3,1,2,6.781733395358704e-13,6.716319420981443e-13,1-2+2-3+2-4 | 1-3+1-4+3-4
4,6,3,2,2,7.134312945945761e-13,7.068923443829692e-13,1-2+2-4+3-4 | 1-3+1-4+2-3
4,6,3,3,2,7.397602623353079e-13,7.3321691727741e-13,1-2+1-3+3-4 | 1-4+2-3+2-4
4,6,3,4,2,7.750138441950378e-13,7.684746779571123e-13,1-2+1-3+2-3 | 1-4+2-4+3-4
4,6,3,5,2,9.169538293590217e-13,9.104120443444903e-13,1-2+1-4+2-4 | 1-3+2-3+3-4
5,10,2,0,5,6.9724515324742526e-09,3.786700824199285e-09,2-4+2-5 | 3-4+3-5 | 1-2+2-3 | 1-3+1-4 | 1-5+4-5
5,10,2,1,5,9.771306048957256e-09,4.887484014044454e-09,2-4+2-5 | 3-4+3-5 | 1-2+2-3 | 1-3+1-5 | 1-4+4-5
5,10,2,2,5,6.590712100502848e-09,3.936300242882724e-09,2-4+2-5 | 3-4+3-5 | 1-2+1-5 | 1-3+2-3 | 1-4+4-5
5,10,2,3,5,4.711516436462209e-09,2.8889712723269177e-09,2-4+2-5 | 3-4+3-5 | 1-2+1-5 | 1-3+1-4 | 2-3+4-5
5,10,2,4,5,8.860739615860178e-09,4.842492765156599e-09,2-4+2-5 | 3-4+3-5 | 1-2+1-4 | 1-3+2-3 | 1-5+4-5
5,10,2,5,5,9.771306048957256e-09,4.895946984445961e-09,2-4+2-5 | 3-4+3-5 | 1-2+1-4 | 1-3+1-5 | 2-3+4-5
5,10,2,6,5,7.0780592438026285e-09,5.329066587480969e-09,2-4+3-4 | 2-5+3-5 | 1-2+2-3 | 1-3+1-4 | 1-5+4-5
5,10,2,7,5,9.771306048957256e-09,6.429849777326137e-09,2-4+3-4 | 2-5+3-5 | 1-2+2-3 | 1-3+1-5 | 1-4+4-5
5,10,2,8,5,7.0780592438026285e-09,5.478666006164408e-09,2-4+3-4 | 2-5+3-5 | 1-2+1-5 | 1-3+2-3 | 1-4+4-5
5,10,2,9,5,7.0780592438026285e-09,4.431337035608602e-09,2-4+3-4 | 2-5+3-5 | 1-2+1-5 | 1-3+1-4 | 2-3+4-5
5,10,2,10,5,8.860739615860178e-09,6.384858528438283e-09,2-4+3-4 | 2-5+3-5 | 1-2+1-4 | 1-3+2-3 | 1-5+4-5
5,10,2,11,5,9.771306048957256e-09,6.438312747727645e-09,2-4+3-4 | 2-5+3-5 | 1-2+1-4 | 1-3+1-5 | 2-3+4-5
