step,edge_index,i,j,a,b,a2,b2,ab,r2,theta,z2_re,z2_im,z2_phase_pi
0,0,1,2,-2.7755575615628914e-16,-0.2236067977499784,7.703719777548943e-32,0.049999999999999746,6.206335383118167e-17,0.049999999999999746,-1.570796326794898,-0.049999999999999746,1.2412670766236334e-16,0.9999999999999993
0,1,1,3,-0.31622776601683766,3.3306690738754696e-16,0.09999999999999983,1.1093356479670479e-31,-1.0532500405730094e-16,0.09999999999999983,3.1415926535897922,0.09999999999999983,-2.1065000811460188e-16,-6.705198010757363e-16
0,2,2,3,2.220446049250313e-16,-0.22360679774997871,4.930380657631324e-32,0.049999999999999885,-4.9650683064945403e-17,0.049999999999999885,-1.5707963267948957,-0.049999999999999885,-9.930136612989081e-17,-0.9999999999999994
1,0,1,2,0.0009756656167546193,-0.22360466917442495,9.519233957171717e-07,0.049999048076604026,-0.00021816338745927794,0.049999999999999746,-1.5664330036649121,-0.049998096153208306,-0.0004363267749185559,-0.9972222222222231
1,1,1,3,-0.3162247557564212,-0.0013797995475556398,0.09999809615320826,1.9038467914347484e-06,0.0004363267749186027,0.0999999999999997,-3.1372293304598085,0.09999619230641682,0.0008726535498372054,0.0027777777777771876
1,2,2,3,0.00097566561675512,-0.2236046691744252,9.519233957181486e-07,0.04999904807660414,-0.00021816338745939012,0.04999999999999986,-1.56643300366491,-0.04999809615320842,-0.00043632677491878025,-0.9972222222222217
2,0,1,2,0.001951312658242563,-0.2235982834882896,3.8076210902176576e-06,0.049996192378909524,-0.0004363101609320086,0.04999999999999974,-1.5620696805349266,-0.04999238475781931,-0.0008726203218640172,-0.9944444444444455
2,1,1,3,-0.31621572503248335,-0.0027595728257171622,0.09999238475781912,7.615242180436604e-06,0.0008726203218640913,0.09999999999999955,-3.1328660073298225,0.09998476951563869,0.0017452406437281826,0.005555555555555043
2,2,2,3,0.0019513126582430642,-0.22359828348828972,3.8076210902196134e-06,0.04999619237890958,-0.00043631016093212085,0.0499999999999998,-1.5620696805349243,-0.04999238475781936,-0.0008726203218642417,-0.9944444444444441
3,0,1,2,0.002926922549550249,-0.22358764081314655,8.566875611065729e-06,0.04999143312438864,-0.0006544237076967402,0.049999999999999704,-1.5577063574049408,-0.049982866248777576,-0.0013088474153934804,-0.9916666666666677
3,1,1,3,-0.3162006740169562,-0.00413929356558992,0.09998286624877738,1.7133751222134114e-05,0.0013088474153935825,0.0999999999999995,-3.1285026841998365,0.09996573249755525,0.002617694830787165,0.008333333333332896
3,2,2,3,0.0029269225495507497,-0.22358764081314664,8.566875611068661e-06,0.049991433124388675,-0.0006544237076968524,0.049999999999999746,-1.5577063574049386,-0.049982866248777603,-0.0013088474153937048,-0.9916666666666664
4,0,1,2,0.0039024767164716583,-0.2235727413516171,1.5229324522603415e-05,0.049984770675477075,-0.000872487417562426,0.04999999999999968,-1.5533430342749552,-0.04996954135095447,-0.001744974835124852,-0.9888888888888901
