step,H_total,H_parallel,H_perp,A_perp,abs_ZtZ,sum_a2,sum_b2,sum_ab,r2_min,r2_max,simplex_rank
0,0.6666666666666664,0.6666666666666661,3.3306690738754696e-16,1.8250120749944284e-08,2.2995231480836986e-16,0.3333333333333331,0.3333333333333333,2.7755575615628914e-17,0.08333333333333323,0.16666666666666666,3
1,0.6666666666666667,0.6666666666666661,6.661338147750939e-16,2.5809568279517847e-08,6.511642896255063e-16,0.33333333333333326,0.3333333333333335,2.7755575615628914e-16,0.08333333333333322,0.16666666666666657,3
2,0.6666666666666663,0.6666666666666659,4.440892098500626e-16,2.1073424255447017e-08,5.568156254166622e-16,0.33333333333333315,0.3333333333333332,2.8449465006019636e-16,0.08333333333333318,0.1666666666666665,3
3,0.6666666666666659,0.6666666666666652,6.661338147750939e-16,2.5809568279517847e-08,9.693155290950258e-16,0.33333333333333287,0.333333333333333,4.787836793695988e-16,0.0833333333333331,0.1666666666666663,3
4,0.6666666666666661,0.6666666666666656,4.440892098500626e-16,2.1073424255447017e-08,1.5238343360057534e-15,0.333333333333333,0.3333333333333331,7.563394355258879e-16,0.08333333333333318,0.16666666666666624,3
5,0.6666666666666661,0.6666666666666656,4.440892098500626e-16,2.1073424255447017e-08,1.2550709451487673e-15,0.3333333333333332,0.33333333333333287,6.314393452555578e-16,0.08333333333333304,0.16666666666666638,3
6,0.666666666666665,0.6666666666666644,5.551115123125783e-16,2.356080457693621e-08,1.5822136343349507e-15,0.3333333333333325,0.33333333333333237,7.979727989493313e-16,0.08333333333333288,0.166666666666666,3
7,0.6666666666666634,0.666666666666663,4.440892098500626e-16,2.1073424255447017e-08,1.5323917345725552e-15,0.33333333333333187,0.3333333333333316,7.632783294297951e-16,0.0833333333333327,0.16666666666666566,3
8,0.6666666666666634,0.6666666666666627,6.661338147750939e-16,2.5809568279517847e-08,1.0876009814049005e-15,0.3333333333333319,0.3333333333333314,4.85722573273506e-16,0.08333333333333261,0.16666666666666582,3
9,0.6666666666666622,0.6666666666666616,5.551115123125783e-16,2.356080457693621e-08,7.630791450576363e-16,0.3333333333333313,0.33333333333333093,3.191891195797325e-16,0.08333333333333248,0.16666666666666563,3
10,0.6666666666666624,0.6666666666666619,5.551115123125783e-16,2.356080457693621e-08,9.705769416407727e-16,0.3333333333333313,0.33333333333333104,4.510281037539698e-16,0.08333333333333257,0.1666666666666656,3
11,0.6666666666666625,0.6666666666666619,6.661338147750939e-16,2.5809568279517847e-08,7.95580218595414e-16,0.33333333333333154,0.33333333333333093,2.220446049250313e-16,0.08333333333333254,0.16666666666666577,3
12,0.6666666666666615,0.666666666666661,5.551115123125783e-16,2.356080457693621e-08,7.426426481033032e-16,0.33333333333333104,0.3333333333333305,2.42861286636753e-16,0.0833333333333324,0.16666666666666552,3
13,0.6666666666666609,0.6666666666666605,3.3306690738754696e-16,1.8250120749944284e-08,9.057522407462492e-16,0.33333333333333093,0.33333333333333004,9.020562075079397e-17,0.08333333333333227,0.1666666666666655,3
14,0.6666666666666603,0.6666666666666596,6.661338147750939e-16,2.5809568279517847e-08,1.1184032715919436e-15,0.3333333333333307,0.3333333333333296,-6.591949208711867e-17,0.08333333333333215,0.16666666666666552,3
15,0.6666666666666602,0.6666666666666596,5.551115123125783e-16,2.356080457693621e-08,1.1371345926000396e-15,0.33333333333333065,0.33333333333332954,-1.249000902703301e-16,0.0833333333333321,0.16666666666666546,3
16,0.6666666666666599,0.6666666666666594,4.440892098500626e-16,2.1073424255447017e-08,1.812724278969685e-15,0.3333333333333307,0.33333333333332915,-4.163336342344337e-16,0.08333333333333204,0.16666666666666566,3
