step,class_id,count,a2_norm,b2_norm,ab_norm
0,0,6,0.16676632104798175,0.8332336789520184,0.37276710586115724
0,1,4,0.8332336789520177,0.16676632104798222,-0.3727671058611577
1,0,6,0.1556026947631017,0.8443973052368983,0.3624782698942968
1,1,3,0.8424500324678688,0.15754996753213127,-0.3643185079882103
1,2,1,0.8469780278086222,0.15302197219137784,-0.3600086779760164
10,0,6,0.07052806007756082,0.9294719399224393,0.25603486641326173
10,1,3,0.9150850474417385,0.08491495255826152,-0.2787550957207594
10,2,1,0.9465601240849179,0.05343987591508204,-0.22490899398926376
50,0,6,0.11409514333988928,0.8859048566601108,-0.3179267865502047
50,1,3,0.9621588025185432,0.03784119748145671,0.1908120574141637
50,2,1,0.7694588344592559,0.23054116554074414,0.4211792213913922
81,0,6,0.5498759839548578,0.45012401604514213,-0.4975061670216107
81,1,3,0.7255540529868444,0.27444594701315556,0.4462346570821318
81,2,1,0.25700702890755883,0.7429929710924411,0.4369833131821718
82,0,6,0.5659416547551585,0.4340583452448417,-0.49563262419674464
82,1,3,0.7158351370949099,0.2841648629050901,0.45101573541864526
82,2,1,0.2424089079349405,0.7575910920650595,0.42854034732884844
100,0,6,0.8310298730212947,0.16897012697870517,-0.3747255304452919
100,1,3,0.5379228199197484,0.4620771800802516,0.4985597855115616
100,2,1,0.046014313251594316,0.9539856867484057,0.20951610016315803
200,0,6,0.0363859457331399,0.9636140542668601,0.18724852118573568
200,1,3,0.15566632890920257,0.8443336710907975,0.36253871924683373
200,2,1,0.9471534952110772,0.05284650478892276,-0.22372695796554587
500,0,6,0.9993651992321566,0.0006348007678434695,0.025187254630638384
500,1,3,0.34178997693578506,0.658210023064215,0.4743095915138345
500,2,1,0.037374741142258985,0.962625258857741,-0.18967833262343942
1000,0,6,0.5094774524614166,0.4905225475385833,-0.49991016982538133
1000,1,3,0.06524318945266021,0.9347568105473397,0.24695448099336947
1000,2,1,0.6643286384068394,0.33567136159316063,0.47222462726900877
2000,0,6,0.8225637337191595,0.17743626628084055,0.3820374820474494
2000,1,3,0.7158725788113277,0.28412742118867235,0.4509978156458711
2000,2,1,0.19320001340711943,0.8067999865928805,-0.3948085209650474
3000,0,6,0.08356629606148187,0.9164337039385181,-0.2767362828109943
3000,1,2,0.8697381834458435,0.13026181655415658,-0.3365912590994719
3000,2,1,0.8308968378239817,0.16910316217601826,0.3748430107632921
3000,3,1,0.8697381831821318,0.13026181681786822,-0.3365912593891534
4000,0,2,0.8718089600377317,0.1281910399622683,0.33430240387358934
4000,1,1,0.0016454143877672374,0.9983545856122328,0.040530321973304945
4000,2,1,0.0016454146319213468,0.9983545853680786,0.04053032497538609
4000,3,1,0.22931103199969702,0.770688968000303,-0.4203896794676707
4000,4,2,0.8718089603107491,0.12819103968925097,0.33430240356994123
4000,5,2,0.8718089596201906,0.1281910403798094,0.33430240433797587
4000,6,1,0.0016454137367445684,0.9983545862632555,0.04053031396842986
5000,0,2,0.30776542054876754,0.6922345794512326,-0.4615689184327816
5000,1,1,0.9409892449638035,0.05901075503619639,0.23564482983136806
5000,2,1,0.9409891961173116,0.059010803882688395,0.23564492124339806
5000,3,1,0.5814078645070441,0.41859213549295593,0.4933282473124794
5000,4,2,0.30776539802259983,0.6922346019774002,-0.4615689090510653
5000,5,2,0.3077653889449516,0.6922346110550484,-0.4615689052703987
5000,6,1,0.9409893209747202,0.059010679025279796,0.23564468758335125
