step,norm2,ztz_re,ztz_im,abs_ztz,sum_a2,sum_b2,sum_ab,f,a_1_2,b_1_2,abs_1_2,phase_1_2,a_1_3,b_1_3,abs_1_3,phase_1_3,a_1_4,b_1_4,abs_1_4,phase_1_4,a_1_5,b_1_5,abs_1_5,phase_1_5,a_2_3,b_2_3,abs_2_3,phase_2_3,a_2_4,b_2_4,abs_2_4,phase_2_4,a_2_5,b_2_5,abs_2_5,phase_2_5,a_3_4,b_3_4,abs_3_4,phase_3_4,a_3_5,b_3_5,abs_3_5,phase_3_5,a_4_5,b_4_5,abs_4_5,phase_4_5
0,0.8596491228070173,-1.1102230246251565e-16,-4.701590202029226e-16,4.830894905938759e-16,0.42982456140350855,0.4298245614035087,-2.3245294578089215e-16,3.024496106542813e-32,-0.10930100701070551,-0.24431683684721864,0.2676516895156553,-1.9914643464782091,0.10930100701070519,0.2443168368472187,0.2676516895156552,1.1501283071115853,-0.26118568494361116,0.11684769150383917,0.28613169175965053,2.7209246339064803,-0.2611856849436113,0.11684769150383911,0.28613169175965064,2.7209246339064803,-0.3917785274154175,0.17527153725575825,0.4291975376394763,2.720924633906482,0.10930100701070522,0.24431683684721878,0.2676516895156553,1.1501283071115853,0.10930100701070494,0.244316836847219,0.2676516895156554,1.1501283071115866,-0.10930100701070522,-0.24431683684721878,0.2676516895156553,-1.991464346478208,-0.1093010070107055,-0.2443168368472187,0.2676516895156554,-1.991464346478209,-0.26118568494361133,0.11684769150383875,0.28613169175965053,2.7209246339064816
1,0.8596491228070169,3.885780586188048e-16,-9.809100192589425e-16,1.055072212468198e-15,0.4298245614035086,0.4298245614035082,-4.926614671774132e-16,4.785420911965465e-06,-0.10557873835116105,-0.24594688718865568,0.2676504087604057,-1.9762819748717126,0.10557873835116087,0.24594688718865607,0.26765040876040597,1.1653106787180818,-0.26262179423851856,0.11357110398807317,0.28612689924250134,2.7334277584815183,-0.26262179423851856,0.11357110398807321,0.28612689924250134,2.7334277584815183,-0.3950097733289585,0.16789921534528457,0.4292119144885862,2.7396789892054874,0.1055787383511609,0.24594688718865604,0.26765040876040597,1.1653106787180818,0.10557873835116058,0.24594688718865634,0.26765040876040613,1.1653106787180834,-0.1055787383511608,-0.24594688718865607,0.2676504087604059,-1.976281974871711,-0.10557873835116109,-0.24594688718865593,0.2676504087604059,-1.9762819748717124,-0.2626217942385181,0.1135711039880725,0.2861268992425007,2.73342775848152
2,0.8596491228070166,9.992007221626409e-16,-1.6160576046508489e-15,1.9000116485748667e-15,0.4298245614035087,0.4298245614035078,-8.014422459012849e-16,1.9142641549335748e-05,-0.10183112325176244,-0.24751789270840385,0.2676465670871281,-1.9610993126679914,0.10183112325176226,0.2475178927084044,0.26764656708712853,1.1804933409218032,-0.2640079451122769,0.11027320565991827,0.28611252151718497,2.7459307783646456,-0.26400794511227693,0.1102732056599181,0.28611252151718497,2.745930778364646,-0.3981287608048365,0.16047859196512784,0.4292550391772993,2.758432088388541,0.10183112325176222,0.2475178927084039,0.26764656708712803,1.1804933409218026,0.10183112325176194,0.24751789270840435,0.26764656708712836,1.1804933409218041,-0.10183112325176205,-0.24751789270840407,0.26764656708712814,-1.9610993126679899,-0.10183112325176231,-0.24751789270840382,0.267646567087128,-1.961099312667991,-0.2640079451122759,0.11027320565991723,0.28611252151718364,2.7459307783646474
3,0.8596491228070161,1.3322676295501878e-15,-2.0747387230432594e-15,2.465659710025382e-15,0.4298245614035088,0.42982456140350733,-1.0408340855860843e-15,4.3077900509284905e-05,-0.0980590603654392,-0.24902947375911919,0.2676401653722712,-1.9459160692741797,0.09805906036543885,0.2490294737591197,0.2676401653722716,1.1956765843156156,-0.26534374017541695,0.10695495606536724,0.2860885581025984,2.758433274740272,-0.26534374017541706,0.10695495606536692,0.28608855810259837,2.7584332747402733,-0.4011348702545754,0.15301111305461046,0.42932689742475466,2.777183095318792,0.0980590603654389,0.24902947375911894,0.26764016537227087,1.1956765843156143,0.0980590603654385,0.24902947375911946,0.2676401653722712,1.1956765843156165,-0.09805906036543871,-0.24902947375911902,0.26764016537227087,-1.9459160692741782,-0.09805906036543896,-0.2490294737591188,0.26764016537227076,-1.9459160692741793,-0.2653437401754159,0.10695495606536612,0.286088558102597,2.758433274740274
4,0.8596491228070173,1.1657341758564144e-15,-1.8439080280167457e-15,2.181497876355656e-15,0.42982456140350916,0.429824561403508,-9.228728892196614e-16,7.660383487426247e-05,-0.09426345339327029,-0.25048126270017135,0.2676312044764166,-1.9307319540777834,0.09426345339327,0.25048126270017207,0.26763120447641714,1.210860699512012,-0.2666288017301492,0.10361732267521205,0.2860550077702438,2.770934828678163,-0.2666288017301492,0.1036173226752118,0.2860550077702437,2.770934828678164,-0.404027493858516,0.14549823004125367,0.4294274685423963,2.79593117571206,0.09426345339327004,0.2504812627001711,0.26763120447641625,1.2108606995120104,0.0942634533932696,0.2504812627001717,0.26763120447641664,1.2108606995120128,-0.09426345339326987,-0.2504812627001712,0.26763120447641625,-1.930731954077782,-0.09426345339327015,-0.250481262700171,0.2676312044764162,-1.9307319540777834,-0.26662880173014775,0.10361732267521091,0.286055007770242,2.7709348286781648
5,0.8596491228070163,1.7763568394002505e-15,-2.3205976094112778e-15,2.9224333843031197e-15,0.4298245614035091,0.4298245614035072,-1.1622647289044608e-15,0.00011973947396946521,-0.09044521097028632,-0.25187290394817535,0.26761968524521207,-1.9155466764199474,0.09044521097028595,0.25187290394817596,0.2676196852452125,1.226045977169848,-0.26786277192125885,0.10026128050382975,0.286011868546758,2.783435020974273,-0.26786277192125885,0.1002612805038294,0.28601186854675786,2.783435020974274,-0.4068060355190561,0.1379414000182122,0.4295567254434692,2.814675497822595,0.09044521097028596,0.25187290394817496,0.26761968524521157,1.2260459771698466,0.09044521097028549,0.2518729039481754,0.2676196852452118,1.2260459771698489,-0.09044521097028575,-0.25187290394817485,0.2676196852452114,-1.915546676419946,-0.09044521097028611,-0.25187290394817474,0.2676196852452114,-1.9155466764199476,-0.2678627719212577,0.10026128050382875,0.28601186854675653,2.783435020974275
6,0.8596491228070156,2.0539125955565396e-15,-2.365325667999858e-15,3.132622298631735e-15,0.4298245614035088,0.4298245614035068,-1.1813466871402056e-15,0.0001725102313860267,-0.08660524655129075,-0.2532040540279338,0.26760560851071613,-1.9003599455688496,0.08660524655129026,0.25320405402793406,0.26760560851071624,1.2412327080209458,-0.26904531288101696,0.09688781172550719,0.28595913771761455,2.795933431991413,-0.2690453128810169,0.0968878117255071,0.28595913771761444,2.7959334319914135,-0.4094699108268128,0.1303420859260385,0.42971463465428866,2.8334152331241866,0.08660524655129036,0.2532040540279332,0.26760560851071546,1.2412327080209444,0.08660524655129004,0.25320405402793383,0.26760560851071596,1.2412327080209462,-0.08660524655129016,-0.2532040540279332,0.2676056085107154,-1.900359945568848,-0.0866052465512905,-0.2532040540279332,0.2676056085107155,-1.9003599455688494,-0.2690453128810154,0.09688781172550621,0.2859591377176128,2.7959334319914144
7,0.8596491228070151,2.55351295663786e-15,-2.841110313157783e-15,3.819991653295716e-15,0.4298245614035089,0.4298245614035062,-1.412064909445121e-15,0.0002349478952607571,-0.08274447829664176,-0.25447438162380737,0.2675889750931502,-1.8851714706932676,0.0827444782966412,0.2544743816238071,0.2675889750931498,1.2564211828965273,-0.2701761068680787,0.09349790528833131,0.28589681183199167,2.8084296414996492,-0.2701761068680788,0.09349790528833095,0.28589681183199167,2.8084296414996506,-0.4120185470398571,0.12270175673834442,0.42990115632725484,2.8521495569853594,0.08274447829664132,0.2544743816238064,0.26758897509314916,1.256421182896526,0.08274447829664097,0.25447438162380714,0.2675889750931498,1.2564211828965282,-0.08274447829664126,-0.2544743816238066,0.26758897509314933,-1.8851714706932667,-0.08274447829664157,-0.25447438162380653,0.26758897509314933,-1.8851714706932678,-0.27017610686807747,0.09349790528833035,0.2858968118319902,2.808429641499651
8,0.8596491228070138,2.4980018054066022e-15,-2.633566054314443e-15,3.629832390380029e-15,0.4298245614035081,0.4298245614035056,-1.3253287356462806e-15,0.00030709061679974983,-0.07886382895793573,-0.25568356763153355,0.26756978580306023,-1.869980960836361,0.0788638289579352,0.2556835676315328,0.26756978580305935,1.2716116927534333,-0.27125485640035324,0.09009255652566807,0.28582488670881506,2.8209232285163703,-0.2712548564003533,0.09009255652566789,0.285824886708815,2.820923228516371,-0.41445138307615903,0.11502188765092533,0.43011624425557704,2.8708776493374244,0.07886382895793526,0.2556835676315323,0.2675697858030589,1.2716116927534327,0.0788638289579349,0.25568356763153305,0.2675697858030595,1.2716116927534347,-0.07886382895793519,-0.2556835676315326,0.2675697858030592,-1.86998096083636,-0.07886382895793549,-0.25568356763153244,0.2675697858030591,-1.8699809608363613,-0.2712548564003521,0.0900925565256673,0.2858248867088137,2.8209232285163717
9,0.8596491228070142,2.4980018054066022e-15,-2.5408409813903953e-15,3.563128669095118e-15,0.42982456140350833,0.4298245614035058,-1.2732870313669764e-15,0.00038898289702967586,-0.07496422576353234,-0.25683130521051095,0.2675480414438881,-1.8547881248897027,0.0749642257635319,0.2568313052105101,0.2675480414438872,1.286804528700091,-0.27228128438181415,0.08667276676526037,0.28574335744397555,2.8334137711459153,-0.27228128438181426,0.08667276676526015,0.28574335744397555,2.833413771145916,-0.41676786951938033,0.10730396027390997,0.4303598458896788,2.889598695334175,0.07496422576353186,0.25683130521050973,0.26754804144388683,1.2868045287000909,0.0749642257635315,0.25683130521051056,0.2675480414438875,1.286804528700093,-0.07496422576353184,-0.25683130521051,0.26754804144388705,-1.854788124889702,-0.07496422576353216,-0.25683130521050984,0.267548041443887,-1.8547881248897033,-0.27228128438181287,0.08667276676525966,0.2857433574439741,2.833413771145916
