step,full_r1,parallel_r1,perp_r1,cross_r1,full_r2,parallel_r2,perp_r2,cross_r2,full_r3,parallel_r3,perp_r3,cross_r3,full_r4,parallel_r4,perp_r4,cross_r4,full_r5,parallel_r5,perp_r5,cross_r5
0,0.4171050325603067,0.4171050325603068,7.856037770894675e-17,7.648579665828229e-09,0.3034884893334423,0.3034884893334423,6.926841480988332e-17,6.780905425198766e-09,0.2023256595556279,0.20232565955562795,4.0460356557118366e-17,4.8093408057086486e-09,0.2023256595556279,0.20232565955562792,3.9820794794286435e-17,3.968866180002151e-09,2.3474589701422327e-09,2.734672002491932e-09,2.896484141980579e-25,1.0659817373930342e-09
1,0.4171050810615892,0.41710404628752684,0.0010841432284439923,0.025652484890584304,0.3034986553009399,0.30348848924975275,0.000969687182458747,0.014810469056962575,0.2023222707342529,0.20232565949983497,0.0005420716142220706,0.014810469056961794,0.20232227073425224,0.20232565949983491,0.0005420716142219517,0.014810469056960653,2.3960957952955773e-09,1.7145272678360681e-09,1.1111492312915462e-11,2.108603372204755e-09
2,0.41710522772927916,0.4171010872415002,0.002168340709660308,0.036278545820683544,0.30352914906076545,0.3034884879944919,0.0019394228900722343,0.02094542819538022,0.20231210414718379,0.20232565866299443,0.0010841703548301995,0.020945428195379787,0.20231210414718254,0.20232565866299435,0.0010841703548301153,0.020945428195379093,1.52784065300403e-09,2.2287565614233256e-09,9.24088433795137e-12,2.664857146596376e-09
3,0.41710547491817807,0.4170961540454427,0.003252773734398499,0.04443375664399908,0.3035799605148255,0.30348848255552313,0.0029093692742163564,0.02565384135952027,0.20229515945422927,0.20232565503701522,0.0016263868671993489,0.025653841359518887,0.20229515945422796,0.20232565503701513,0.0016263868671991548,0.025653841359518283,2.9855672172058683e-09,1.7790010171537414e-09,2.279821844605153e-11,2.7306546724465324e-09
4,0.41710582595035894,0.41708924394240354,0.00433762342610107,0.05131118178279707,0.30365107503410127,0.3034884679136141,0.003879688336623022,0.029624524614736587,0.20227143578671022,0.20232564527574257,0.0021688117130506156,0.0296245246147354,0.2022714357867087,0.2023256452757425,0.0021688117130505007,0.029624524614735085,2.5756826553900106e-09,2.8451145264932567e-09,4.043940922453915e-11,1.9986383775925713e-09
5,0.41710628511403475,0.41708035279536415,0.005423070657931824,0.057373151176337706,0.30374247346536504,0.3034884370433633,0.004850541855168033,0.033124404275916834,0.2022409317492483,0.20232562469557536,0.002711535328966026,0.03312440427591524,0.20224093174924698,0.20232562469557533,0.0027115353289658274,0.033124404275915176,2.1795105312747334e-09,2.583850599783537e-09,1.778036778991287e-11,3.2954870655768454e-09
6,0.41710685766228967,0.4170694750872057,0.00650929596996773,0.06285691202750437,0.30385413213914725,0.30348838091418184,0.005822091309805305,0.03629045507950904,0.20220364542238348,0.202325587276121,0.003254647984983908,0.036290455079508475,0.2022036454223818,0.20232558727612096,0.003254647984983805,0.036290455079507435,2.511091741159998e-09,2.1990030738731886e-09,3.792411292242673e-11,1.8888952069916747e-09
7,0.4171075498116588,0.4170566039205399,0.007596479486601744,0.06790349855417334,0.30398602287893994,0.30348828849133636,0.0067944978086896856,0.03920410316917069,0.2021595743660161,0.20232552566089074,0.0037982397433010085,0.03920410316916907,0.20215957436601464,0.20232552566089065,0.003798239743300753,0.03920410316916828,1.582729174030856e-09,1.2283597779557118e-09,3.938666069285228e-11,2.6233494011664747e-09
8,0.4171083687405564,0.41704173101740966,0.00868480083420238,0.07260487738371965,0.304138113011608,0.30348814673705243,0.007767922014529374,0.041918445501971144,0.2021087156236801,0.20232543115803478,0.004342400417101314,0.04191844550197057,0.20210871562367885,0.20232543115803472,0.004342400417101121,0.04191844550196945,2.8953174072117844e-09,2.0558773055663826e-09,2.8224245508105713e-11,1.838038917132152e-09
9,0.41710932258754063,0.41702484671886536,0.00977443905907492,0.07702498790227845,0.3043103653789894,0.3034879406116856,0.008742524071208235,0.044470397499709075,0.20205106572764706,0.20232529374112354,0.004887219529537594,0.044470397499708006,0.20205106572764564,0.20232529374112349,0.0048872195295372985,0.044470397499707125,1.8305190228581716e-09,4.361391070393176e-09,7.987224404405857e-11,2.2413972598375656e-09
