step,takagi_r1,takagi_r2,takagi_r3,takagi_r4,takagi_r5,takagi_r6,takagi_r7,takagi_r8,takagi_r9,takagi_r10,takagi_r11,takagi_r12,takagi_r13,takagi_r14
0,0.35232363595726657,0.33229142572159653,0.3048637455943862,0.28047861338523083,0.2456775908099225,0.23363140091404186,0.22567559072502297,0.21731624020797222,0.15370480841639966,0.13268506113078776,0.11507259232784756,0.08521360311147318,0.039381778909809234,3.309562115829118e-09
1,0.35232363595726696,0.33229142572159676,0.3048637455943863,0.2804786133852314,0.24567759080992288,0.23363140091404194,0.22567559072502302,0.21731624020797252,0.15370480841639997,0.13268506113078782,0.11507259232784742,0.08521360311147383,0.039381778909808415,1.703687429010017e-09
2,0.3523236359572664,0.33229142572159603,0.30486374559438584,0.2804786133852308,0.24567759080992257,0.23363140091404153,0.22567559072502263,0.21731624020797205,0.15370480841639975,0.13268506113078782,0.1150725923278473,0.08521360311147362,0.03938177890980858,1.283594841687791e-09
3,0.3523236359572669,0.3322914257215968,0.30486374559438645,0.28047861338523106,0.24567759080992269,0.23363140091404197,0.2256755907250234,0.21731624020797227,0.15370480841639952,0.13268506113078837,0.11507259232784808,0.085213603111473,0.039381778909810074,2.3382128364318176e-09
4,0.3523236359572667,0.3322914257215968,0.3048637455943864,0.2804786133852308,0.2456775908099225,0.23363140091404197,0.2256755907250235,0.21731624020797208,0.15370480841639916,0.13268506113078846,0.1150725923278483,0.0852136031114725,0.03938177890981097,2.4870614784565516e-09
5,0.35232363595726635,0.3322914257215965,0.3048637455943859,0.2804786133852308,0.2456775908099223,0.2336314009140418,0.2256755907250231,0.2173162402079721,0.153704808416399,0.13268506113078798,0.11507259232784806,0.08521360311147293,0.03938177890981021,1.8461842780191297e-09
6,0.3523236359572656,0.3322914257215955,0.3048637455943848,0.2804786133852305,0.24567759080992185,0.23363140091404105,0.22567559072502244,0.21731624020797194,0.15370480841639886,0.13268506113078715,0.11507259232784732,0.0852136031114732,0.039381778909808665,3.4064622895037647e-09
7,0.3523236359572659,0.33229142572159553,0.30486374559438484,0.2804786133852306,0.24567759080992202,0.23363140091404117,0.22567559072502277,0.2173162402079721,0.153704808416399,0.13268506113078724,0.1150725923278474,0.08521360311147336,0.039381778909807846,2.537580099086853e-09
8,0.3523236359572664,0.332291425721596,0.3048637455943853,0.2804786133852307,0.24567759080992227,0.23363140091404155,0.22567559072502347,0.2173162402079722,0.15370480841639905,0.13268506113078804,0.115072592327848,0.08521360311147293,0.03938177890980857,2.668733680611373e-09
9,0.35232363595726657,0.3322914257215964,0.3048637455943857,0.2804786133852307,0.2456775908099225,0.2336314009140421,0.22567559072502397,0.2173162402079722,0.15370480841639872,0.1326850611307887,0.11507259232784872,0.0852136031114723,0.03938177890980987,1.7755183143290737e-09
