N,M,k,best_residual,edges
15,105,2,0.00016757322712542721,"3-6;4-13"
15,105,3,0.0022086807039407904,"1-12;1-14;7-13"
15,105,4,2.454070503603818e-05,"5-9;6-15;7-10;11-15"
15,105,5,3.7729142096007708e-05,"1-11;1-12;1-14;3-13;5-9"
15,105,6,1.1530478119732761e-05,"2-10;3-6;4-12;5-7;5-13;6-13"
15,105,7,2.5631615031649686e-05,"1-4;3-4;3-10;5-13;9-12;10-11;12-13"
15,105,8,4.3709145876935146e-06,"1-4;1-14;2-13;2-14;4-14;5-10;6-11;11-15"
15,105,9,8.0508061032421581e-06,"1-5;2-9;2-13;3-8;5-6;5-8;6-8;7-14;12-14"
15,105,10,6.9859845484267182e-06,"1-4;2-11;3-12;4-5;6-7;8-9;8-10;11-13;11-15;14-15"
15,105,11,2.2759494699611743e-06,"1-8;3-4;3-6;5-7;5-11;7-9;8-9;9-10;9-15;11-13;14-15"
15,105,12,2.4950518432890771e-06,"1-5;1-10;1-13;2-5;3-4;3-7;4-11;4-12;6-10;6-14;7-15;9-11"
15,105,13,2.8356533524573673e-06,"1-5;1-12;1-14;1-15;2-3;3-11;3-15;5-9;5-12;6-12;8-13;10-11;10-15"
