step,full_r1,parallel_r1,perp_r1,cross_r1,full_r2,parallel_r2,perp_r2,cross_r2,full_r3,parallel_r3,perp_r3,cross_r3,full_r4,parallel_r4,perp_r4,cross_r4,full_r5,parallel_r5,perp_r5,cross_r5,full_r6,parallel_r6,perp_r6,cross_r6,full_r7,parallel_r7,perp_r7,cross_r7,full_r8,parallel_r8,perp_r8,cross_r8,full_r9,parallel_r9,perp_r9,cross_r9,full_r10,parallel_r10,perp_r10,cross_r10,full_r11,parallel_r11,perp_r11,cross_r11,full_r12,parallel_r12,perp_r12,cross_r12,full_r13,parallel_r13,perp_r13,cross_r13,full_r14,parallel_r14,perp_r14,cross_r14,full_r15,parallel_r15,perp_r15,cross_r15,full_r16,parallel_r16,perp_r16,cross_r16
0,0.3171622983586931,0.31716229835869314,6.428731862814538e-17,5.5522349412293166e-09,0.310879910702207,0.310879910702207,6.122810105882299e-17,4.925916725222575e-09,0.309444251124773,0.3094442511247729,5.849215029272174e-17,4.484759743456088e-09,0.2954812954869786,0.29548129548697866,5.586598258585933e-17,4.255523686220661e-09,0.29180435975646896,0.291804359756469,5.502307170401501e-17,4.0985394388930865e-09,0.2520675016384823,0.2520675016384823,4.816406539125626e-17,3.802584401524404e-09,0.2289806830080029,0.22898068300800295,4.576307465425226e-17,3.5158912171125404e-09,0.21600553743616144,0.2160055374361615,4.222463969371674e-17,3.4012387953364067e-09,0.18112614713882955,0.18112614713882957,3.653921749915642e-17,3.1473767656001004e-09,0.16638902290293311,0.1663890229029331,3.4715927054222036e-17,2.9271910173568876e-09,0.1430742502790266,0.1430742502790266,2.9652631280544823e-17,2.7233868032294594e-09,0.14157667788561287,0.14157667788561287,2.7451391760827366e-17,2.5793000108392734e-09,0.12429703843945168,0.12429703843945171,2.309685602561031e-17,2.2191351395725996e-09,0.10344348268146118,0.10344348268146118,1.7326938364312553e-17,1.9770893502266434e-09,0.08447727934511688,0.08447727934511687,3.90105377938118e-18,1.7138483145347085e-09,2.325168046043542e-09,4.003098876559185e-09,4.141662303060355e-25,7.505202450344394e-10
1,0.3171622983586927,0.31716229835869275,1.2630231813715759e-15,2.2152692472628467e-08,0.3108799107022067,0.31087991070220666,1.1885943307645855e-15,2.0761439148199777e-08,0.30944425112477225,0.3094442511247724,5.632411775576957e-16,1.5794772723053393e-08,0.2954812954869781,0.29548129548697805,4.69271823305285e-16,1.3886559576826266e-08,0.29180435975646885,0.2918043597564688,4.5838422065737465e-16,1.3181206623099044e-08,0.25206750163848185,0.2520675016384818,3.9464612053657685e-16,1.2928163662630287e-08,0.2289806830080025,0.22898068300800234,3.899290932977359e-16,1.2037076170381468e-08,0.21600553743616113,0.2160055374361609,3.7302602598720006e-16,1.1359700871228196e-08,0.1811261471388295,0.18112614713882952,3.051543287754687e-16,1.081999828789415e-08,0.16638902290293314,0.1663890229029331,2.6834039746682516e-16,9.068190006939407e-09,0.1430742502790268,0.14307425027902665,2.501216386475107e-16,7.551217346092867e-09,0.141576677885612,0.14157667788561235,1.975212855596202e-16,6.9941055699986234e-09,0.12429703843945128,0.12429703843945115,1.7501622641406573e-16,5.689271796898077e-09,0.10344348268146154,0.10344348268146146,1.4584992743555875e-16,4.366824473741903e-09,0.08447727934511727,0.08447727934511726,1.3724097943386143e-16,3.542460544427892e-09,2.913302234663513e-09,1.0609688048983991e-09,9.290596877993804e-24,1.5555589568866376e-09
2,0.3171622983586931,0.31716229835869303,1.7005891289292178e-15,2.426814131974146e-08,0.31087991070220683,0.3108799107022069,1.5819571795713879e-15,2.2886296729211765e-08,0.3094442511247725,0.30944425112477253,8.855449341428203e-16,1.985912292339705e-08,0.2954812954869781,0.2954812954869781,8.598550492466189e-16,1.901366547912804e-08,0.29180435975646896,0.291804359756469,7.854195573483842e-16,1.778509370446639e-08,0.25206750163848196,0.2520675016384818,7.038013933885469e-16,1.6959407670184714e-08,0.22898068300800253,0.2289806830080024,6.114403130314844e-16,1.5264660983005047e-08,0.21600553743616133,0.21600553743616094,5.5806857244272e-16,1.3796896045438296e-08,0.18112614713882974,0.18112614713882974,4.973915250525907e-16,1.352284489541492e-08,0.16638902290293356,0.1663890229029333,4.673213177861258e-16,1.2781939687287841e-08,0.143074250279027,0.14307425027902687,4.001511131668575e-16,1.0670159383093045e-08,0.14157667788561154,0.14157667788561232,3.4838531486980875e-16,9.562914863217027e-09,0.12429703843945082,0.12429703843945117,3.350459840060055e-16,6.86372154702318e-09,0.10344348268146193,0.10344348268146182,1.5999599186795625e-16,6.165011999347152e-09,0.08447727934511758,0.08447727934511759,7.393889268871689e-17,4.217627141379439e-09,2.2543477322194494e-09,2.6951901870496733e-09,5.498252055432911e-24,2.603805550706931e-09
3,0.31716229835869275,0.3171622983586927,2.394251823200849e-15,2.944038134006324e-08,0.3108799107022064,0.3108799107022066,2.2153351056682468e-15,2.6646902113694177e-08,0.30944425112477236,0.30944425112477236,1.3128153931484225e-15,2.461431372180687e-08,0.295481295486978,0.29548129548697805,1.2238544162841606e-15,2.2742112612550516e-08,0.2918043597564686,0.2918043597564687,1.1722099970652497e-15,2.18662535068041e-08,0.25206750163848207,0.2520675016384818,1.0014712615845723e-15,1.9239976582722246e-08,0.22898068300800248,0.22898068300800234,8.179459614084572e-16,1.7904543829878992e-08,0.21600553743616144,0.21600553743616094,7.257386836242132e-16,1.6490985483689092e-08,0.18112614713882955,0.1811261471388295,6.835767615299777e-16,1.6129111392440377e-08,0.1663890229029335,0.16638902290293306,6.184262670433927e-16,1.5343504459833867e-08,0.14307425027902668,0.1430742502790266,5.251991383432162e-16,1.1821699991968356e-08,0.14157667788561126,0.1415766778856124,4.704251042551411e-16,1.0277495882867434e-08,0.12429703843945093,0.12429703843945125,4.526447328388598e-16,8.90636457525245e-09,0.10344348268146146,0.1034434826814614,2.848600952380794e-16,5.993956049895429e-09,0.08447727934511727,0.08447727934511717,8.828537019651201e-17,3.921526051727166e-09,3.248296829774709e-09,1.7853058218227648e-09,4.4552433276989934e-24,1.952564167085177e-09
4,0.31716229835869236,0.3171622983586923,3.397433737960129e-15,3.491407059446617e-08,0.3108799107022059,0.3108799107022063,3.1136924107572432e-15,3.153808666797418e-08,0.30944425112477214,0.3094442511247721,1.6967413513592454e-15,2.8113253087602632e-08,0.2954812954869777,0.2954812954869778,1.6201977762934288e-15,2.5771114812684126e-08,0.2918043597564681,0.2918043597564683,1.4930372262776778e-15,2.478251043087508e-08,0.25206750163848196,0.25206750163848163,1.248910490431889e-15,2.182231780794683e-08,0.22898068300800242,0.22898068300800228,1.1201277746190476e-15,2.033312361308127e-08,0.21600553743616133,0.21600553743616083,1.0640099938712676e-15,1.896525356291674e-08,0.18112614713882932,0.1811261471388292,8.039324536352498e-16,1.792488125970127e-08,0.16638902290293334,0.16638902290293275,7.266219911038095e-16,1.685983888375267e-08,0.14307425027902634,0.1430742502790263,6.033469581168278e-16,1.3985808221977236e-08,0.14157667788561104,0.1415766778856124,5.568389986472107e-16,1.0898977488708435e-08,0.12429703843945088,0.12429703843945124,4.3365261559560224e-16,9.968202037456528e-09,0.10344348268146099,0.1034434826814611,3.8043338089022735e-16,6.250086848573929e-09,0.08447727934511717,0.08447727934511684,2.5961920645167807e-16,5.6458880099210426e-09,2.1077089198918276e-09,3.1296599708084373e-09,1.3216442717955088e-23,2.0601427156834548e-09
5,0.31716229835869275,0.31716229835869275,2.5776194444412348e-15,3.5132421942881586e-08,0.31087991070220644,0.31087991070220666,2.4142543760781813e-15,3.226255764946598e-08,0.30944425112477253,0.30944425112477253,2.079847946009402e-15,3.114076673469082e-08,0.29548129548697816,0.2954812954869782,1.9451898275950467e-15,2.783132488698703e-08,0.29180435975646857,0.29180435975646873,1.7521958220274085e-15,2.7555010444353425e-08,0.2520675016384822,0.252067501638482,1.561257155580602e-15,2.443860439667992e-08,0.22898068300800284,0.22898068300800253,1.4898858136641445e-15,2.2150446407973445e-08,0.2160055374361616,0.2160055374361611,1.4239494619103958e-15,2.1505480861705696e-08,0.18112614713882974,0.18112614713882938,1.0516271278308321e-15,2.0424484098625592e-08,0.16638902290293328,0.16638902290293292,8.97323675069605e-16,1.7811246168222995e-08,0.14307425027902662,0.14307425027902645,7.86256970553448e-16,1.708339137691479e-08,0.14157667788561165,0.14157667788561257,7.018293919981024e-16,1.3881840142056405e-08,0.12429703843945136,0.12429703843945143,4.330757786847462e-16,1.0680337326123871e-08,0.10344348268146106,0.10344348268146125,4.051495078828746e-16,5.048949281320708e-09,0.08447727934511727,0.08447727934511694,2.253203205969722e-16,4.793766624908289e-09,3.3723857521187293e-09,1.492608287693138e-09,5.567751480558847e-24,2.8050098728802194e-09
6,0.31716229835869286,0.31716229835869286,3.2260162541924784e-15,3.9295240135834564e-08,0.31087991070220655,0.3108799107022068,2.9974034353727584e-15,3.6388164950555376e-08,0.30944425112477264,0.30944425112477253,2.414633730895006e-15,3.495563698622087e-08,0.29548129548697816,0.29548129548697816,2.290284085418045e-15,3.147833117413686e-08,0.2918043597564686,0.29180435975646885,2.1578305464345882e-15,2.9851644906887605e-08,0.2520675016384821,0.2520675016384819,1.970451500258248e-15,2.6629422492563815e-08,0.22898068300800273,0.22898068300800248,1.7365540002799382e-15,2.4621802118201463e-08,0.21600553743616147,0.216005537436161,1.6241116773160767e-15,2.3800893391717118e-08,0.18112614713882993,0.18112614713882955,1.3232239965700686e-15,2.2113832042333375e-08,0.1663890229029335,0.1663890229029331,1.1478812735344219e-15,1.9066471461471998e-08,0.14307425027902673,0.14307425027902665,1.0156091024605139e-15,1.723745942786313e-08,0.14157667788561126,0.14157667788561246,8.043332835681756e-16,1.5292705512028864e-08,0.12429703843945095,0.12429703843945125,7.133108798962755e-16,1.215580913467539e-08,0.10344348268146122,0.10344348268146149,6.615769370444606e-16,9.312582288149087e-09,0.0844772793451176,0.08447727934511726,2.3745698298684513e-16,6.91539403066684e-09,1.7418748721004154e-09,2.2109841138810384e-09,1.0879020602829022e-23,1.664515733814493e-09
7,0.31716229835869314,0.3171622983586932,3.212323229292025e-15,4.120111002075832e-08,0.31087991070220694,0.3108799107022071,3.154712495536718e-15,3.8792330225917193e-08,0.3094442511247728,0.30944425112477275,2.6883023666113962e-15,3.813273148095854e-08,0.2954812954869783,0.2954812954869783,2.5608962382762803e-15,3.4443996476993005e-08,0.29180435975646896,0.2918043597564692,2.5373798132917026e-15,3.262018377974977e-08,0.25206750163848224,0.252067501638482,2.2286691803423113e-15,2.8780749128589442e-08,0.22898068300800278,0.22898068300800253,1.9806538669608306e-15,2.7351802676956072e-08,0.2160055374361616,0.21600553743616113,1.8854454500735955e-15,2.636779814525832e-08,0.18112614713883016,0.18112614713882977,1.7270310067439942e-15,2.3336800320713446e-08,0.16638902290293364,0.1663890229029333,1.342603561512678e-15,2.18872873890308e-08,0.14307425027902704,0.14307425027902687,1.2537222721934703e-15,1.946978782116178e-08,0.14157667788561112,0.14157667788561246,1.0573977750742987e-15,1.6329261688906197e-08,0.12429703843945097,0.12429703843945125,9.53608133271317e-16,1.267637078988499e-08,0.10344348268146149,0.10344348268146174,7.763641687400507e-16,9.045803705980573e-09,0.08447727934511773,0.0844772793451175,4.074599827300689e-16,6.09466411333208e-09,1.2384671569873436e-09,2.2580790668758186e-09,2.4536132644107402e-23,1.6971709140300336e-09
8,0.31716229835869314,0.31716229835869325,3.9666472037103895e-15,4.4744949654053194e-08,0.31087991070220694,0.31087991070220705,3.9204004542038085e-15,4.2571052501590155e-08,0.3094442511247729,0.30944425112477275,3.1508829825529147e-15,4.047536316047266e-08,0.2954812954869783,0.2954812954869783,3.0963370289254443e-15,3.7923073057996625e-08,0.29180435975646896,0.2918043597564691,2.8219596413391563e-15,3.417611170683442e-08,0.2520675016384823,0.252067501638482,2.5722344498662435e-15,3.0454774837242535e-08,0.2289806830080029,0.22898068300800262,2.3773504404214365e-15,2.9825370070467274e-08,0.21600553743616166,0.21600553743616113,2.119098077287423e-15,2.7827319797666475e-08,0.18112614713883024,0.18112614713882977,2.021546826668593e-15,2.4917787196581058e-08,0.16638902290293373,0.16638902290293334,1.529559329185582e-15,2.2760918784789722e-08,0.14307425027902698,0.14307425027902687,1.3380420359179205e-15,2.1168963371487075e-08,0.1415766778856109,0.1415766778856125,1.2291495014176842e-15,1.734105630367676e-08,0.12429703843945077,0.12429703843945128,1.202196289652604e-15,1.2880759983916304e-08,0.1034434826814615,0.10344348268146168,8.480911170759814e-16,9.116290088184387e-09,0.08447727934511763,0.08447727934511748,2.1335582364751924e-16,6.8644411218178675e-09,2.0657308342804238e-09,1.5329689465469465e-09,2.1929299901321805e-23,8.914694087570179e-10
9,0.31716229835869325,0.31716229835869336,5.404220609222712e-15,4.9658172593406384e-08,0.31087991070220694,0.3108799107022072,5.246843179259664e-15,4.7047287153451956e-08,0.30944425112477325,0.3094442511247731,3.8428572529301355e-15,4.2781972604083546e-08,0.29548129548697866,0.29548129548697866,3.702033900750197e-15,4.166096216889789e-08,0.29180435975646896,0.29180435975646923,3.1202424644359644e-15,3.566734968703942e-08,0.25206750163848257,0.25206750163848235,2.9451280691405224e-15,3.270015785553078e-08,0.22898068300800326,0.22898068300800298,2.8086544018201486e-15,3.23907142347029e-08,0.21600553743616202,0.21600553743616144,2.4909011668312145e-15,2.967070865666153e-08,0.1811261471388303,0.1811261471388298,2.391679611890327e-15,2.6900796604652926e-08,0.1663890229029338,0.1663890229029333,1.798271150521697e-15,2.4482169859153663e-08,0.14307425027902676,0.14307425027902682,1.4700319326738945e-15,2.3200789271048127e-08,0.14157667788561062,0.1415766778856128,1.3845254914721603e-15,1.9901720627641963e-08,0.12429703843945089,0.12429703843945158,1.2475641045289534e-15,1.3708595814789646e-08,0.10344348268146122,0.10344348268146153,8.954285485143823e-16,9.213538634204829e-09,0.08447727934511727,0.08447727934511724,2.477480430430448e-16,8.130705683714376e-09,1.1556578891112803e-09,3.9317767532830195e-09,3.010336746237404e-23,2.233541587334689e-09
