N,M,k,residual,star_span_trivial,star_span_error,edges
4,6,3,1.8201855206031278e-14,True,4.650319404498811e-16,"1-2,1-3,1-4"
4,6,3,1.7503428642480834e-14,True,2.5438405243138006e-16,"1-2,1-3,2-3"
4,6,3,1.115028704022816e-14,True,5.661048867003676e-16,"1-2,1-4,2-4"
4,6,3,1.0654689665355145e-14,True,9.461354227335467e-16,"1-2,2-3,2-4"
4,6,3,2.400350256755773e-14,True,2.9373740229761033e-16,"1-3,1-4,3-4"
4,6,3,2.2035064777680722e-14,True,7.704541235042752e-16,"1-3,2-3,3-4"
4,6,3,1.750330176185299e-14,True,3.15563848905497e-16,"1-4,2-4,3-4"
4,6,3,1.5146879063659085e-14,True,6.544668208791957e-16,"2-3,2-4,3-4"
5,10,2,3.3542999657609036e-09,False,0.816496580927726,"1-2,1-5"
5,10,2,1.3176380870301318e-08,False,0.816496580927726,"1-2,2-4"
5,10,2,4.568495043694971e-09,False,0.816496580927726,"1-3,1-4"
5,10,2,8.058788074273427e-09,False,0.816496580927726,"1-3,2-3"
5,10,2,1.7006725624446512e-08,False,0.8164965809277259,"1-3,3-5"
5,10,2,2.763377295565929e-10,False,1.1547005383792517,"1-4,2-5"
5,10,2,4.428401323236274e-09,False,0.816496580927726,"1-4,3-4"
5,10,2,1.344746266862433e-08,False,0.816496580927726,"1-5,4-5"
5,10,2,1.2332429078455712e-08,False,0.816496580927726,"2-3,2-5"
5,10,2,1.7001632281828327e-08,False,0.816496580927726,"2-3,3-4"
5,10,2,3.0777266185795035e-09,False,0.816496580927726,"2-4,4-5"
5,10,2,1.2716240323428182e-08,False,0.816496580927726,"2-5,3-5"
5,10,2,8.058355455308976e-09,False,0.8164965809277259,"3-4,3-5"
5,10,4,6.333683937467452e-10,True,6.280369834735101e-16,"1-2,1-3,1-4,1-5"
5,10,4,8.844356020803826e-09,False,0.816496580927726,"1-2,1-3,1-4,2-4"
5,10,4,5.706243015553371e-09,False,0.816496580927726,"1-2,1-3,1-5,2-3"
5,10,4,6.83010451667019e-09,False,0.816496580927726,"1-2,1-3,1-5,3-5"
5,10,4,2.5821517573354116e-09,False,0.816496580927726,"1-2,1-3,2-3,2-4"
5,10,4,1.504932810176913e-08,False,1.414213562373095,"1-2,1-3,2-4,3-5"
5,10,4,1.539177545007363e-09,False,0.816496580927726,"1-2,1-4,1-5,2-5"
5,10,4,3.87839182779499e-09,False,1.1547005383792517,"1-2,1-4,1-5,3-4"
5,10,4,6.7262578305211775e-09,False,0.816496580927726,"1-2,1-4,2-4,2-5"
5,10,4,4.4802588594927926e-09,False,0.816496580927726,"1-2,1-4,2-4,3-4"
5,10,4,7.843086306842657e-09,False,0.816496580927726,"1-2,1-5,2-3,2-5"
5,10,4,1.017570331077077e-08,False,1.4142135623730951,"1-2,1-5,2-3,3-4"
5,10,4,1.415156740149093e-10,False,1.1547005383792515,"1-2,1-5,2-4,4-5"
5,10,4,4.683529519923213e-09,False,0.8164965809277259,"1-2,1-5,2-5,3-5"
5,10,4,2.3522949843968233e-09,False,1.4142135623730951,"1-2,1-5,3-4,3-5"
5,10,4,8.199391407717214e-10,True,1.0721709926860073e-15,"1-2,2-3,2-4,2-5"
5,10,4,2.204666576072528e-09,False,0.816496580927726,"1-2,2-3,2-4,3-4"
5,10,4,1.2915858327091127e-08,False,1.1547005383792517,"1-2,2-4,2-5,3-5"
5,10,4,1.0610115861144161e-08,False,1.4142135623730951,"1-2,2-4,3-4,3-5"
5,10,4,4.492586976928666e-09,False,0.816496580927726,"1-3,1-4,1-5,4-5"
5,10,4,3.8912834338326574e-09,False,1.4142135623730951,"1-3,1-4,2-3,2-5"
5,10,4,6.218527301530616e-09,False,0.816496580927726,"1-3,1-4,2-3,3-4"
5,10,4,3.81745096376459e-09,False,1.1547005383792517,"1-3,1-4,2-4,4-5"
5,10,4,8.640677639611262e-09,False,1.4142135623730951,"1-3,1-4,2-5,3-5"
5,10,4,6.305252800857691e-09,False,0.8164965809277259,"1-3,1-4,3-4,3-5"
5,10,4,1.074841476819187e-08,False,1.4142135623730951,"1-3,1-5,2-3,4-5"
5,10,4,2.0887862229082557e-09,False,0.816496580927726,"1-3,1-5,3-5,4-5"
5,10,4,2.490549055208909e-09,False,1.414213562373095,"1-3,2-3,2-4,4-5"
5,10,4,2.3554841954194145e-09,False,0.816496580927726,"1-3,2-3,2-5,3-5"
5,10,4,3.58903022183801e-11,True,1.5450226700084703e-15,"1-3,2-3,3-4,3-5"
5,10,4,1.0038082124129088e-08,False,1.4142135623730951,"1-3,2-4,3-5,4-5"
5,10,4,6.585637512026431e-09,False,0.816496580927726,"1-4,1-5,2-5,4-5"
5,10,4,8.886599599103204e-09,False,0.816496580927726,"1-4,1-5,3-4,4-5"
5,10,4,8.363464543363325e-09,False,1.4142135623730951,"1-4,2-3,2-5,3-4"
5,10,4,1.676965708022907e-09,False,0.816496580927726,"1-4,2-4,2-5,4-5"
5,10,4,7.553572241951189e-10,True,1.0731504408244662e-15,"1-4,2-4,3-4,4-5"
5,10,4,4.167252943534785e-09,False,1.4142135623730951,"1-4,2-5,3-4,3-5"
5,10,4,1.2872473947312612e-08,False,1.1547005383792517,"1-5,2-3,2-5,4-5"
5,10,4,1.5187484842288816e-08,False,1.4142135623730951,"1-5,2-3,3-4,4-5"
5,10,4,9.314076794753876e-10,True,1.0687253785646681e-15,"1-5,2-5,3-5,4-5"
5,10,4,2.7191062107295973e-09,False,0.816496580927726,"1-5,3-4,3-5,4-5"
5,10,4,4.6289306073566075e-09,False,0.816496580927726,"2-3,2-4,2-5,4-5"
5,10,4,6.967311426066021e-09,False,0.816496580927726,"2-3,2-4,3-4,4-5"
5,10,4,2.1438175986567743e-09,False,0.816496580927726,"2-3,2-5,3-4,3-5"
5,10,4,7.894275389123832e-09,False,0.816496580927726,"2-4,2-5,3-5,4-5"
5,10,4,5.568026723143899e-09,False,0.816496580927726,"2-4,3-4,3-5,4-5"
6,15,5,5.5327190201117006e-08,True,5.042172963957092e-16,"1-2,1-3,1-4,1-5,1-6"
6,15,5,5.058757294544979e-09,False,1.0,"1-2,1-3,1-4,1-5,3-5"
6,15,5,5.532582615595878e-08,False,1.0,"1-2,1-3,1-4,1-6,3-6"
6,15,5,5.057524710524052e-09,False,1.4142135623730951,"1-2,1-3,1-4,3-5,3-6"
6,15,5,8.46689633970645e-09,False,1.0,"1-2,1-3,1-5,1-6,2-3"
6,15,5,8.411437152710697e-09,False,1.0,"1-2,1-3,1-5,1-6,2-5"
6,15,5,5.524821845120026e-08,False,1.224744871391589,"1-2,1-3,1-5,1-6,4-6"
