N,M,subset_size,best_closure_residual,hit_count_lt1e-6,best_edges
3,3,2,0.46328563737091627,0,"1-2,1-3"
3,3,3,5.346038374275909e-14,1,"1-2,1-3,2-3"
4,6,2,0.49998429809381817,0,"1-3,3-4"
4,6,3,1.0654689665355145e-14,8,"1-2,2-3,2-4"
5,10,2,2.763377295565929e-10,13,"1-4,2-5"
5,10,3,0.33333333180339486,0,"1-2,2-4,3-5"
6,15,2,0.06101426207246768,0,"1-6,2-6"
6,15,3,0.04067618881703801,0,"1-3,1-5,2-5"
7,21,2,0.20291662675831845,0,"2-7,3-6"
7,21,3,6.5144817383637774e-06,0,"1-7,2-7,4-7"
8,28,2,0.001592501950399425,0,"1-3,5-7"
8,28,3,0.002284289616995813,0,"3-4,4-5,4-8"
9,36,2,0.0016567100038429293,0,"1-8,2-8"
9,36,3,0.005034938259218999,0,"1-3,2-7,3-5"
10,45,2,0.001988566329826462,0,"1-6,8-10"
10,45,3,0.009853019262672888,0,"4-6,6-10,7-9"
11,55,2,0.0013380677397409704,0,"2-6,3-5"
11,55,3,0.0013996453814294173,0,"4-11,6-9,6-10"
12,66,2,0.0001094920912709846,0,"3-11,5-7"
12,66,3,0.011259568001417,0,"1-11,2-10,5-6"
13,78,2,0.00016548329840120792,0,"6-10,8-10"
13,78,3,0.010357863968252425,0,"1-10,2-5,8-10"
14,91,2,0.00037254864422722094,0,"6-9,7-12"
14,91,3,0.006073952885767382,0,"1-14,4-14,7-13"
15,105,2,0.0001675732271243835,0,"3-6,4-13"
15,105,3,0.002208680703940522,0,"1-12,1-14,7-13"
16,120,2,0.00033019949863795464,0,"1-7,6-7"
16,120,3,0.00212034079760825,0,"3-16,4-5,7-9"
