step,H_total,H_parallel,H_perp,A_perp,abs_ZtZ,sum_a2,sum_b2,sum_ab,r2_min,r2_max,simplex_rank
0,0.6666666666666664,0.6666666666666661,3.3306690738754696e-16,1.8250120749944284e-08,2.2995231480836986e-16,0.3333333333333331,0.3333333333333333,2.7755575615628914e-17,0.08333333333333323,0.16666666666666666,3
1,0.6666666666666663,0.6666666666666657,5.551115123125783e-16,2.356080457693621e-08,4.2585606907619546e-16,0.3333333333333331,0.3333333333333332,-1.8041124150158794e-16,0.08333333333333312,0.16666666666666674,3
2,0.6666666666666665,0.6666666666666657,7.771561172376096e-16,2.7877519926234643e-08,6.168179722563177e-16,0.333333333333333,0.33333333333333354,-4.163336342344337e-17,0.08333333333333315,0.16666666666666666,3
3,0.6666666666666663,0.6666666666666656,6.661338147750939e-16,2.5809568279517847e-08,3.4481445293520866e-16,0.333333333333333,0.33333333333333326,1.0061396160665481e-16,0.08333333333333309,0.1666666666666666,3
4,0.6666666666666672,0.6666666666666665,6.661338147750939e-16,2.5809568279517847e-08,2.7380381567714887e-16,0.3333333333333335,0.33333333333333365,1.0928757898653885e-16,0.08333333333333318,0.16666666666666688,3
5,0.6666666666666679,0.6666666666666672,6.661338147750939e-16,2.5809568279517847e-08,2.133392914122973e-16,0.33333333333333387,0.3333333333333339,1.0234868508263162e-16,0.08333333333333316,0.16666666666666713,3
6,0.666666666666668,0.6666666666666674,5.551115123125783e-16,2.356080457693621e-08,3.5693166433999697e-16,0.33333333333333387,0.3333333333333341,1.4051260155412137e-16,0.08333333333333315,0.16666666666666713,3
7,0.6666666666666681,0.6666666666666674,6.661338147750939e-16,2.5809568279517847e-08,5.172137149080067e-16,0.33333333333333415,0.33333333333333387,2.0469737016526324e-16,0.08333333333333309,0.16666666666666732,3
8,0.6666666666666674,0.666666666666667,4.440892098500626e-16,2.1073424255447017e-08,1.2631901291507493e-15,0.3333333333333341,0.3333333333333333,4.753142324176451e-16,0.08333333333333298,0.1666666666666674,3
9,0.666666666666667,0.6666666666666665,4.440892098500626e-16,2.1073424255447017e-08,4.999655734771907e-16,0.33333333333333376,0.33333333333333337,1.6653345369377348e-16,0.08333333333333301,0.16666666666666705,3
10,0.6666666666666663,0.6666666666666656,6.661338147750939e-16,2.5809568279517847e-08,2.954856220442849e-16,0.33333333333333326,0.333333333333333,-5.551115123125783e-17,0.08333333333333293,0.16666666666666663,3
11,0.6666666666666652,0.6666666666666647,4.440892098500626e-16,2.1073424255447017e-08,2.7142773465734537e-16,0.33333333333333265,0.33333333333333254,-1.0408340855860843e-16,0.08333333333333276,0.1666666666666663,3
12,0.6666666666666652,0.6666666666666647,4.440892098500626e-16,2.1073424255447017e-08,6.819710199563305e-16,0.3333333333333327,0.33333333333333254,-3.3306690738754696e-16,0.08333333333333273,0.16666666666666624,3
13,0.6666666666666645,0.666666666666664,5.551115123125783e-16,2.356080457693621e-08,1.154612326177489e-15,0.33333333333333237,0.3333333333333321,-5.620504062164855e-16,0.08333333333333265,0.16666666666666596,3
14,0.6666666666666639,0.6666666666666632,6.661338147750939e-16,2.5809568279517847e-08,1.1085235425473662e-15,0.33333333333333204,0.3333333333333317,-5.447031714567174e-16,0.08333333333333245,0.16666666666666588,3
15,0.6666666666666634,0.6666666666666627,6.661338147750939e-16,2.5809568279517847e-08,1.073906789299856e-15,0.33333333333333176,0.3333333333333316,-5.342948306008566e-16,0.08333333333333227,0.16666666666666577,3
16,0.6666666666666634,0.6666666666666627,6.661338147750939e-16,2.5809568279517847e-08,1.0139496450194345e-15,0.33333333333333165,0.33333333333333176,-5.065392549852277e-16,0.08333333333333219,0.16666666666666596,3
17,0.6666666666666633,0.6666666666666627,5.551115123125783e-16,2.356080457693621e-08,1.2617146946843206e-15,0.333333333333332,0.3333333333333313,-5.35162192338845e-16,0.08333333333333225,0.16666666666666588,3
18,0.6666666666666634,0.666666666666663,4.440892098500626e-16,2.1073424255447017e-08,1.2710046180231088e-15,0.3333333333333321,0.3333333333333314,-5.585809592645319e-16,0.08333333333333222,0.16666666666666613,3
19,0.6666666666666639,0.6666666666666634,4.440892098500626e-16,2.1073424255447017e-08,1.4717577700582237e-15,0.3333333333333324,0.33333333333333154,-5.620504062164855e-16,0.08333333333333219,0.1666666666666662,3
20,0.6666666666666645,0.6666666666666639,6.661338147750939e-16,2.5809568279517847e-08,1.5263346312292203e-15,0.3333333333333327,0.33333333333333176,-6.036837696399289e-16,0.0833333333333322,0.16666666666666657,3
21,0.6666666666666643,0.6666666666666639,4.440892098500626e-16,2.1073424255447017e-08,1.6513957801267801e-15,0.33333333333333276,0.3333333333333316,-5.828670879282072e-16,0.0833333333333321,0.16666666666666655,3
