step,max_within_opposite_pair_phase_diff,max_class_gap_error_from_one_third,gap1,gap2,gap3
0,2.8271597168564594e-16,0.3333333333333329,3.885780586188048e-16,0.4999999999999997,0.4999999999999999
1,3.5339496460705744e-16,0.3333333333333329,3.885780586188048e-16,0.49999999999999967,0.5
2,4.240739575284689e-16,0.3333333333333328,4.996003610813204e-16,0.49999999999999956,0.4999999999999999
3,4.240739575284689e-16,0.3333333333333328,4.996003610813204e-16,0.49999999999999967,0.4999999999999999
4,4.240739575284689e-16,0.33333333333333276,5.551115123125783e-16,0.4999999999999998,0.49999999999999967
5,4.947529504498804e-16,0.33333333333333254,0.49999999999999944,7.771561172376096e-16,0.49999999999999967
6,6.361109362927033e-16,0.33333333333333265,0.4999999999999995,6.661338147750939e-16,0.4999999999999998
7,5.654319433712919e-16,0.3333333333333324,0.4999999999999995,8.881784197001252e-16,0.49999999999999967
8,4.947529504498804e-16,0.3333333333333323,0.4999999999999995,9.992007221626409e-16,0.49999999999999944
9,5.654319433712919e-16,0.333333333333332,0.49999999999999944,1.3322676295501878e-15,0.4999999999999992
10,5.654319433712919e-16,0.33333333333333187,0.4999999999999994,1.4432899320127035e-15,0.4999999999999992
11,8.481479150569378e-16,0.3333333333333314,0.4999999999999991,1.887379141862766e-15,0.4999999999999991
12,7.067899292141149e-16,0.3333333333333314,0.49999999999999895,1.887379141862766e-15,0.4999999999999992
13,8.481479150569378e-16,0.3333333333333311,0.49999999999999867,2.220446049250313e-15,0.4999999999999991
14,7.774689221355263e-16,0.33333333333333076,0.4999999999999984,2.55351295663786e-15,0.4999999999999991
15,6.361109362927033e-16,0.33333333333333065,0.4999999999999983,2.6645352591003757e-15,0.499999999999999
16,7.774689221355263e-16,0.33333333333333043,0.49999999999999806,2.886579864025407e-15,0.4999999999999991
17,6.361109362927033e-16,0.33333333333333,0.49999999999999784,3.3306690738754696e-15,0.4999999999999988
18,9.895059008997609e-16,0.33333333333332954,3.771288836773579e-15,0.4999999999999987,0.49999999999999745
19,1.1308638867425838e-15,0.33333333333332915,4.15639744844043e-15,0.49999999999999856,0.49999999999999734
20,1.4135798584282298e-15,0.33333333333332876,4.538036613155327e-15,0.49999999999999845,0.4999999999999971
21,1.5549378442710527e-15,0.33333333333332843,4.884981308350689e-15,0.4999999999999982,0.499999999999997
22,1.6962958301138756e-15,0.3333333333333281,5.218048215738236e-15,0.4999999999999981,0.49999999999999656
23,1.9790118017995217e-15,0.3333333333333275,5.856426454897701e-15,0.4999999999999977,0.49999999999999645
24,1.8376538159566985e-15,0.3333333333333271,6.217248937900877e-15,0.4999999999999976,0.4999999999999962
25,2.1203697876423446e-15,0.3333333333333264,6.938893903907228e-15,0.499999999999997,0.499999999999996
26,2.5444437451708133e-15,0.3333333333333258,7.494005416219807e-15,0.4999999999999966,0.4999999999999959
27,2.5444437451708133e-15,0.33333333333332515,8.1601392309949e-15,0.49999999999999606,0.4999999999999958
28,2.8271597168564595e-15,0.33333333333332454,8.770761894538737e-15,0.49999999999999567,0.49999999999999567
29,2.8271597168564595e-15,0.33333333333332377,9.547918011776346e-15,0.4999999999999951,0.49999999999999534
30,3.1098756885421053e-15,0.33333333333332305,1.0269562977782698e-14,0.4999999999999946,0.499999999999995
31,3.392591660227751e-15,0.333333333333322,0.49999999999999467,1.1324274851176597e-14,0.499999999999994
32,3.392591660227751e-15,0.3333333333333209,0.499999999999994,1.2434497875801753e-14,0.49999999999999356
33,3.675307631913397e-15,0.33333333333332,0.49999999999999367,1.3322676295501878e-14,0.4999999999999931
34,3.533949646070574e-15,0.3333333333333189,0.4999999999999929,1.4432899320127035e-14,0.4999999999999928
