step,within_A_plus,within_A_minus,within_B_plus,within_B_minus,complement_error_A,complement_error_B,A_B_center_distance,Aplus_a2n,Aplus_b2n,Aplus_abn,Bplus_a2n,Bplus_b2n,Bplus_abn
0,0.49702280781487657,8.881784197001252e-16,3.3306690738754696e-16,5.551115123125783e-16,0.2485114039074386,0.7455342117223143,0.4005799599957247,0.3889221070159941,0.6110778929840058,0.12425570195371928,0.16676632104798206,0.833233678952018,0.3727671058611576
1,0.5802559384078261,3.608224830031759e-16,3.3306690738754696e-16,6.106226635438361e-16,0.29012796920391315,0.8703839076117399,0.44191102003174587,0.3549360153980437,0.6450639846019562,0.08206228213485876,0.06480804619413028,0.9351919538058697,0.2461868464045749
2,0.6548833789060439,2.914335439641036e-16,5.551115123125783e-17,5.967448757360216e-16,0.32744168945302193,0.9823250683590661,0.4672570717527563,0.33627915527348917,0.6637208447265108,0.031197159803666514,0.008837465820467108,0.9911625341795329,0.09359147941099759
3,0.660307847047105,2.914335439641036e-16,1.5265566588595902e-16,7.077671781985373e-16,0.33015392352355255,0.9904617705706572,0.4691617251322903,0.3349230382382237,0.6650769617617763,-0.022964635274238834,0.004769114714671343,0.9952308852853287,-0.06889390582271882
4,0.5959561273075904,2.7755575615628914e-16,1.1102230246251565e-16,4.163336342344337e-16,0.2979780636537953,0.8939341909613849,0.44710405671384396,0.3510109681731021,0.6489890318268978,-0.07469970664642132,0.0530329045193072,0.9469670954806928,-0.22409911993926537
5,0.4741643804464713,5.551115123125783e-16,1.6653345369377348e-16,3.3306690738754696e-16,0.23708219022323568,0.7112465706697082,0.40744847195832684,0.382842898006496,0.6171571019935039,-0.11854109511161724,0.14852869401948993,0.8514713059805101,-0.35562328533485354
6,0.5994239374691629,1.4432899320127035e-15,2.7755575615628914e-16,5.551115123125783e-16,0.29971196873458206,0.8991359062037456,0.3638611795993947,0.4270550774413446,0.5729449225586555,-0.14985598436729025,0.28116523232403734,0.7188347676759627,-0.4495679531018725
7,0.6613410437425472,1.887379141862766e-15,1.1102230246251565e-16,6.661338147750939e-16,0.3306705218712738,0.9920115656138212,0.33597504101882575,0.478975507874797,0.5210244921252031,-0.1653352609356366,0.43692652362439577,0.5630734763756042,-0.49600578280691054
8,0.6533727819596831,1.9984014443252818e-15,2.7755575615628914e-16,3.3306690738754696e-16,0.326686390979841,0.980059172939524,0.33985029670545924,0.5331176428043902,0.46688235719560983,-0.16334319548992116,0.5993529284131771,0.4006470715868229,-0.49002958646976214
9,0.5763611759337496,2.55351295663786e-15,1.3877787807814457e-16,6.661338147750939e-16,0.2881805879668726,0.8645417639006234,0.3730605459456807,0.5837601633089619,0.4162398366910381,-0.14409029398343878,0.7512804899268928,0.24871951007310716,-0.43227088195031216
10,0.5022062497973061,1.942890293094024e-15,3.3306690738754696e-16,6.661338147750939e-16,0.2511031248986564,0.7533093746959605,0.41732947468993936,0.6255515624493245,0.3744484375506754,-0.10961105302072018,0.8766546873479797,0.12334531265202037,-0.32883315906215377
11,0.6163026032816603,2.3314683517128287e-15,2.498001805406602e-16,6.938893903907228e-16,0.3081513016408326,0.9244539049224911,0.4539475033680103,0.6540756508204139,0.3459243491795861,-0.06354897011001574,0.9622269524612452,0.03777304753875478,-0.19064691033003855
12,0.6652729001392772,2.42861286636753e-15,4.85722573273506e-16,4.718447854656915e-16,0.33263645006963904,0.9979093502089159,0.4709120077318505,0.6663182250348191,0.33368177496518087,-0.010771527238282022,0.9989546751044579,0.0010453248955420904,-0.03231458171483658
13,0.6439423409953118,2.0816681711721685e-15,7.494005416219807e-16,5.551115123125783e-16,0.32197117049765406,0.9659135114929671,0.4634399052118205,0.6609855852488288,0.3390144147511713,0.04314416669574076,0.9829567557464838,0.017043244253516186,0.12943250008723145
14,0.5545649731234453,1.942890293094024e-15,7.216449660063518e-16,2.220446049250313e-16,0.27728248656171883,0.8318474596851666,0.4335858490137358,0.6386412432808629,0.36135875671913714,0.09250072129077896,0.9159237298425839,0.08407627015741614,0.2775021638723441
15,0.5283300818567204,2.1094237467877974e-15,1.2490009027033011e-15,1.1102230246251565e-16,0.264165040928364,0.7924951227850825,0.3904344418382413,0.6016463750736228,0.3983536249263772,0.13208252046417865,0.8049391252208622,0.19506087477913775,0.3962475613925407
16,0.6308274724690248,1.7208456881689926e-15,1.4988010832439613e-15,4.440892098500626e-16,0.31541373623451396,0.9462412087035383,0.35033754754066415,0.5539103100197383,0.4460896899802616,0.15770686811725573,0.6617309300592098,0.3382690699407902,0.47312060435176884
17,0.6666639314627363,2.1094237467877974e-15,1.7763568394002505e-15,7.771561172376096e-16,0.33333196573136825,0.9999958971941045,0.3333347009296875,0.5004774234946882,0.4995225765053119,0.16666598286568404,0.5014322704840595,0.4985677295159404,0.4999979485970522
18,0.6320525411041008,1.5543122344752192e-15,1.5543122344752192e-15,1.0547118733938987e-15,0.3160262705520491,0.9480788116561495,0.3497851033751794,0.44699408657500306,0.553005913424997,0.15801313527602542,0.34098225972500573,0.6590177402749944,0.47403940582807513
19,0.5306507634197656,1.1102230246251565e-15,1.4988010832439613e-15,1.1102230246251565e-15,0.26532538170988107,0.7959761451296452,0.3896468452877911,0.3991120015417889,0.6008879984582111,0.1326626908549415,0.1973360046253651,0.802663995374635,0.39798807256482327
20,0.5524361039036376,1.609823385706477e-15,1.609823385706477e-15,1.1657341758564144e-15,0.2762180519518199,0.8286541558554593,0.43290590586774086,0.36189097402409054,0.6381090259759093,0.09329348702756986,0.08567292207227084,0.914327077927729,0.2798804610827084
21,0.6429430713274437,2.3592239273284576e-15,1.8041124150158794e-15,1.5543122344752192e-15,0.3214715356637221,0.964414606991167,0.4630929273408339,0.33926423216813895,0.660735767831861,0.04406575447305808,0.017792696504416894,0.9822073034955832,0.13219726341917448
22,0.6655088250551209,3.0635216585750413e-15,1.949829186997931e-15,1.9359513991901167e-15,0.3327544125275605,0.998263237582681,0.47099533985770287,0.3336227937362199,0.6663772062637802,-0.009818503635347371,0.0008683812086594401,0.9991316187913406,-0.029455510906040778
