step,H_perp,A_perp,H_total,four_group_error,A_B_center_distance
0,2.5728858861679743e-32,1.6040217848171435e-16,0.8596491228070173,0.7455342117223143,0.4005799599957247
1,8.453026896537102e-31,9.194034422677078e-16,0.8596491228070186,0.8703839076117399,0.44191102003174587
2,1.0455392185592208e-30,1.0225161214177607e-15,0.8596491228070198,0.9823250683590661,0.4672570717527563
3,1.3261953597050506e-30,1.151605557343768e-15,0.8596491228070196,0.9904617705706572,0.4691617251322903
4,1.2150692019139073e-30,1.1023017744310797e-15,0.8596491228070193,0.8939341909613849,0.44710405671384396
5,1.5773366244531462e-30,1.255920628245729e-15,0.8596491228070196,0.7112465706697082,0.40744847195832684
6,2.9586135805676717e-30,1.7200620862537702e-15,0.8596491228070201,0.8991359062037456,0.3638611795993947
7,4.1818679847452246e-30,2.0449616096018103e-15,0.8596491228070209,0.9920115656138212,0.33597504101882575
8,4.9960789428592334e-30,2.235191030507065e-15,0.859649122807019,0.980059172939524,0.33985029670545924
9,6.2111030057900696e-30,2.492208459537458e-15,0.8596491228070183,0.8645417639006234,0.3730605459456807
10,6.0330793704540816e-30,2.456232759828368e-15,0.8596491228070176,0.7533093746959605,0.41732947468993936
11,6.701923242851618e-30,2.5888073012203158e-15,0.8596491228070179,0.9244539049224911,0.4539475033680103
12,7.024877620401052e-30,2.650448569657795e-15,0.859649122807018,0.9979093502089159,0.4709120077318505
13,7.266292938929992e-30,2.6956062284632732e-15,0.8596491228070178,0.9659135114929671,0.4634399052118205
14,8.480254731125877e-30,2.912087692897636e-15,0.8596491228070168,0.8318474596851666,0.4335858490137358
15,7.940031381725257e-30,2.817806129194352e-15,0.8596491228070162,0.7924951227850825,0.3904344418382413
16,6.942207077538229e-30,2.6348068387527443e-15,0.859649122807016,0.9462412087035383,0.35033754754066415
17,6.774121541641834e-30,2.6027142643098253e-15,0.8596491228070158,0.9999958971941045,0.3333347009296875
18,5.7151730358448176e-30,2.3906428080842225e-15,0.8596491228070164,0.9480788116561495,0.3497851033751794
19,5.3633613064177245e-30,2.315893198404824e-15,0.8596491228070174,0.7959761451296452,0.3896468452877911
20,5.640082832872482e-30,2.374885856809224e-15,0.8596491228070182,0.8286541558554593,0.43290590586774086
21,5.765174992025971e-30,2.4010778812912276e-15,0.8596491228070202,0.964414606991167,0.4630929273408339
22,6.167453609159856e-30,2.4834358476030453e-15,0.8596491228070205,0.998263237582681,0.47099533985770287
23,5.343300037707947e-30,2.311557924367881e-15,0.8596491228070201,0.9266231881118002,0.45443866873154365
