step,H_total,H_parallel,H_perp,abs_ztz
0,0.8596491228070173,0.8596491228070173,2.5728858861679743e-32,4.830894905938759e-16
1,0.8596491228070186,0.8596491228070186,8.453026896537102e-31,8.063593153156445e-16
2,0.8596491228070198,0.8596491228070198,1.0455392185592208e-30,1.2303773955855097e-15
3,0.8596491228070196,0.8596491228070196,1.3261953597050506e-30,8.659500947708929e-16
4,0.8596491228070193,0.8596491228070193,1.2150692019139073e-30,1.0900805296169213e-15
5,0.8596491228070196,0.8596491228070196,1.5773366244531462e-30,1.077995308113513e-15
6,0.8596491228070201,0.8596491228070201,2.9586135805676717e-30,1.0576297337700568e-15
7,0.8596491228070209,0.8596491228070209,4.1818679847452246e-30,1.714419678461198e-15
8,0.859649122807019,0.859649122807019,4.9960789428592334e-30,1.9938075653169008e-15
9,0.8596491228070183,0.8596491228070183,6.2111030057900696e-30,2.1656951964858417e-15
10,0.8596491228070176,0.8596491228070176,6.0330793704540816e-30,2.415231161212306e-15
11,0.8596491228070179,0.8596491228070179,6.701923242851618e-30,3.1628310587153944e-15
12,0.859649122807018,0.859649122807018,7.024877620401052e-30,3.411904071646053e-15
13,0.8596491228070178,0.8596491228070178,7.266292938929992e-30,3.3226134994212016e-15
14,0.8596491228070168,0.8596491228070168,8.480254731125877e-30,3.354614461525173e-15
15,0.8596491228070162,0.8596491228070162,7.940031381725257e-30,3.2384110719707228e-15
16,0.859649122807016,0.859649122807016,6.942207077538229e-30,2.5384660074484688e-15
17,0.8596491228070158,0.8596491228070158,6.774121541641834e-30,1.6849413563442165e-15
18,0.8596491228070164,0.8596491228070164,5.7151730358448176e-30,1.0471788657157485e-15
19,0.8596491228070174,0.8596491228070174,5.3633613064177245e-30,1.4284852257270013e-15
20,0.8596491228070182,0.8596491228070182,5.640082832872482e-30,1.2954954025560477e-15
21,0.8596491228070202,0.8596491228070202,5.765174992025971e-30,1.6404695204268393e-15
22,0.8596491228070205,0.8596491228070205,6.167453609159856e-30,1.3810213785896724e-15
23,0.8596491228070201,0.8596491228070201,5.343300037707947e-30,1.1640791721444601e-15
24,0.8596491228070204,0.8596491228070204,5.2292849850002235e-30,1.3085038691958797e-15
25,0.8596491228070212,0.8596491228070212,6.0285459119209264e-30,1.975181455678919e-15
26,0.8596491228070222,0.8596491228070222,6.347191021219794e-30,2.871640631696195e-15
27,0.8596491228070214,0.8596491228070214,7.594712142696626e-30,2.4979196058414928e-15
28,0.8596491228070205,0.8596491228070205,6.881046764741783e-30,1.9638597628382458e-15
29,0.8596491228070183,0.8596491228070183,7.853248113267326e-30,2.0278906175377594e-15
30,0.8596491228070202,0.8596491228070202,9.727222147743699e-30,1.9468168496817472e-15
31,0.85964912280702,0.85964912280702,1.1058930481914557e-29,2.093067671990919e-15
32,0.85964912280702,0.85964912280702,1.2328262760011576e-29,1.910787204994772e-15
33,0.8596491228070194,0.8596491228070194,1.3289109209266366e-29,2.1807038958902593e-15
34,0.8596491228070196,0.8596491228070196,1.4823305002965238e-29,1.706992424640225e-15
35,0.8596491228070207,0.8596491228070207,1.8325030827850108e-29,1.3675680470429178e-15
36,0.8596491228070212,0.8596491228070212,2.237805409931583e-29,1.4055596389377757e-15
37,0.8596491228070244,0.8596491228070244,2.6096940562492514e-29,1.7665895745442952e-15
38,0.8596491228070229,0.8596491228070229,3.139936875566192e-29,1.3713255455343154e-15
39,0.8596491228070232,0.8596491228070232,3.7120187173656216e-29,1.0862818550494257e-15
40,0.8596491228070234,0.8596491228070234,4.123780733916291e-29,9.970639776992209e-16
41,0.8596491228070222,0.8596491228070222,4.3600020601264604e-29,1.1376150351479397e-15
42,0.8596491228070229,0.8596491228070229,4.8171937547996854e-29,1.4384317992083517e-15
43,0.8596491228070229,0.8596491228070229,5.466636591346506e-29,1.6091048967975665e-15
44,0.8596491228070251,0.8596491228070251,6.31574058522795e-29,1.826191011398213e-15
45,0.8596491228070265,0.8596491228070265,7.3097996963737e-29,1.3643352280665225e-15
46,0.8596491228070271,0.8596491228070271,8.611612782982807e-29,1.6378643478305232e-15
47,0.8596491228070262,0.8596491228070262,1.0060438120778069e-28,1.5753549404445446e-15
48,0.8596491228070253,0.8596491228070253,1.182323673954802e-28,1.943701110973698e-15
49,0.8596491228070278,0.8596491228070278,1.391107143291921e-28,2.110020852915471e-15
50,0.859649122807029,0.859649122807029,1.621993162073653e-28,1.4936136332201477e-15
51,0.8596491228070293,0.8596491228070293,1.893219468729277e-28,5.402685586901176e-16
52,0.85964912280703,0.85964912280703,2.263050499642611e-28,6.536070578540159e-16
53,0.8596491228070291,0.8596491228070291,2.5999649803939363e-28,6.619154168406467e-16
54,0.85964912280703,0.85964912280703,3.097615648373876e-28,6.361491378250527e-16
55,0.859649122807032,0.859649122807032,3.6306764643113196e-28,8.482480674580059e-16
56,0.859649122807032,0.859649122807032,4.300190861256057e-28,8.594582815126924e-16
57,0.8596491228070327,0.8596491228070327,5.0564393326903405e-28,9.801628513828164e-16
58,0.8596491228070323,0.8596491228070323,5.940864776427554e-28,8.915159645244215e-16
59,0.8596491228070315,0.8596491228070315,6.975198979709313e-28,7.593246332814409e-16
60,0.8596491228070329,0.8596491228070329,8.14911466983031e-28,4.922557436768023e-16
61,0.859649122807033,0.859649122807033,9.61931614481957e-28,6.684570839879819e-16
62,0.8596491228070336,0.8596491228070336,1.1313896643532203e-27,8.343609329481816e-16
63,0.8596491228070331,0.8596491228070331,1.3408873162858086e-27,5.40743431971284e-16
64,0.8596491228070331,0.8596491228070331,1.5890358784933209e-27,1.0183489539499538e-15
65,0.8596491228070324,0.8596491228070324,1.873515038727008e-27,5.125579322642472e-16
66,0.8596491228070311,0.8596491228070311,2.214940408519953e-27,7.823849987845919e-16
67,0.8596491228070333,0.8596491228070333,2.6128182448859403e-27,7.938134111942276e-16
68,0.859649122807034,0.859649122807034,3.0785452194629718e-27,3.497592006362297e-16
69,0.8596491228070332,0.8596491228070332,3.619373024985903e-27,2.0068655296287327e-16
70,0.8596491228070343,0.8596491228070343,4.26786229750607e-27,1.2064625333865507e-16
71,0.8596491228070335,0.8596491228070335,5.045183223093308e-27,3.887462008876779e-16
72,0.8596491228070335,0.8596491228070335,5.9482795074076814e-27,6.696172044634952e-16
73,0.8596491228070342,0.8596491228070342,7.030890181094435e-27,7.77186380583702e-16
74,0.8596491228070343,0.8596491228070343,8.300971694088068e-27,1.0800071144873137e-15
75,0.859649122807036,0.859649122807036,9.812955400700582e-27,1.532590313279365e-15
76,0.8596491228070348,0.8596491228070348,1.1602303412886792e-26,1.9565506972089187e-15
77,0.8596491228070348,0.8596491228070348,1.3730836083756232e-26,2.0582435621113655e-15
78,0.8596491228070343,0.8596491228070343,1.6217782475511588e-26,2.2348871835658067e-15
79,0.859649122807034,0.859649122807034,1.91975854262169e-26,2.2187713232507377e-15
80,0.8596491228070359,0.8596491228070359,2.2727631184265512e-26,2.0108223434853525e-15
81,0.8596491228070346,0.8596491228070346,2.6860851141580487e-26,1.7274343824518617e-15
82,0.8596491228070351,0.8596491228070351,3.180189471034891e-26,1.3952055364504745e-15
83,0.8596491228070351,0.8596491228070351,3.76946049758852e-26,1.971080086109385e-15
84,0.8596491228070338,0.8596491228070338,4.461582967260656e-26,2.5331426155006532e-15
85,0.8596491228070346,0.8596491228070346,5.289221116538707e-26,2.6177992039823653e-15
86,0.8596491228070348,0.8596491228070348,6.265271333743079e-26,2.3963666127395034e-15
87,0.859649122807036,0.859649122807036,7.43171477408338e-26,2.423800178490404e-15
88,0.8596491228070346,0.8596491228070346,8.811219701315374e-26,2.6492181652651752e-15
89,0.8596491228070362,0.8596491228070362,1.0443673869660407e-25,3.079814888650244e-15
90,0.8596491228070355,0.8596491228070355,1.2381127158461522e-25,2.3613464097036548e-15
91,0.8596491228070333,0.8596491228070333,1.4680666933498426e-25,2.405605030135398e-15
92,0.8596491228070342,0.8596491228070342,1.7413820465864937e-25,3.502892091823645e-15
