abs_delta_theta_over_pi,count
5.209041778308026e-14,8
2.6960909492377664e-06,8
6.220872432423032e-06,1
0.014995969741447067,2
0.01499949452270422,2
0.02683477059836917,2
0.032973262985205185,2
0.03297948385763761,2
0.03487978344549198,4
0.03488330822646317,4
0.03990696067058683,4
0.03990965676185942,4
0.04987927796856345,2
0.054744275641277894,2
0.054746971732636075,2
0.07478674411694787,1
0.0747929649893803,1
0.09465393240354619,2
0.10162151471531712,2
0.10162773558774954,2
0.10776622797458549,2
0.13460099857295466,4
0.20570302749047978,2
0.23170870816345632,4
0.23867629047573719,1
0.23868251134816962,1
0.2585434787623868,2
0.2604473031317577,4
0.26044999922311585,4
0.26658849160936376,4
0.2665920163903349,4
0.2815879861324349,2
0.2834540553993533,2
0.29342056611701495,2
0.2934232622082944,4
0.2934267869892653,4
0.2934294830808055,2
0.2984500251408005,4
0.2984535499220575,4
0.30035695989402605,4
0.3084227567313656,1
0.3134692554651174,1
0.32336101607055767,2
0.3233637121618303,2
0.3333302228792833,4
0.3333333333679166,4
0.3333364437517157,4
0.33835698581200485,4
0.33835968190327737,8
0.3383632066845345,4
0.3403040260634866,2
0.3663097067369723,4
0.3682100063252423,2
0.36821353110621324,4
0.3682162271976748,4
0.36821975197864565,2
0.3732402940391211,4
0.37324299013039364,4
0.3781079878035172,1
0.38320950084831323,1
0.38321572172074564,1
0.3931039575449641,2
0.3931074823262214,2
0.39504830170476446,4
0.3950509977961225,4
0.40118949018287986,4
0.4011930149638508,4
0.4081231878686637,2
0.41618898470595106,2
0.42798726577208035,2
0.43495795846703283,4
