step,norm2,ztz_re,ztz_im,abs_ztz,sum_a2,sum_b2,sum_ab,f,a_1_2,b_1_2,abs_1_2,phase_1_2,a_1_3,b_1_3,abs_1_3,phase_1_3,a_1_4,b_1_4,abs_1_4,phase_1_4,a_1_5,b_1_5,abs_1_5,phase_1_5,a_2_3,b_2_3,abs_2_3,phase_2_3,a_2_4,b_2_4,abs_2_4,phase_2_4,a_2_5,b_2_5,abs_2_5,phase_2_5,a_3_4,b_3_4,abs_3_4,phase_3_4,a_3_5,b_3_5,abs_3_5,phase_3_5,a_4_5,b_4_5,abs_4_5,phase_4_5
0,0.8596491228070173,-1.1102230246251565e-16,-4.701590202029226e-16,4.830894905938759e-16,0.42982456140350855,0.4298245614035087,-2.3245294578089215e-16,3.024496106542813e-32,-0.10930100701070551,-0.24431683684721864,0.2676516895156553,-1.9914643464782091,0.10930100701070519,0.2443168368472187,0.2676516895156552,1.1501283071115853,-0.26118568494361116,0.11684769150383917,0.28613169175965053,2.7209246339064803,-0.2611856849436113,0.11684769150383911,0.28613169175965064,2.7209246339064803,-0.3917785274154175,0.17527153725575825,0.4291975376394763,2.720924633906482,0.10930100701070522,0.24431683684721878,0.2676516895156553,1.1501283071115853,0.10930100701070494,0.244316836847219,0.2676516895156554,1.1501283071115866,-0.10930100701070522,-0.24431683684721878,0.2676516895156553,-1.991464346478208,-0.1093010070107055,-0.2443168368472187,0.2676516895156554,-1.991464346478209,-0.26118568494361133,0.11684769150383875,0.28613169175965053,2.7209246339064816
1,0.8596491228070186,3.3306690738754696e-16,-7.34358073830206e-16,8.063593153156445e-16,0.4298245614035094,0.42982456140350905,-3.694961003830599e-16,9.891222452138149e-31,-0.06813722676923217,-0.2588334314357074,0.26765168951565543,-1.8282037442762786,0.06813722676923223,0.2588334314357079,0.26765168951565593,1.313388909313515,-0.2767045773358461,0.07284175938725383,0.28613169175965075,2.8841852361084115,-0.27670457733584636,0.07284175938725404,0.28613169175965114,2.884185236108411,-0.4150568660037698,0.10926263908088082,0.4291975376394768,2.884185236108412,0.06813722676923177,0.25883343143570736,0.2676516895156553,1.313388909313516,0.06813722676923147,0.25883343143570753,0.2676516895156554,1.3133889093135174,-0.06813722676923177,-0.25883343143570736,0.2676516895156553,-1.8282037442762773,-0.06813722676923199,-0.2588334314357073,0.2676516895156553,-1.828203744276278,-0.27670457733584586,0.07284175938725351,0.2861316917596505,2.8841852361084124
2,0.8596491228070198,8.881784197001252e-16,-8.514503099692723e-16,1.2303773955855097e-15,0.42982456140351033,0.4298245614035094,-4.2413988987632933e-16,1.1592781558004253e-30,-0.025161345586040162,-0.26646638360004204,0.26765168951565554,-1.664943142074348,0.025161345586040187,0.2664663836000424,0.2676516895156559,1.4766495115154454,-0.28486454643543885,0.026898609878051222,0.2861316917596509,3.0474458383103418,-0.2848645464354395,0.026898609878051153,0.2861316917596516,3.047445838310342,-0.4272968196531592,0.04034791481707669,0.42919753763947727,3.047445838310342,0.025161345586039795,0.26646638360004193,0.26765168951565543,1.4766495115154465,0.025161345586039385,0.26646638360004204,0.2676516895156555,1.476649511515448,-0.025161345586039698,-0.26646638360004193,0.26765168951565543,-1.6649431420743463,-0.025161345586039895,-0.266466383600042,0.2676516895156555,-1.664943142074347,-0.28486454643543857,0.026898609878050803,0.2861316917596506,3.047445838310343
3,0.8596491228070196,3.885780586188048e-16,-7.738712160261286e-16,8.659500947708929e-16,0.42982456140351,0.42982456140350955,-3.86843335142828e-16,1.5979701142170277e-30,0.018483698405696972,-0.2670126959412833,0.2676516895156557,-1.5016825398724172,-0.018483698405696893,0.2670126959412837,0.2676516895156561,1.6399101137173757,-0.2854485788946075,-0.01975990476416498,0.2861316917596508,-3.072478866667314,-0.285448578894608,-0.01975990476416511,0.2861316917596513,-3.0724788666673137,-0.4281728683419121,-0.029639857146247506,0.4291975376394771,-3.072478866667314,-0.018483698405697215,0.26701269594128313,0.26765168951565554,1.639910113717377,-0.0184836984056977,0.267012695941283,0.2676516895156555,1.6399101137173788,0.01848369840569733,-0.267012695941283,0.2676516895156555,-1.5016825398724158,0.018483698405697163,-0.2670126959412832,0.2676516895156556,-1.5016825398724165,-0.2854485788946071,-0.0197599047641653,0.2861316917596505,-3.072478866667313
4,0.8596491228070193,-1.1102230246251565e-16,-1.0844121031258501e-15,1.0900805296169213e-15,0.4298245614035096,0.42982456140350966,-5.412337245047638e-16,1.3959729807309796e-30,0.06163717077241256,-0.26045783935170275,0.26765168951565566,-1.3384219376704867,-0.0616371707724127,0.26045783935170325,0.2676516895156562,1.8031707159193067,-0.2784411424438507,-0.06589290723441248,0.28613169175965053,-2.9092182644653835,-0.27844114244385126,-0.06589290723441266,0.2861316917596511,-2.9092182644653835,-0.41766171366577715,-0.0988393608516189,0.4291975376394769,-2.909218264465384,-0.061637170772412805,0.2604578393517027,0.26765168951565566,1.8031707159193073,-0.0616371707724133,0.2604578393517025,0.2676516895156556,1.8031707159193093,0.06163717077241292,-0.2604578393517025,0.26765168951565554,-1.3384219376704853,0.061637170772412805,-0.2604578393517028,0.26765168951565577,-1.338421937670486,-0.2784411424438505,-0.06589290723441282,0.28613169175965036,-2.909218264465382
5,0.8596491228070196,-1.1102230246251565e-16,-1.0722629960371983e-15,1.0779953081135127e-15,0.4298245614035098,0.4298245614035098,-5.30825383648903e-16,1.7896055480788094e-30,0.10315141036583322,-0.24697613941456864,0.2676516895156557,-1.1751613354685562,-0.10315141036583335,0.2469761394145692,0.26765168951565627,1.9664313181212367,-0.2640285989706941,-0.11027349615756275,0.2861316917596504,-2.7459576622634523,-0.2640285989706947,-0.11027349615756282,0.28613169175965103,-2.7459576622634527,-0.3960428984560424,-0.16541024423634412,0.4291975376394768,-2.7459576622634536,-0.10315141036583342,0.2469761394145686,0.26765168951565577,1.9664313181212378,-0.10315141036583385,0.24697613941456834,0.26765168951565566,1.9664313181212396,0.10315141036583363,-0.2469761394145684,0.26765168951565566,-1.1751613354685544,0.10315141036583352,-0.24697613941456867,0.2676516895156559,-1.1751613354685553,-0.26402859897069414,-0.11027349615756306,0.2861316917596506,-2.7459576622634514
6,0.8596491228070201,1.1102230246251565e-16,-1.0517864336976604e-15,1.0576297337700568e-15,0.4298245614035101,0.42982456140351,-5.238864897449957e-16,3.4403083120052804e-30,0.14192235122629246,-0.2269261402372713,0.2676516895156555,-1.0119007332666259,-0.14192235122629282,0.22692614023727253,0.2676516895156567,2.129691920323166,-0.24259424824882397,-0.15172137537548114,0.2861316917596506,-2.5826970600615207,-0.2425942482488246,-0.15172137537548092,0.286131691759651,-2.5826970600615224,-0.36389137237323743,-0.2275820630632213,0.4291975376394769,-2.5826970600615233,-0.1419223512262928,0.22692614023727145,0.26765168951565577,2.129691920323168,-0.1419223512262933,0.22692614023727123,0.2676516895156559,2.1296919203231703,0.141922351226293,-0.22692614023727128,0.2676516895156557,-1.011900733266624,0.14192235122629304,-0.22692614023727156,0.267651689515656,-1.0119007332666246,-0.24259424824882417,-0.1517213753754812,0.28613169175965075,-2.582697060061521
7,0.8596491228070209,-1.1102230246251565e-16,-1.7108211134571958e-15,1.714419678461198e-15,0.4298245614035104,0.4298245614035105,-8.569533971325427e-16,4.9431468218341e-30,0.17691888507751036,-0.2008410690160648,0.2676516895156558,-0.8486401310646953,-0.17691888507751075,0.20084106901606624,0.26765168951565715,2.2929525225250953,-0.2147081341290088,-0.18913424377430776,0.2861316917596506,-2.4194364578595895,-0.21470813412900944,-0.1891342437743076,0.286131691759651,-2.4194364578595913,-0.3220622011935148,-0.28370136566146115,0.4291975376394768,-2.419436457859593,-0.17691888507751063,0.20084106901606474,0.26765168951565593,2.292952522525099,-0.17691888507751105,0.20084106901606447,0.26765168951565604,2.2929525225251006,0.17691888507751075,-0.20084106901606458,0.2676516895156559,-0.8486401310646937,0.1769188850775108,-0.2008410690160649,0.2676516895156562,-0.8486401310646943,-0.2147081341290091,-0.1891342437743078,0.28613169175965086,-2.4194364578595904
8,0.859649122807019,1.1102230246251565e-16,-1.990714107015578e-15,1.9938075653169008e-15,0.42982456140350955,0.42982456140350944,-9.853229343548264e-16,5.848255286310625e-30,0.20721028352099335,-0.16941465492611474,0.26765168951565577,-0.6853795288627649,-0.20721028352099347,0.16941465492611607,0.2676516895156567,2.4562131247270247,-0.1811118842948718,-0.22151711084338505,0.28613169175965036,-2.2561758556576583,-0.18111188429487252,-0.22151711084338482,0.28613169175965064,-2.2561758556576605,-0.27166782644230947,-0.33227566626507676,0.42919753763947605,-2.2561758556576623,-0.20721028352099347,0.16941465492611446,0.26765168951565566,2.4562131247270296,-0.2072102835209939,0.16941465492611424,0.2676516895156559,2.456213124727031,0.2072102835209936,-0.16941465492611427,0.26765168951565566,-0.6853795288627629,0.20721028352099363,-0.16941465492611474,0.26765168951565593,-0.6853795288627642,-0.18111188429487227,-0.2215171108433851,0.2861316917596507,-2.256175855657659
9,0.8596491228070183,0.0,-2.1656951964858414e-15,2.1656951964858414e-15,0.4298245614035091,0.42982456140350916,-1.078998002057574e-15,7.236386980839463e-30,0.23199095064026404,-0.13348267948168988,0.2676516895156557,-0.5221189266608345,-0.2319909506402641,0.13348267948169132,0.2676516895156565,2.619473726928954,-0.1426989867682966,-0.2480087583222437,0.28613169175965036,-2.0929152534557263,-0.1426989867682976,-0.24800875832224342,0.28613169175965064,-2.09291525345573,-0.2140484801524469,-0.37201313748336456,0.4291975376394757,-2.0929152534557316,-0.23199095064026395,0.13348267948168957,0.2676516895156555,2.6194737269289594,-0.2319909506402644,0.1334826794816892,0.2676516895156557,2.6194737269289616,0.23199095064026404,-0.13348267948168943,0.2676516895156555,-0.522118926660833,0.23199095064026418,-0.13348267948168988,0.2676516895156559,-0.5221189266608341,-0.14269898676829723,-0.24800875832224378,0.28613169175965075,-2.092915253455728
