step,H_total,H_parallel,H_perp,A_perp,abs_ZtZ,sum_a2,sum_b2,sum_ab,r2_min,r2_max,simplex_rank
0,2.6926226706837997,2.6926226706838,0.0,0.0,3.537214094951572e-14,1.3463113353419143,1.3463113353418852,-9.891393260019754e-15,0.040797313190922384,0.04079731319346694,11
1,2.692622670683794,2.692622670683795,0.0,0.0,3.4386783636672494e-14,1.3463113353419112,1.3463113353418827,-9.835882108788496e-15,0.040797313190922696,0.04079731319346344,11
2,2.692622670683806,2.6926226706838055,4.440892098500626e-16,2.1073424255447017e-08,3.662117146567936e-14,1.3463113353419183,1.3463113353418876,-1.004057947895376e-14,0.04079731319092321,0.04079731319346039,11
3,2.692622670683811,2.6926226706838117,0.0,0.0,3.5125715993889236e-14,1.3463113353419198,1.346311335341891,-1.0009354456386177e-14,0.040797313190923445,0.040797313193457294,11
4,2.692622670683805,2.6926226706838063,0.0,0.0,3.546702213814717e-14,1.3463113353419172,1.3463113353418876,-9.998946115530316e-15,0.040797313190923515,0.04079731319345415,11
5,2.6926226706838015,2.692622670683802,0.0,0.0,3.4764633768502936e-14,1.3463113353419152,1.3463113353418865,-1.001282390333813e-14,0.040797313190923466,0.040797313193451146,11
6,2.6926226706837944,2.6926226706837944,0.0,0.0,3.442693928230699e-14,1.3463113353419107,1.3463113353418832,-1.0023232244193991e-14,0.04079731319092327,0.040797313193448294,11
7,2.6926226706837912,2.6926226706837917,0.0,0.0,3.581781651093127e-14,1.3463113353419105,1.3463113353418807,-9.992007221626409e-15,0.0407973131909231,0.04079731319344558,11
8,2.6926226706837895,2.6926226706837904,0.0,0.0,3.5125439537640626e-14,1.3463113353419092,1.3463113353418803,-1.0005885009434223e-14,0.04079731319092276,0.04079731319344298,11
9,2.6926226706837872,2.6926226706837877,0.0,0.0,3.4443409921853067e-14,1.3463113353419076,1.3463113353418799,-1.005098781980962e-14,0.040797313190922294,0.040797313193440495,11
10,2.6926226706837797,2.6926226706837806,0.0,0.0,3.1267476826924323e-14,1.3463113353419016,1.3463113353418783,-1.0522832605275312e-14,0.040797313190921614,0.04079731319343804,11
11,2.6926226706837753,2.692622670683776,0.0,0.0,3.1386286644218126e-14,1.3463113353418994,1.346311335341876,-1.0505485370515544e-14,0.040797313190920975,0.040797313193435755,11
12,2.692622670683776,2.6926226706837766,0.0,0.0,3.0277807623125604e-14,1.3463113353418985,1.3463113353418776,-1.0869777300470673e-14,0.04079731319092028,0.040797313193433715,11
13,2.692622670683768,2.692622670683769,0.0,0.0,3.094748936897574e-14,1.346311335341895,1.346311335341873,-1.0786510573623787e-14,0.0407973131909194,0.040797313193431654,11
14,2.6926226706837575,2.6926226706837575,0.0,0.0,3.074619950413047e-14,1.3463113353418898,1.3463113353418674,-1.0633854907737827e-14,0.04079731319091848,0.040797313193429705,11
15,2.6926226706837584,2.6926226706837584,0.0,0.0,2.9488778712258834e-14,1.3463113353418885,1.3463113353418699,-1.1393663790215669e-14,0.04079731319091748,0.04079731319342799,11
16,2.692622670683754,2.6926226706837544,0.0,0.0,2.9197146935844385e-14,1.3463113353418854,1.3463113353418683,-1.1757955720170798e-14,0.04079731319091634,0.040797313193426304,11
17,2.692622670683754,2.6926226706837544,0.0,0.0,2.956613677334078e-14,1.3463113353418865,1.3463113353418674,-1.128958038165706e-14,0.04079731319091532,0.04079731319342486,11
18,2.6926226706837553,2.692622670683755,4.440892098500626e-16,2.1073424255447017e-08,2.9473769497001924e-14,1.3463113353418867,1.3463113353418685,-1.1626116735996561e-14,0.040797313190914154,0.04079731319342358,11
19,2.692622670683755,2.692622670683755,0.0,0.0,3.015439725100551e-14,1.3463113353418874,1.3463113353418672,-1.1171619185290638e-14,0.040797313190912905,0.040797313193422356,11
20,2.692622670683752,2.692622670683752,0.0,0.0,2.9706745866586284e-14,1.3463113353418854,1.3463113353418668,-1.1560197243909442e-14,0.04079731319091146,0.04079731319342118,11
21,2.692622670683747,2.6926226706837477,0.0,0.0,2.9690601584672865e-14,1.3463113353418832,1.3463113353418643,-1.1463052729254741e-14,0.040797313190909894,0.040797313193420025,11
22,2.692622670683745,2.692622670683746,0.0,0.0,2.9624598147186554e-14,1.3463113353418805,1.3463113353418648,-1.2580214647783805e-14,0.04079731319090818,0.040797313193419046,11
23,2.692622670683737,2.692622670683739,0.0,0.0,3.031188649927945e-14,1.3463113353418745,1.3463113353418628,-1.383268499743906e-14,0.04079731319090635,0.04079731319341808,11
24,2.6926226706837326,2.6926226706837326,0.0,0.0,3.0740517720803425e-14,1.3463113353418716,1.3463113353418605,-1.4363510381087963e-14,0.04079731319090456,0.04079731319341736,11
25,2.6926226706837255,2.692622670683726,0.0,0.0,3.140045047837204e-14,1.3463113353418672,1.3463113353418583,-1.5144135945277526e-14,0.040797313190902657,0.04079731319341664,11
26,2.692622670683721,2.692622670683721,0.0,0.0,3.086892005978603e-14,1.3463113353418659,1.3463113353418554,-1.45924938799169e-14,0.04079731319090073,0.04079731319341616,11
27,2.692622670683719,2.6926226706837197,0.0,0.0,3.2155964582020017e-14,1.3463113353418639,1.346311335341855,-1.546332506485726e-14,0.040797313190898715,0.040797313193415806,11
28,2.6926226706837175,2.6926226706837184,0.0,0.0,3.2503285175070357e-14,1.346311335341863,1.3463113353418548,-1.5730472480157687e-14,0.04079731319089665,0.04079731319341555,11
29,2.6926226706837175,2.6926226706837175,0.0,0.0,3.4378319962156443e-14,1.346311335341862,1.346311335341855,-1.674008154317619e-14,0.04079731319089455,0.04079731319341551,11
30,2.6926226706837078,2.692622670683708,0.0,0.0,3.322943294286831e-14,1.346311335341858,1.34631133534185,-1.609823385706477e-14,0.04079731319089227,0.04079731319341539,11
31,2.6926226706836998,2.6926226706836998,0.0,0.0,3.253564040578606e-14,1.3463113353418539,1.3463113353418459,-1.578251418443699e-14,0.040797313190889896,0.040797313193415376,11
