step,takagi_r1,takagi_r2,takagi_r3,takagi_r4,takagi_r5,takagi_r6,takagi_r7,takagi_r8,takagi_r9,takagi_r10,takagi_r11,takagi_r12,takagi_r13,takagi_r14
0,0.3406895327541357,0.3149622887235993,0.29930014217405276,0.27873081015296886,0.26097537371748825,0.24911730752466577,0.24383173680282935,0.22658321967299866,0.2079776872882173,0.1905846615395318,0.1349092185509067,0.12642194078524116,0.07392140176226718,2.048866725334479e-09
1,0.3406895327541357,0.3149622887235991,0.29930014217405326,0.27873081015296886,0.2609753737174885,0.24911730752466546,0.24383173680282966,0.2265832196729998,0.20797768728821778,0.19058466153953038,0.1349092185509049,0.12642194078524113,0.07392140176226838,9.44009825958105e-10
2,0.3406895327541356,0.31496228872359916,0.2993001421740537,0.27873081015296886,0.26097537371748897,0.24911730752466515,0.24383173680283018,0.22658321967300096,0.20797768728821828,0.19058466153952894,0.13490921855090315,0.12642194078524094,0.07392140176226983,3.813603372439856e-09
3,0.3406895327541355,0.31496228872359894,0.29930014217405415,0.2787308101529686,0.2609753737174892,0.24911730752466477,0.24383173680283043,0.226583219673002,0.20797768728821853,0.1905846615395274,0.13490921855090127,0.12642194078524094,0.07392140176227073,3.1072931481477773e-09
4,0.34068953275413566,0.31496228872359905,0.2993001421740547,0.27873081015296874,0.2609753737174897,0.24911730752466466,0.24383173680283096,0.22658321967300324,0.2079776872882191,0.19058466153952594,0.13490921855089952,0.12642194078524097,0.073921401762272,1.937075215891414e-09
5,0.340689532754135,0.3149622887235985,0.29930014217405465,0.27873081015296824,0.26097537371748947,0.24911730752466393,0.24383173680283096,0.22658321967300393,0.2079776872882191,0.1905846615395241,0.13490921855089733,0.12642194078524058,0.0739214017622732,1.95369952992916e-09
6,0.34068953275413455,0.31496228872359827,0.2993001421740548,0.27873081015296797,0.2609753737174895,0.24911730752466343,0.2438317368028312,0.2265832196730048,0.20797768728821941,0.19058466153952236,0.13490921855089547,0.12642194078524013,0.07392140176227434,1.5698678576418901e-09
7,0.3406895327541334,0.31496228872359733,0.2993001421740543,0.278730810152967,0.2609753737174892,0.2491173075246623,0.2438317368028309,0.2265832196730051,0.2079776872882192,0.19058466153952006,0.1349092185508931,0.1264219407852394,0.07392140176227512,2.1719727872863725e-09
8,0.3406895327541324,0.3149622887235965,0.2993001421740541,0.27873081015296625,0.2609753737174888,0.24911730752466135,0.2438317368028307,0.22658321967300546,0.20797768728821908,0.19058466153951795,0.1349092185508908,0.126421940785239,0.07392140176227538,3.904390566931472e-09
9,0.3406895327541318,0.31496228872359616,0.299300142174054,0.27873081015296575,0.2609753737174887,0.24911730752466066,0.24383173680283074,0.22658321967300604,0.20797768728821917,0.19058466153951606,0.13490921855088867,0.12642194078523836,0.0739214017622762,2.1165816644636867e-09
