N,M,k,best_residual_found,best_edges,method,globally_certified_for_this_k,below_1e-6
14,91,2,0.0001558292115548,"3-8,7-10",EXACT exhaustive,True,False
14,91,3,0.0072254998963979,"1-14,4-12,8-12",EXACT exhaustive,True,False
14,91,4,8.933908778041776e-06,"1-3,4-9,5-10,5-12",EXACT exhaustive,True,False
14,91,5,0.00014769981544546646,"1-4,1-10,5-10,7-11,10-12",MITM nearest-neighbor,False,False
14,91,6,9.249993443238053e-07,"1-7,2-14,4-10,5-9,5-14,10-13",MITM nearest-neighbor,False,True
14,91,7,6.364416669350472e-05,"2-4,2-9,4-8,8-13,9-11,10-13,11-13",multistart simulated annealing + 1-swap descent,False,False
14,91,8,3.962044229751313e-06,"1-7,1-13,3-7,3-8,4-5,4-10,7-10,12-13",multistart simulated annealing + 1-swap descent,False,False
14,91,9,1.017310174863984e-05,"1-4,1-10,2-5,5-9,6-10,7-13,7-14,10-12,13-14",multistart simulated annealing + 1-swap descent,False,False
14,91,10,9.35590029094204e-06,"1-3,2-4,2-5,2-7,3-6,4-6,7-10,8-14,10-12,11-13",multistart simulated annealing + 1-swap descent,False,False
14,91,11,8.565714276172528e-06,"1-2,1-4,1-8,1-11,4-5,6-11,8-12,8-13,10-12,10-13,12-13",multistart simulated annealing + 1-swap descent,False,False
14,91,12,1.1506752169259087e-05,"1-5,1-8,1-14,2-5,2-8,4-13,5-6,5-9,5-12,6-8,10-12,12-14",multistart simulated annealing + 1-swap descent,False,False
15,105,2,2.5436547325802307e-05,"5-10,6-11",EXACT exhaustive,True,False
15,105,3,0.0027569698164119,"1-15,2-5,2-9",EXACT exhaustive,True,False
15,105,4,2.8932314734446184e-05,"5-10,6-11,6-13,7-14",EXACT exhaustive,True,False
15,105,5,2.9040796314158083e-05,"3-8,3-15,4-8,12-15,13-14",MITM nearest-neighbor,False,False
15,105,6,4.762522725116778e-06,"1-10,3-11,3-14,4-8,6-9,9-14",MITM nearest-neighbor,False,False
15,105,7,4.653374612728525e-05,"2-3,3-12,4-10,4-11,7-9,10-15,11-13",multistart simulated annealing + 1-swap descent,False,False
15,105,8,1.9866701896783373e-05,"1-9,3-12,4-10,4-11,5-15,8-13,9-12,11-13",multistart simulated annealing + 1-swap descent,False,False
15,105,9,2.174367506495325e-05,"1-5,3-7,3-10,6-13,7-11,7-13,7-14,13-15,14-15",multistart simulated annealing + 1-swap descent,False,False
15,105,10,1.3612286196924515e-05,"1-15,2-13,4-5,4-6,4-8,6-7,7-12,7-14,9-15,10-13",multistart simulated annealing + 1-swap descent,False,False
15,105,11,1.267553006679695e-05,"1-8,2-7,5-6,5-11,5-14,6-7,8-10,9-10,9-13,9-15,14-15",multistart simulated annealing + 1-swap descent,False,False
15,105,12,2.3221349937801647e-06,"1-9,2-7,2-15,3-10,3-11,4-10,4-12,5-8,5-12,6-9,7-14,8-13",multistart simulated annealing + 1-swap descent,False,False
15,105,13,2.0387648164727894e-05,"1-6,3-5,3-12,5-10,6-7,6-14,7-11,8-13,8-14,9-14,11-14,13-14,14-15",multistart simulated annealing + 1-swap descent,False,False
16,120,2,0.000132485729741,"4-15,5-11",EXACT exhaustive,True,False
16,120,3,0.0080694734078096,"2-6,6-13,6-15",EXACT exhaustive,True,False
16,120,4,6.493034171539357e-05,"3-15,7-9,8-11,10-13",EXACT exhaustive,True,False
16,120,5,6.570761368426255e-05,"3-9,3-16,6-16,7-14,15-16",MITM nearest-neighbor,False,False
16,120,6,3.0962689308957035e-06,"3-10,5-8,8-12,8-16,10-14,10-15",MITM nearest-neighbor,False,False
16,120,7,4.267112502667738e-05,"1-6,1-10,3-7,5-6,7-13,9-10,14-15",multistart simulated annealing + 1-swap descent,False,False
16,120,8,1.2158687716458448e-05,"3-10,3-14,4-9,4-15,5-9,6-14,8-12,10-12",multistart simulated annealing + 1-swap descent,False,False
16,120,9,2.277513531927746e-05,"1-6,2-6,3-15,4-12,4-16,5-7,5-14,7-14,9-15",multistart simulated annealing + 1-swap descent,False,False
16,120,10,1.6382754203308144e-05,"1-2,1-3,1-8,1-9,1-11,5-7,8-16,9-10,11-14,12-14",multistart simulated annealing + 1-swap descent,False,False
16,120,11,1.9973632437571585e-05,"1-7,1-10,2-4,3-15,4-11,6-12,6-15,9-14,11-15,12-14,14-16",multistart simulated annealing + 1-swap descent,False,False
16,120,12,8.837861369979016e-06,"1-3,1-10,2-4,2-6,3-9,6-7,6-11,7-16,10-12,10-16,11-13,12-15",multistart simulated annealing + 1-swap descent,False,False
16,120,13,1.1587755902743183e-05,"1-2,1-6,1-11,2-9,3-9,3-13,4-8,6-13,7-13,8-13,8-14,12-14,13-16",multistart simulated annealing + 1-swap descent,False,False
16,120,14,1.408102211407696e-06,"1-3,1-4,1-8,1-12,2-10,3-13,4-10,4-12,5-13,6-14,6-16,7-10,10-12,12-14",multistart simulated annealing + 1-swap descent,False,False
