N,M,k,best_residual,edges
15,105,2,0.00024903564798674081,"3-12;7-11"
15,105,3,0.0026649381245237836,"1-12;7-8;7-13"
15,105,4,1.7260455893108828e-05,"1-3;3-12;4-11;7-11"
15,105,5,5.4373116615762683e-05,"1-10;2-12;3-15;5-13;6-10"
15,105,6,3.9713836181376064e-05,"1-8;3-8;3-15;5-6;5-7;10-14"
15,105,7,1.8878203499012347e-05,"1-13;1-14;1-15;2-14;3-15;4-13;10-12"
15,105,8,6.2604733482172571e-06,"1-4;1-5;1-9;2-8;3-4;6-13;8-10;9-13"
15,105,9,7.8619294329205784e-06,"2-6;2-15;3-5;3-7;3-8;3-9;3-15;6-14;8-11"
15,105,10,1.5217766731439668e-05,"1-2;1-6;2-6;2-10;4-14;5-6;6-7;10-13;11-14;13-15"
15,105,11,1.6717738639993176e-06,"2-7;2-14;3-7;3-9;3-11;4-7;5-9;5-12;5-15;10-14;11-13"
15,105,12,4.1228368202901713e-06,"1-12;1-14;2-11;3-9;3-15;4-10;4-12;7-14;9-12;11-12;11-14;14-15"
15,105,13,1.0519767331742936e-05,"1-7;1-9;1-15;2-8;4-7;4-14;5-10;5-14;6-7;6-8;7-11;8-14;9-14"
