step,H_total,H_parallel,H_perp,A_perp,f,abs_ztz,full_simplex_rank,perp_simplex_rank,R_full_takagi,R_parallel_takagi,R_perp_takagi,R_cross_takagi,r1_full,r1_parallel,r1_perp,r1_cross,Bcross_fro
0,3.6350618310696317,3.635061831069631,6.062353505608767e-32,2.462184701765643e-16,1.6677442605769637e-32,1.1039080183654704e-14,15,0,0.8827639750652878,0.8827639750652877,1.19833695152412e-16,1.44504872858545e-08,0.3234057875667666,0.3234057875667665,4.836772614953649e-17,5.377685422207562e-09,6.237974594941277e-17
1,3.6350618310696383,3.635061831069639,1.3364885501626972e-24,1.1560659800213382e-12,3.6766597441051715e-25,7.705672141379406e-15,15,0,0.8827639750652873,0.8827639750652886,6.012903563140257e-13,8.588470436562313e-07,0.32340578756676763,0.32340578756676686,2.6042225382369186e-13,3.4057418623995075e-07,2.351085985896232e-13
2,3.635061831069643,3.6350618310696436,5.347388338937294e-24,2.3124420725582066e-12,1.4710584269109355e-24,7.24335444010557e-15,15,0,0.8827639750652867,0.8827639750652893,1.2030436058072556e-12,1.2148839505980281e-06,0.3234057875667687,0.32340578756676713,5.209260698867818e-13,4.817795994331326e-07,4.70360794228935e-13
3,3.635061831069648,3.6350618310696485,1.203418596965038e-23,3.4690324255691786e-12,3.310586319823126e-24,6.745636349396323e-15,15,0,0.8827639750652863,0.8827639750652898,1.805195388682216e-12,1.4882033427393493e-06,0.32340578756676985,0.3234057875667673,7.814492693488282e-13,5.901625424372153e-07,7.056958562203788e-13
4,3.6350618310696436,3.6350618310696445,2.1403554508161764e-23,4.6263975735081135e-12,5.8880854034506505e-24,8.645430200977442e-15,15,0,0.8827639750652847,0.8827639750652893,2.407978176376644e-12,1.7188228112280499e-06,0.3234057875667705,0.3234057875667672,1.042138094287292e-12,6.816196128616541e-07,9.412356568142792e-13
5,3.6350618310696463,3.6350618310696463,3.3457446995140213e-23,5.7842412635660536e-12,9.204092956321211e-24,8.783444752047108e-15,15,0,0.8827639750652843,0.8827639750652896,3.011223993671561e-12,1.9221751636685167e-06,0.3234057875667715,0.3234057875667672,1.3028648488634406e-12,7.622475557136462e-07,1.1769471541835654e-12
6,3.6350618310696374,3.635061831069637,4.819865804448627e-23,6.9425253362509436e-12,1.3259377772483047e-23,1.0204553570346868e-14,15,0,0.8827639750652826,0.8827639750652885,3.614899953721012e-12,2.1061653771689267e-06,0.3234057875667722,0.3234057875667668,1.5636929615640494e-12,8.351999252181325e-07,1.4128343286312985e-12
7,3.6350618310696325,3.6350618310696325,6.563204774720579e-23,8.10136085773284e-12,1.8055276855605307e-23,1.447500668939482e-14,15,0,0.8827639750652814,0.8827639750652879,4.218987128026366e-12,2.2755087115308034e-06,0.3234057875667729,0.3234057875667665,1.8246002036232092e-12,9.023657833018164e-07,1.6489426593784324e-12
8,3.6350618310696348,3.6350618310696357,8.575866850345196e-23,9.260597632088977e-12,2.3592079719374966e-23,1.1094395205093649e-14,15,0,0.8827639750652815,0.8827639750652883,4.8234318601063954e-12,2.433219815091082e-06,0.32340578756677407,0.3234057875667667,2.0855578676731946e-12,9.648889303567537e-07,1.8851668908609325e-12
9,3.635061831069625,3.635061831069625,1.08587172360836e-22,1.0420516895089034e-11,2.987216652897593e-23,1.2415123965771349e-14,15,0,0.8827639750652798,0.8827639750652869,5.428328890021804e-12,2.5815126528229924e-06,0.32340578756677457,0.3234057875667662,2.34665121629576e-12,1.0237093744513772e-06,2.1216709517123377e-12
10,3.635061831069618,3.635061831069618,1.3411235042522283e-22,1.158068868527355e-11,3.6894104325526766e-23,1.2156942119645464e-14,15,0,0.8827639750652789,0.8827639750652861,6.0334285653281705e-12,2.7218966450416615e-06,0.32340578756677535,0.32340578756676597,2.6077194050105995e-12,1.0793668789415126e-06,2.3583482389925377e-12
11,3.6350618310695957,3.6350618310695966,1.62352092613842e-22,1.2741746058285811e-11,4.466281459814147e-23,9.607850186147388e-15,15,0,0.8827639750652763,0.8827639750652835,6.639044590636593e-12,2.8555409754904538e-06,0.3234057875667755,0.32340578756676497,2.868948366906375e-12,1.1323600473053177e-06,2.5952762927758328e-12
12,3.6350618310695832,3.635061831069584,1.933006241767119e-22,1.3903259480305757e-11,5.317670872185273e-23,1.5156939667336593e-14,15,0,0.882763975065275,0.8827639750652819,7.24495090141145e-12,2.9833591764784947e-06,0.3234057875667761,0.32340578756676436,3.1302786392326666e-12,1.1830502832097483e-06,2.832436247367587e-12
13,3.635061831069584,3.6350618310695855,2.269729368333968e-22,1.506562102382098e-11,6.243991089598936e-23,1.2242222690848501e-14,15,0,0.8827639750652754,0.8827639750652821,7.851232849529491e-12,3.1061136125474353e-06,0.3234057875667773,0.32340578756676447,3.3917449025664998e-12,1.2317417198604688e-06,3.069912993924254e-12
14,3.6350618310695797,3.635061831069581,2.6336040307789432e-22,1.6228382639003012e-11,7.245004770672724e-23,7.857573554041095e-15,15,0,0.8827639750652754,0.8827639750652817,8.457732216641032e-12,3.2243314529658144e-06,0.3234057875667783,0.3234057875667643,3.653266033331346e-12,1.27862281999902e-06,3.3075880434477963e-12
15,3.6350618310695735,3.6350618310695735,3.0246830662853145e-22,1.7391615986691158e-11,8.320857269696944e-23,6.197640422843119e-15,15,0,0.8827639750652752,0.8827639750652808,9.064450826325593e-12,3.338511524231009e-06,0.3234057875667793,0.32340578756676397,3.914859871622476e-12,1.3239124765442996e-06,3.5454962517441318e-12
16,3.6350618310695735,3.6350618310695744,3.443105712206266e-22,1.8555607541135013e-11,9.471931626519742e-23,9.712292733975615e-15,15,0,0.8827639750652758,0.8827639750652808,9.671437702593368e-12,3.449080586027007e-06,0.3234057875667806,0.32340578756676397,4.176560695209816e-12,1.3677745158101068e-06,3.7837344201961084e-12
17,3.6350618310695664,3.635061831069567,3.8889134783589873e-22,1.972032828925266e-11,1.0698342034019071e-22,5.646575809955915e-15,15,0,0.8827639750652758,0.8827639750652798,1.0278726978741861e-11,3.556366520169805e-06,0.3234057875667815,0.3234057875667637,4.438357856105212e-12,1.4103363250558292e-06,4.0222636250592435e-12
18,3.6350618310695646,3.635061831069565,4.362192549392925e-22,2.088586256153412e-11,1.2000325584859205e-22,5.905259628440611e-15,15,0,0.8827639750652765,0.8827639750652797,1.0886329636457493e-11,3.6606835569825595e-06,0.3234057875667828,0.3234057875667637,4.700285330074976e-12,1.4517194370740255e-06,4.261140954374948e-12
19,3.6350618310695664,3.6350618310695655,4.862942774970489e-22,2.2052081024181116e-11,1.3377881865463718e-22,4.441547992379128e-15,15,0,0.8827639750652778,0.8827639750652798,1.1494135358873512e-11,3.7622776730730873e-06,0.3234057875667842,0.32340578756676364,4.962335070863627e-12,1.492018257630392e-06,4.500341329532878e-12
20,3.6350618310695566,3.6350618310695575,5.39106735434937e-22,2.321867212902015e-11,1.4830744578457798e-22,8.848588945763976e-15,15,0,0.882763975065278,0.8827639750652787,1.2102004205573633e-11,3.861321845082406e-06,0.3234057875667851,0.3234057875667632,5.224451108342343e-12,1.5313144880758055e-06,4.73978212963971e-12
21,3.6350618310695575,3.635061831069558,5.946824712593187e-22,2.438611226209128e-11,1.635962464727438e-22,8.267668063862628e-15,15,0,0.8827639750652796,0.8827639750652788,1.2710184635463649e-11,3.958043331608738e-06,0.3234057875667866,0.32340578756676325,5.48663952541352e-12,1.5696796656139115e-06,4.979537855087687e-12
