step,residual
0,1.6931429411128347e-06
1,1.6931429251964652e-06
2,1.6931429101454364e-06
3,1.6931428946278413e-06
4,1.6931428800092348e-06
5,1.6931428654953937e-06
6,1.6931428517138508e-06
7,1.6931428400737597e-06
8,1.6931428271367035e-06
9,1.6931428146745893e-06
10,1.693142802727793e-06
11,1.6931427912997358e-06
12,1.6931427802993155e-06
13,1.6931427687018672e-06
14,1.6931427583973902e-06
15,1.6931427482713684e-06
16,1.6931427383511985e-06
17,1.6931427277849194e-06
18,1.693142718669068e-06
19,1.6931427101292478e-06
20,1.693142701574054e-06
21,1.6931426923489e-06
22,1.6931426836304617e-06
23,1.6931426762326454e-06
24,1.6931426687570267e-06
25,1.6931426611415572e-06
26,1.6931426545071981e-06
27,1.6931426489437466e-06
28,1.6931426427167093e-06
29,1.6931426356423268e-06
30,1.6931426292352417e-06
31,1.693142622892321e-06
32,1.6931426165213794e-06
33,1.6931426116980496e-06
34,1.6931426059731494e-06
35,1.6931426005417196e-06
36,1.6931425959962573e-06
37,1.6931425924288442e-06
38,1.6931425873787475e-06
39,1.6931425833170143e-06
40,1.693142579862535e-06
41,1.693142575909899e-06
42,1.6931425723429975e-06
43,1.6931425699472646e-06
44,1.693142567687115e-06
45,1.6931425648384537e-06
46,1.6931425617090814e-06
47,1.693142557930077e-06
48,1.693142555117262e-06
49,1.693142552007031e-06
50,1.693142549400977e-06
51,1.6931425469198442e-06
52,1.6931425446993565e-06
53,1.693142541950381e-06
54,1.6931425392080294e-06
55,1.6931425360265389e-06
56,1.6931425333870716e-06
57,1.693142530543707e-06
58,1.6931425283141762e-06
59,1.6931425252181833e-06
60,1.693142520994245e-06
61,1.6931425179500522e-06
62,1.6931425136959037e-06
63,1.6931425106842393e-06
64,1.6931425077509083e-06
65,1.693142504429308e-06
66,1.693142500606891e-06
67,1.6931424982042077e-06
68,1.6931424953700757e-06
69,1.6931424918810094e-06
70,1.6931424878522636e-06
71,1.693142484347013e-06
72,1.693142481581202e-06
73,1.6931424768470707e-06
74,1.6931424727356365e-06
75,1.6931424689911463e-06
76,1.6931424643837333e-06
77,1.6931424591452703e-06
78,1.6931424540927152e-06
79,1.6931424501278077e-06
80,1.6931424449020678e-06
81,1.6931424400105008e-06
82,1.693142435683862e-06
83,1.6931424308962956e-06
84,1.6931424260818737e-06
85,1.6931424197474132e-06
86,1.6931424136923797e-06
87,1.6931424065118498e-06
88,1.6931424008610048e-06
89,1.6931423921122621e-06
90,1.6931423848374904e-06
91,1.693142376460101e-06
92,1.6931423681083396e-06
93,1.6931423605468716e-06
94,1.6931423512142059e-06
95,1.6931423418039652e-06
96,1.6931423322354673e-06
97,1.6931423229330535e-06
98,1.6931423118016203e-06
99,1.6931423009892983e-06
100,1.6931422904749702e-06
101,1.6931422774189502e-06
102,1.6931422653365874e-06
103,1.6931422523950692e-06
104,1.693142240284019e-06
105,1.6931422270496293e-06
106,1.6931422132514282e-06
107,1.6931422001388303e-06
108,1.6931421854268518e-06
109,1.6931421704947877e-06
110,1.6931421548131205e-06
111,1.6931421400343573e-06
112,1.693142123816683e-06
113,1.6931421058855595e-06
114,1.6931420894350931e-06
115,1.6931420718552098e-06
116,1.6931420544298148e-06
117,1.6931420360655338e-06
118,1.6931420154724561e-06
119,1.6931419946495256e-06
120,1.6931419743421343e-06
121,1.693141952330134e-06
122,1.6931419307449202e-06
123,1.6931419091854632e-06
124,1.6931418862265945e-06
125,1.6931418625783104e-06
126,1.6931418393192437e-06
127,1.6931418165594517e-06
128,1.6931417921746655e-06
129,1.693141766384174e-06
130,1.693141740395888e-06
131,1.69314171576417e-06
132,1.6931416875249852e-06
133,1.6931416602128923e-06
134,1.6931416325443694e-06
135,1.6931416036540136e-06
136,1.6931415741085513e-06
137,1.6931415442427813e-06
138,1.6931415129910516e-06
139,1.6931414822003043e-06
140,1.6931414509484388e-06
141,1.6931414176986937e-06
142,1.6931413857558742e-06
143,1.693141352316165e-06
144,1.6931413188588676e-06
145,1.6931412847492303e-06
146,1.6931412511149578e-06
147,1.6931412147295464e-06
148,1.6931411775458034e-06
149,1.693141141523267e-06
150,1.6931411055562237e-06
151,1.6931410679458427e-06
152,1.693141029676079e-06
153,1.6931409904654166e-06
154,1.6931409498802406e-06
155,1.6931409093762882e-06
156,1.6931408683063417e-06
157,1.6931408272377136e-06
158,1.6931407845861731e-06
159,1.693140742235585e-06
160,1.6931406988668035e-06
161,1.693140655219526e-06
162,1.6931406098256337e-06
163,1.6931405652886587e-06
164,1.6931405203329769e-06
165,1.6931404737101155e-06
166,1.693140427053739e-06
167,1.6931403789435975e-06
168,1.6931403312417354e-06
169,1.6931402822966984e-06
170,1.6931402335331688e-06
171,1.6931401838136864e-06
172,1.6931401339013114e-06
173,1.6931400839880508e-06
174,1.693140032645381e-06
175,1.6931399823662368e-06
176,1.6931399303003095e-06
177,1.6931398782605327e-06
178,1.69313982603958e-06
179,1.6931397733991155e-06
180,1.693139719998365e-06
181,1.6931396653835502e-06
182,1.6931396107396798e-06
183,1.6931395561833336e-06
184,1.6931395010767323e-06
185,1.6931394461265676e-06
186,1.6931393899667115e-06
187,1.693139333100287e-06
188,1.6931392762808565e-06
189,1.6931392189046548e-06
190,1.693139161358577e-06
191,1.6931391041631802e-06
192,1.6931390459766512e-06
193,1.6931389869885365e-06
194,1.6931389281652558e-06
195,1.6931388692103759e-06
196,1.6931388099818634e-06
197,1.693138750451513e-06
198,1.6931386902977519e-06
199,1.6931386295843286e-06
200,1.6931385686190209e-06
201,1.69313850846731e-06
202,1.693138448909527e-06
203,1.693138386269067e-06
204,1.6931383252712296e-06
205,1.6931382641866999e-06
206,1.6931382038790598e-06
207,1.6931381417023181e-06
208,1.6931380795070406e-06
209,1.6931380175644906e-06
210,1.6931379562391023e-06
211,1.6931378942301066e-06
212,1.6931378314631456e-06
213,1.6931377697202563e-06
214,1.6931377084124366e-06
215,1.6931376462029e-06
216,1.6931375837812888e-06
217,1.6931375207899665e-06
218,1.693137458695157e-06
219,1.6931373961938927e-06
220,1.6931373341322452e-06
221,1.6931372709492832e-06
222,1.6931372092959064e-06
223,1.6931371466009735e-06
224,1.6931370841808455e-06
225,1.6931370231799207e-06
226,1.693136962210402e-06
227,1.6931369006777756e-06
228,1.6931368392693635e-06
229,1.6931367775543278e-06
230,1.6931367164173502e-06
231,1.6931366557137108e-06
232,1.6931365947479912e-06
233,1.693136533874098e-06
234,1.6931364736525034e-06
235,1.6931364137965585e-06
236,1.6931363530917364e-06
237,1.693136293710899e-06
238,1.6931362341747089e-06
239,1.6931361754805103e-06
240,1.6931361162615567e-06
241,1.6931360570294979e-06
242,1.6931359990070483e-06
243,1.6931359404419349e-06
244,1.6931358825400352e-06
245,1.6931358249418052e-06
246,1.6931357677905172e-06
247,1.6931357116894882e-06
248,1.6931356551585106e-06
249,1.6931355993793698e-06
250,1.693135543002406e-06
251,1.6931354871077026e-06
252,1.693135432266925e-06
253,1.6931353764032103e-06
254,1.6931353221071708e-06
255,1.6931352684767791e-06
256,1.6931352143118642e-06
257,1.6931351602499874e-06
258,1.693135107359219e-06
259,1.6931350547868399e-06
260,1.6931350022083373e-06
261,1.6931349502652254e-06
262,1.69313489880225e-06
263,1.6931348480700786e-06
264,1.6931347990040976e-06
265,1.6931347490747738e-06
266,1.6931346997795675e-06
267,1.6931346500647566e-06
268,1.6931346012858996e-06
269,1.6931345543180947e-06
270,1.6931345065677896e-06
271,1.6931344585918613e-06
272,1.6931344114655303e-06
273,1.6931343666478352e-06
274,1.693134320696532e-06
275,1.693134275948358e-06
276,1.6931342322757355e-06
277,1.6931341872251451e-06
278,1.693134143573446e-06
279,1.6931340997201411e-06
280,1.6931340570283209e-06
281,1.6931340142822948e-06
282,1.6931339709260407e-06
283,1.6931339294939569e-06
284,1.6931338899215676e-06
285,1.693133849299703e-06
286,1.693133808422159e-06
287,1.6931337696877384e-06
