N,M,subset_size,cover_id,block_count,max_block_residual,mean_block_residual,blocks
3,3,3,0,1,7.874661000091378e-14,7.874661000091378e-14,1-2+1-3+2-3
4,6,3,0,2,6.833423561942063e-13,6.821577269240411e-13,1-2+2-3+2-4 | 1-3+1-4+3-4
4,6,3,1,2,6.97072081414052e-13,6.959205290347956e-13,1-2+1-3+1-4 | 2-3+2-4+3-4
4,6,3,2,2,1.2252274343228903e-12,1.1718808417237467e-12,1-2+1-3+2-3 | 1-4+2-4+3-4
4,6,3,3,2,1.2267646717912024e-12,1.1735100331810238e-12,1-2+1-4+2-4 | 1-3+2-3+3-4
5,10,2,0,5,3.0987829847250155e-10,2.45498574829875e-10,1-2+2-3 | 1-5+3-5 | 1-3+2-5 | 1-4+2-4 | 3-4+4-5
5,10,2,1,5,5.513007032786752e-10,3.4094501949066187e-10,1-2+2-3 | 1-5+3-5 | 1-3+2-5 | 1-4+4-5 | 2-4+3-4
5,10,2,2,5,3.0963571349946466e-10,2.3978792234057914e-10,1-2+2-3 | 1-5+3-5 | 1-3+3-4 | 1-4+2-4 | 2-5+4-5
5,10,2,3,5,4.5958918835092174e-10,2.4517712642151e-10,1-2+2-3 | 1-5+3-5 | 1-3+3-4 | 1-4+4-5 | 2-4+2-5
5,10,2,4,5,4.5673559323267117e-10,2.4465492439246727e-10,1-2+2-3 | 1-5+3-5 | 1-3+1-4 | 2-4+2-5 | 3-4+4-5
5,10,2,5,5,5.513007032786752e-10,3.347121649723232e-10,1-2+2-3 | 1-5+3-5 | 1-3+1-4 | 2-4+3-4 | 2-5+4-5
5,10,2,6,5,5.074968838328672e-10,3.4881401619982724e-10,1-2+1-5 | 2-3+3-5 | 1-3+2-5 | 1-4+2-4 | 3-4+4-5
5,10,2,7,5,5.513007032786752e-10,4.44260460860614e-10,1-2+1-5 | 2-3+3-5 | 1-3+2-5 | 1-4+4-5 | 2-4+3-4
5,10,2,8,5,5.074968838328672e-10,3.4310336371053134e-10,1-2+1-5 | 2-3+3-5 | 1-3+3-4 | 1-4+2-4 | 2-5+4-5
5,10,2,9,5,5.074968838328672e-10,3.4849256779146217e-10,1-2+1-5 | 2-3+3-5 | 1-3+3-4 | 1-4+4-5 | 2-4+2-5
5,10,2,10,5,5.074968838328672e-10,3.479703657624194e-10,1-2+1-5 | 2-3+3-5 | 1-3+1-4 | 2-4+2-5 | 3-4+4-5
5,10,2,11,5,5.513007032786752e-10,4.3802760634227536e-10,1-2+1-5 | 2-3+3-5 | 1-3+1-4 | 2-4+3-4 | 2-5+4-5
