step,max_within_opposite_pair_phase_diff,max_class_gap_error_from_one_third,gap1,gap2,gap3
0,1.8376538159566985e-15,1.524839143840495e-10,0.3333333331808494,0.33333333341797955,0.333333333401171
1,1.9790118017995217e-15,1.5248363682829336e-10,0.3333333331808497,0.3333333334179794,0.333333333401171
2,1.9790118017995217e-15,1.5248341478368843e-10,0.3333333331808499,0.3333333334179793,0.3333333334011708
3,1.9790118017995217e-15,1.5248308171678104e-10,0.33333333318085023,0.33333333341797927,0.33333333340117044
4,2.191048780563756e-15,1.5248285967217612e-10,0.33333333318085046,0.3333333334179792,0.33333333340117044
5,2.1203697876423446e-15,1.5248258211641996e-10,0.33333333318085073,0.333333333417979,0.33333333340117033
6,2.1203697876423446e-15,1.5248241558296627e-10,0.3333333331808509,0.33333333341797894,0.3333333334011701
7,2.049690794720933e-15,1.5248197149375642e-10,0.33333333318085134,0.3333333334179787,0.3333333334011699
8,2.332406766406579e-15,1.5248180496030272e-10,0.3333333331808515,0.3333333334179785,0.33333333340117
9,2.4030857593279904e-15,1.5248163842684903e-10,0.3333333331808517,0.3333333334179786,0.33333333340116966
10,2.4030857593279904e-15,1.5248163842684903e-10,0.3333333331808517,0.33333333341797894,0.33333333340116944
11,2.4030857593279904e-15,1.524812498487904e-10,0.33333333318085206,0.33333333341797855,0.33333333340116933
12,2.5444437451708133e-15,1.5248108331533672e-10,0.33333333318085223,0.3333333334179783,0.33333333340116955
13,2.4030857593279904e-15,1.5248097229303426e-10,0.33333333318085234,0.33333333341797844,0.3333333334011692
14,2.4030857593279904e-15,1.524808612707318e-10,0.33333333318085245,0.33333333341797833,0.33333333340116933
15,2.6858017310136362e-15,1.524805282038244e-10,0.3333333331808528,0.3333333334179781,0.3333333334011691
16,2.6858017310136362e-15,1.5248025064806825e-10,0.33333333318085306,0.333333333417978,0.3333333334011689
17,2.897838709777871e-15,1.524799730923121e-10,0.33333333318085334,0.33333333341797766,0.333333333401169
18,2.9685177026992824e-15,1.524799730923121e-10,0.33333333318085334,0.33333333341797766,0.3333333334011691
19,2.9685177026992824e-15,1.524796400254047e-10,0.3333333331808537,0.33333333341797733,0.333333333401169
20,3.039196695620694e-15,1.5247941798079978e-10,0.3333333331808539,0.3333333334179772,0.333333333401169
21,3.039196695620694e-15,1.5247914042504362e-10,0.3333333331808542,0.3333333334179769,0.3333333334011689
22,2.9685177026992824e-15,1.5247919593619486e-10,0.3333333331808541,0.3333333334179769,0.333333333401169
23,2.8271597168564595e-15,1.52478751846985e-10,0.33333333318085456,0.33333333341797655,0.3333333334011689
24,2.6858017310136362e-15,1.5247830775777516e-10,0.333333333180855,0.333333333417976,0.3333333334011691
25,2.7564807239350477e-15,1.524778636685653e-10,0.33333333318085545,0.33333333341797533,0.3333333334011692
26,2.9685177026992824e-15,1.524776971351116e-10,0.3333333331808556,0.333333333417975,0.33333333340116944
27,2.8271597168564595e-15,1.524776971351116e-10,0.3333333331808556,0.3333333334179752,0.3333333334011691
28,2.7564807239350477e-15,1.5247753060165792e-10,0.3333333331808558,0.3333333334179751,0.3333333334011692
29,2.8271597168564595e-15,1.52477308557053e-10,0.333333333180856,0.3333333334179749,0.3333333334011691
30,2.8271597168564595e-15,1.52477308557053e-10,0.333333333180856,0.3333333334179749,0.3333333334011692
31,2.6858017310136362e-15,1.524771420235993e-10,0.3333333331808562,0.3333333334179748,0.333333333401169
32,2.8271597168564595e-15,1.5247675344554068e-10,0.33333333318085656,0.33333333341797433,0.333333333401169
33,3.039196695620694e-15,1.5247669793438945e-10,0.3333333331808566,0.3333333334179742,0.3333333334011691
34,2.897838709777871e-15,1.5247647588978452e-10,0.33333333318085684,0.333333333417974,0.3333333334011692
35,2.9685177026992824e-15,1.5247614282287714e-10,0.33333333318085717,0.33333333341797355,0.3333333334011692
36,2.9685177026992824e-15,1.524760873117259e-10,0.3333333331808572,0.33333333341797344,0.33333333340116933
37,3.1098756885421053e-15,1.524759207782722e-10,0.3333333331808574,0.3333333334179731,0.33333333340116955
38,3.039196695620694e-15,1.5247586526712098e-10,0.33333333318085745,0.3333333334179729,0.33333333340116955
39,2.9685177026992824e-15,1.5247564322251606e-10,0.33333333318085767,0.33333333341797267,0.33333333340116966
40,2.8271597168564595e-15,1.5247564322251606e-10,0.33333333318085767,0.33333333341797267,0.33333333340116966
41,2.9685177026992824e-15,1.524753656667599e-10,0.33333333318085795,0.3333333334179722,0.3333333334011699
42,3.039196695620694e-15,1.524751991333062e-10,0.3333333331808581,0.33333333341797156,0.33333333340117033
43,3.1098756885421053e-15,1.5247486606639882e-10,0.33333333318085845,0.3333333334179711,0.33333333340117033
44,2.9685177026992824e-15,1.5247508811100374e-10,0.3333333331808582,0.3333333334179711,0.3333333334011708
45,2.9685177026992824e-15,1.5247497708870128e-10,0.33333333318085834,0.3333333334179708,0.3333333334011708
46,3.039196695620694e-15,1.5247486606639882e-10,0.33333333318085845,0.33333333341797067,0.333333333401171
47,2.8271597168564595e-15,1.5247458851064266e-10,0.3333333331808587,0.33333333341797033,0.3333333334011709
48,2.7564807239350477e-15,1.5247453299949143e-10,0.3333333331808588,0.33333333341797,0.3333333334011712
49,2.8271597168564595e-15,1.5247436646603774e-10,0.33333333340117144,0.33333333318085895,0.33333333341796967
50,2.5444437451708133e-15,1.524746440217939e-10,0.3333333334011715,0.33333333318085867,0.3333333334179699
51,2.473764752249402e-15,1.5247469953294512e-10,0.3333333334011717,0.3333333331808586,0.33333333341796967
52,2.473764752249402e-15,1.5247458851064266e-10,0.33333333340117177,0.3333333331808587,0.33333333341796945
53,2.4030857593279904e-15,1.5247425544373527e-10,0.333333333401172,0.33333333318085906,0.3333333334179689
54,2.2617277734851675e-15,1.5247442197718897e-10,0.33333333340117216,0.3333333331808589,0.333333333417969
55,2.4030857593279904e-15,1.5247442197718897e-10,0.3333333334011725,0.3333333331808589,0.33333333341796856
56,2.4030857593279904e-15,1.5247442197718897e-10,0.33333333340117255,0.3333333331808589,0.33333333341796856
57,2.2617277734851675e-15,1.5247458851064266e-10,0.3333333334011728,0.3333333331808587,0.33333333341796845
58,2.4030857593279904e-15,1.5247425544373527e-10,0.3333333334011731,0.33333333318085906,0.3333333334179679
59,2.2617277734851675e-15,1.5247436646603774e-10,0.3333333334011735,0.33333333318085895,0.33333333341796767
60,2.191048780563756e-15,1.5247425544373527e-10,0.3333333334011737,0.33333333318085906,0.33333333341796734
61,2.191048780563756e-15,1.5247442197718897e-10,0.3333333334011739,0.3333333331808589,0.3333333334179672
62,2.191048780563756e-15,1.5247453299949143e-10,0.33333333340117394,0.3333333331808588,0.33333333341796734
63,2.191048780563756e-15,1.524744774883402e-10,0.33333333340117427,0.33333333318085884,0.3333333334179668
64,2.473764752249402e-15,1.524746440217939e-10,0.33333333340117455,0.33333333318085867,0.3333333334179669
65,2.5444437451708133e-15,1.5247458851064266e-10,0.33333333340117477,0.3333333331808587,0.33333333341796656
66,2.5444437451708133e-15,1.5247475504409636e-10,0.3333333334011747,0.33333333318085856,0.3333333334179668
67,2.473764752249402e-15,1.5247492157755005e-10,0.33333333340117516,0.3333333331808584,0.33333333341796656
68,2.5444437451708133e-15,1.524751991333062e-10,0.3333333334011752,0.3333333331808581,0.33333333341796656
69,2.473764752249402e-15,1.5247497708870128e-10,0.3333333334011753,0.33333333318085834,0.33333333341796645
70,2.473764752249402e-15,1.5247525464445744e-10,0.3333333334011756,0.33333333318085806,0.33333333341796634
71,2.5444437451708133e-15,1.5247531015560867e-10,0.33333333340117566,0.333333333180858,0.3333333334179662
