step,H_perp,A_perp,H_total,four_group_error,A_B_center_distance
0,1.730672924677253e-32,1.3155504265049106e-16,0.8596491228071359,0.4949082741099804,0.20702028667108788
1,7.841105684202818e-25,8.855001797968659e-13,0.8596491228071372,0.4814077007295761,0.20502096844304477
2,3.1329455323959693e-24,1.7700128622120148e-12,0.8596491228071361,0.47143668369671576,0.20299566282336912
3,7.04073458379773e-24,2.6534382570163057e-12,0.8596491228071376,0.48525001990382705,0.20095098763735092
4,1.2500413629414438e-23,3.5355924014816017e-12,0.8596491228071377,0.4986264479583108,0.19889382188362736
5,1.9507028223264756e-23,4.416676151051236e-12,0.8596491228071379,0.5115539240266166,0.19683129761937598
6,2.8055164367355245e-23,5.296712600033651e-12,0.8596491228071363,0.5240208085014187,0.194770789169276
7,3.8135619476247e-23,6.175404397790237e-12,0.8596491228071377,0.5360158764816527,0.19271989922839117
8,4.9748758585337657e-23,7.053279987731783e-12,0.8596491228071387,0.5475283278791654,0.19068644140479069
9,6.288461162606259e-23,7.929981817511474e-12,0.8596491228071406,0.5585477971428685,0.18867841873368765
10,7.753461843656238e-23,8.80537440638173e-12,0.8596491228071381,0.5690643625916464,0.18670399769517018
11,9.369329037415484e-23,9.679529450038098e-12,0.8596491228071408,0.5790685553476149,0.18477147728686433
12,1.1135392168626462e-22,1.055243676532888e-11,0.8596491228071387,0.588551367861684,0.1828892527460388
13,1.3051068286355805e-22,1.1424127225462696e-11,0.8596491228071368,0.597504262023752,0.18106577358769618
14,1.5116306729330186e-22,1.2294839051134498e-11,0.8596491228071373,0.6059191768502263,0.17930949573071525
15,1.7330131418893946e-22,1.3164395701624116e-11,0.8596491228071368,0.6137885357419515,0.17762882762668245
16,1.9692026089320076e-22,1.4032827972051848e-11,0.859649122807137,0.6211052533060077,0.17603207048760594
17,2.220051955274329e-22,1.4899838775216088e-11,0.8596491228071377,0.6278627417352386,0.17452735292869823
18,2.485608443999501e-22,1.5765812519497688e-11,0.8596491228071381,0.6340549167397632,0.1731225605969864
19,2.765796771066383e-22,1.663068480570293e-11,0.8596491228071377,0.6396762030251343,0.17182526163788753
20,3.0604225871018807e-22,1.749406352767098e-11,0.8596491228071399,0.6447215393122063,0.17064262914789738
21,3.3696007775564995e-22,1.8356472366869676e-11,0.859649122807137,0.6491863828941978,0.16958136205557686
22,3.69320608842111e-22,1.9217716015232168e-11,0.8596491228071353,0.6530667137268411,0.1686476061446975
23,4.0311101030079627e-22,2.0077624617986967e-11,0.8596491228071321,0.6563590380479398,0.16784687715967925
24,4.383229028670116e-22,2.0936162563063257e-11,0.8596491228071318,0.6590603915230733,0.167183988090646
25,4.749615287598176e-22,2.179361210905199e-11,0.8596491228071336,0.6611683419146163,0.16666298280165828
26,5.130233371574632e-22,2.2650018480289658e-11,0.8596491228071299,0.6626809912716706,0.166287078123703
27,5.52480296751798e-22,2.3504899420159148e-11,0.8596491228071328,0.6635969776389372,0.16605861637396302
28,5.933447699831348e-22,2.4358669298283408e-11,0.8596491228071337,0.6639154762829905,0.16597902998441655
29,6.356017516734908e-22,2.521114340273941e-11,0.8596491228071316,0.6636362004348494,0.16604881953638032
30,6.792563807568927e-22,2.6062547472511055e-11,0.8596491228071308,0.6627594015481768,0.16626754602429863
31,7.242883771925662e-22,2.691260628762228e-11,0.8596491228071306,0.6612858690728779,0.1666338376420167
32,7.70693184780935e-22,2.7761361363970155e-11,0.859649122807129,0.6592169297442962,0.16714541083421489
33,8.184628163517483e-22,2.860878914515167e-11,0.8596491228071288,0.6565544463904172,0.16779910482311583
34,8.675943906704278e-22,2.945495528209859e-11,0.8596491228071315,0.653300816254077,0.16859092834253
35,9.180876221212257e-22,3.0299960761050926e-11,0.8596491228071332,0.6494589688255323,0.16951611691841392
36,9.69932645135802e-22,3.1143741668845793e-11,0.8596491228071317,0.6450323632173929,0.17056919874911597
37,1.0231207058731804e-21,3.198625807863715e-11,0.8596491228071313,0.6400249850453194,0.17174406707055698
38,1.0776248714354432e-21,3.28271971303589e-11,0.8596491228071319,0.634441342839465,0.17303405684206863
39,1.1334685764600576e-21,3.366702506103053e-11,0.8596491228071302,0.6282864639850975,0.1744320236482149
40,1.1906360743851974e-21,3.450559482729138e-11,0.8596491228071284,0.6215658901960542,0.17593042286377253
41,1.2491014199369465e-21,3.534262893358312e-11,0.8596491228071281,0.614285672525109,0.1775213873515143
42,1.3088880300242014e-21,3.617855760010619e-11,0.8596491228071279,0.6064523659157399,0.17919680223185339
43,1.3699750477045144e-21,3.7013173975012115e-11,0.8596491228071261,0.5980730233002078,0.1809483755566464
44,1.43236377631419e-21,3.784658209553658e-11,0.8596491228071264,0.5891551892492541,0.18276770401587958
45,1.496037348956239e-21,3.8678642025751606e-11,0.8596491228071297,0.57970689317914,0.18464633308873032
46,1.560983191065006e-21,3.9509279809495464e-11,0.8596491228071299,0.5697366421221426,0.18657581130710924
47,1.6272474025933195e-21,4.0339154708463085e-11,0.8596491228071284,0.5592534130670143,0.1885477385222133
48,1.694752457146413e-21,4.116737126835296e-11,0.85964912280713,0.5482666448763045,0.1905538082487332
49,1.7634906917983052e-21,4.199393636941297e-11,0.8596491228071307,0.5367862297878219,0.1925858443064746
50,1.8335052416373977e-21,4.2819449338325187e-11,0.8596491228071306,0.5248225045078877,0.19463583208698415
51,1.904773018470639e-21,4.364370537054157e-11,0.8596491228071315,0.5123862409043977,0.19669594484689007
52,1.97727869500186e-21,4.446660201771505e-11,0.8596491228071321,0.49948863630807566,0.19875856547457021
53,2.05101606953172e-21,4.5288144911573935e-11,0.8596491228071326,0.4861413034306508,0.20081630419744173
54,2.1259641693244604e-21,4.6108178985126496e-11,0.8596491228071319,0.47235625990903396,0.20286201269856086
55,2.2021607233552503e-21,4.6927185333825955e-11,0.8596491228071323,0.4805065091269899,0.20488879509799524
56,2.2795624450742506e-21,4.7744763535640745e-11,0.8596491228071306,0.494035902201015,0.20689001623065528
57,2.3581498734863546e-21,4.856078534668024e-11,0.8596491228071321,0.5071204765125458,0.2088593076215044
58,2.437943161190423e-21,4.937553200918875e-11,0.8596491228071332,0.519748451006548,0.21079057152415592
59,2.5189384328017175e-21,5.0189027015889814e-11,0.8596491228071328,0.5319084557401443,0.21267798335210672
60,2.601120314238416e-21,5.1001179537716726e-11,0.8596491228071313,0.5435895421198563,0.21451599279496597
61,2.6844290088256628e-21,5.181147564802283e-11,0.8596491228071297,0.5547811927594679,0.21629932387628562
62,2.768938424800113e-21,5.2620703385645774e-11,0.8596491228071313,0.5654733309496442,0.21802297417585276
63,2.8546070997105396e-21,5.3428523278400085e-11,0.8596491228071292,0.5756563297307723,0.21968221340810112
64,2.9414448239283113e-21,5.4235088493781505e-11,0.8596491228071294,0.5853210205608571,0.22127258151993906
65,3.0294099298051032e-21,5.5040075670415846e-11,0.8596491228071288,0.5944587015706715,0.2227898864459163
66,3.1185484564164945e-21,5.584396526408646e-11,0.8596491228071294,0.6030611453987206,0.22423020163618534
67,3.208813412242952e-21,5.6646389225112585e-11,0.8596491228071262,0.611120606598974,0.22558986345309978
68,3.3002020813037864e-21,5.744738533043768e-11,0.8596491228071259,0.6186298286146887,0.22686546851529962
69,3.3927033672029675e-21,5.824691723347226e-11,0.8596491228071255,0.6255820503120499,0.22805387105358513
70,3.486316337365109e-21,5.90450365176033e-11,0.8596491228071244,0.6319710120677429,0.2291521803305203
71,3.581061216705572e-21,5.984196869008884e-11,0.8596491228071248,0.6377909614049759,0.2301577581653121
72,3.676884290187815e-21,6.063731763681349e-11,0.8596491228071264,0.643036658172881,0.23106821659684232
73,3.773808144410349e-21,6.143132868830324e-11,0.859649122807128,0.6477033792646271,0.23188141571057613
74,3.871831015011274e-21,6.222403888378891e-11,0.8596491228071279,0.6517869228699986,0.23259546164921757
75,3.970898692402297e-21,6.301506718557313e-11,0.8596491228071292,0.6552836122586102,0.23320870482225556
76,4.0710781369508556e-21,6.380500087728905e-11,0.8596491228071286,0.6581902990903523,0.2337197383257652
77,4.1722985928249936e-21,6.459333241771162e-11,0.8596491228071281,0.6605043662500851,0.23412739658084852
78,4.2745668760815466e-21,6.538017188782504e-11,0.8596491228071281,0.6622237302040297,0.23443075419677756
79,4.377898768484392e-21,6.616569177817453e-11,0.8596491228071298,0.6633468428757354,0.23462912506312839
80,4.4822668947756954e-21,6.694973409040319e-11,0.8596491228071296,0.663872693039932,0.234722061673838
81,4.587668706453347e-21,6.77323313230347e-11,0.8596491228071304,0.6638008072330148,0.23470935468509888
82,4.6940783425759186e-21,6.85133442664706e-11,0.85964912280713,0.66313125017934,0.23459103270822
83,4.801501207782078e-21,6.929286548976076e-11,0.8596491228071309,0.661864624732949,0.2343673623379478
84,4.909951578241797e-21,7.007104664725507e-11,0.8596491228071319,0.6600020713347716,0.23403884841618416
85,5.019421054556517e-21,7.08478726184246e-11,0.8596491228071333,0.6575452669857994,0.23360623453045973
86,5.129888586202674e-21,7.162324054524952e-11,0.8596491228071321,0.6544964237371511,0.2330705037458625
87,5.241353263694771e-21,7.239719099312328e-11,0.8596491228071313,0.6508582866983927,0.23243287956829234
88,5.3538073383560475e-21,7.316971599204173e-11,0.859649122807128,0.6466341315706692,0.23169482713580725
89,5.4672291971766935e-21,7.394071406996753e-11,0.8596491228071281,0.6418277616832411,0.2308580546333996
90,5.581616881741842e-21,7.471021939294411e-11,0.8596491228071288,0.6364435045826797,0.22992451492462845
91,5.6969822937481024e-21,7.547835645897507e-11,0.8596491228071306,0.63048620813241,0.2288964073910718
92,5.813284549232375e-21,7.624489851283413e-11,0.8596491228071299,0.6239612361475373,0.22777617996740904
93,5.930562287484329e-21,7.701014405573027e-11,0.8596491228071292,0.6168744635653913,0.22656653135594018
94,6.048771206552597e-21,7.777384654594753e-11,0.8596491228071299,0.6092322711558642,0.22527041339937698
95,6.1679230422229576e-21,7.853612571436764e-11,0.859649122807131,0.6010415397763094,0.22389103358458592
