step,max_abs_phase_increment_over_pi,mean_abs_phase_increment_over_pi,max_rat_err_q_le_256,median_rat_err_q_le_256,smallest_global_q_tol_1e10,best_denominators,dtheta_edge_0_over_pi,dtheta_edge_1_over_pi,dtheta_edge_2_over_pi,dtheta_edge_3_over_pi,dtheta_edge_4_over_pi,dtheta_edge_5_over_pi,dtheta_edge_6_over_pi,dtheta_edge_7_over_pi,dtheta_edge_8_over_pi,dtheta_edge_9_over_pi
1,0.004775828460414625,0.004775828460039645,8.86053542350964e-06,8.860535204404524e-06,,209,0.004775828459855837,0.004775828460066036,0.004775828459851596,0.004775828460009351,0.004775828460259696,0.0047758284600124615,0.004775828460251922,0.004775828460414625,0.004775828459791801,0.004775828459883119
2,0.004775828460415331,0.004775828460039602,8.86053542350964e-06,8.860535202001498e-06,,209,0.00477582845985414,0.004775828460064905,0.004775828459852161,0.004775828460012179,0.004775828460259272,0.00477582846001444,0.004775828460252205,0.004775828460415331,0.004775828459791801,0.004775828459879585
3,0.004775828460416179,0.004775828460039601,8.86053542336826e-06,8.860535199810542e-06,,209,0.004775828459852444,0.004775828460063633,0.004775828459852868,0.004775828460014581,0.0047758284602591305,0.004775828460016419,0.00477582846025277,0.004775828460416179,0.0047758284597919426,0.004775828459876051
4,0.004775828460417028,0.004775828460039673,8.86053542350964e-06,8.860535197336393e-06,,209,0.004775828459850748,0.004775828460062785,0.0047758284598538574,0.00477582846001755,0.004775828460258566,0.0047758284600183986,0.004775828460253194,0.004775828460417028,0.004775828459791801,0.0047758284598728
5,0.004775828460417876,0.004775828460039644,8.86053542365102e-06,8.860535195075181e-06,,209,0.004775828459849193,0.004775828460061654,0.004775828459854423,0.004775828460019953,0.004775828460258283,0.004775828460020518,0.0047758284602536175,0.004775828460417876,0.00477582845979166,0.004775828459869265
6,0.004775828460418724,0.0047758284600397,8.86053542350964e-06,8.860535193025171e-06,,209,0.004775828459847779,0.004775828460060806,0.0047758284598549885,0.004775828460022215,0.004775828460258283,0.004775828460022356,0.004775828460254183,0.004775828460418724,0.004775828459791801,0.004775828459865873
7,0.00477582846041929,0.0047758284600396585,8.86053542365102e-06,8.860535190622146e-06,,209,0.004775828459846224,0.004775828460059392,0.004775828459855837,0.004775828460025042,0.004775828460257859,0.004775828460024336,0.004775828460254607,0.00477582846041929,0.00477582845979166,0.004775828459862339
8,0.004775828460420279,0.004775828460039701,8.86053542365102e-06,8.8605351883605e-06,,209,0.004775828459844387,0.004775828460058685,0.004775828459856402,0.004775828460027445,0.004775828460257576,0.0047758284600264555,0.004775828460255031,0.004775828460420279,0.00477582845979166,0.004775828459859088
9,0.004775828460420844,0.004775828460039687,8.86053542365102e-06,8.8605351862398e-06,,209,0.004775828459842973,0.0047758284600578375,0.004775828459857109,0.004775828460029849,0.004775828460257011,0.004775828460028293,0.004775828460255597,0.004775828460420844,0.00477582845979166,0.004775828459855695
10,0.004775828460421551,0.004775828460039645,8.8605354237924e-06,8.860535183766519e-06,,209,0.004775828459841418,0.004775828460056282,0.004775828459857815,0.004775828460032675,0.0047758284602565865,0.004775828460030413,0.00477582846025588,0.004775828460421551,0.004775828459791518,0.004775828459852302
11,0.004775828460422682,0.004775828460039715,8.86053542365102e-06,8.860535181787199e-06,,209,0.004775828459840005,0.004775828460055434,0.004775828459858381,0.004775828460034937,0.0047758284602565865,0.00477582846003211,0.004775828460256162,0.004775828460422682,0.00477582845979166,0.004775828459849193
12,0.0047758284604232475,0.004775828460039658,8.86053542365102e-06,8.860535179454863e-06,,209,0.00477582845983845,0.00477582846005402,0.004775828459859088,0.004775828460037623,0.004775828460256162,0.004775828460034089,0.0047758284602565865,0.0047758284604232475,0.00477582845979166,0.004775828459845659
13,0.004775828460423954,0.004775828460039615,8.86053542365102e-06,8.860535177263908e-06,,209,0.0047758284598368944,0.004775828460053031,0.004775828459859936,0.004775828460040168,0.004775828460255314,0.004775828460035926,0.004775828460257011,0.004775828460423954,0.00477582845979166,0.004775828459842266
14,0.004775828460424661,0.004775828460039645,8.8605354237924e-06,8.860535175072952e-06,,209,0.004775828459835481,0.004775828460052183,0.004775828459860501,0.00477582846004257,0.004775828460255314,0.0047758284600379055,0.004775828460257293,0.004775828460424661,0.004775828459791518,0.004775828459839015
15,0.0047758284604255095,0.004775828460039687,8.8605354237924e-06,8.860535172740183e-06,,209,0.004775828459834068,0.004775828460050911,0.004775828459860926,0.004775828460045115,0.004775828460255173,0.004775828460040026,0.0047758284602577175,0.0047758284604255095,0.004775828459791518,0.004775828459835905
16,0.004775828460426075,0.0047758284600396455,8.86053542365102e-06,8.86053517054966e-06,,209,0.004775828459832654,0.0047758284600500625,0.004775828459861491,0.004775828460047659,0.004775828460254466,0.004775828460041863,0.004775828460258,0.004775828460426075,0.00477582845979166,0.0047758284598325125
17,0.004775828460427205,0.004775828460039672,8.86053542350964e-06,8.860535168994481e-06,,209,0.00477582845983124,0.00477582846004879,0.004775828459862198,0.004775828460050204,0.0047758284602539,0.004775828460043843,0.004775828460258283,0.004775828460427205,0.004775828459791801,0.004775828459829262
18,0.004775828460427629,0.004775828460039602,8.86053542365102e-06,8.860535168641031e-06,,209,0.004775828459829826,0.0047758284600478,0.0047758284598627635,0.004775828460052466,0.0047758284602536175,0.004775828460045539,0.004775828460258707,0.004775828460427629,0.00477582845979166,0.00477582845982601
