step,H_total,H_parallel,H_perp,A_perp,f,ztz_re,ztz_im,abs_ztz,sigma_est,sigma_exact
0,0.8596491228071359,0.8596491228071359,1.730672924677253e-32,1.3155504265049109e-16,2.0132317695222417e-32,-3.608224830031759e-15,-7.686995470881945e-15,8.49171277148593e-15,0.3438596491228543,0.3438596491228543
1,0.8596491228071372,0.8596491228071372,7.841105684202819e-25,8.855001797968659e-13,9.121286204071398e-25,-4.829470157119431e-15,-8.720998452401633e-15,9.968931537797763e-15,0.3438596491228548,0.3438596491228548
2,0.8596491228071361,0.8596491228071361,3.132945532395969e-24,1.7700128622120148e-12,3.644446843807053e-24,-4.6629367034256575e-15,-8.583306700993481e-15,9.768118172067418e-15,0.3438596491228546,0.3438596491228546
3,0.8596491228071376,0.8596491228071376,7.04073458379773e-24,2.6534382570163057e-12,8.190242270947236e-24,-4.218847493575595e-15,-8.308599818662356e-15,9.318342401990025e-15,0.34385964912285516,0.34385964912285516
4,0.8596491228071377,0.8596491228071377,1.2500413629414438e-23,3.5355924014816017e-12,1.4541297487275987e-23,-4.773959005888173e-15,-8.898179435082432e-15,1.0097934533795747e-14,0.343859649122855,0.343859649122855
5,0.8596491228071379,0.8596491228071379,1.9507028223264756e-23,4.416676151051236e-12,2.269184915767215e-23,-5.2735593669694936e-15,-9.469508311738184e-15,1.0838912125440922e-14,0.34385964912285544,0.34385964912285544
6,0.8596491228071363,0.8596491228071363,2.8055164367355245e-23,5.296712600033651e-12,3.263559936610261e-23,-4.6074255521944e-15,-8.743999964683594e-15,9.88361804206337e-15,0.3438596491228546,0.3438596491228546
7,0.8596491228071377,0.8596491228071377,3.8135619476247e-23,6.175404397790237e-12,4.436184306419949e-23,-5.384581669432009e-15,-9.854857305066473e-15,1.1229956912562275e-14,0.34385964912285527,0.34385964912285527
8,0.8596491228071387,0.8596491228071387,4.9748758585337657e-23,7.053279987731783e-12,5.787100488497647e-23,-6.106226635438361e-15,-1.0260057429862e-14,1.1939630739156186e-14,0.34385964912285566,0.34385964912285566
9,0.8596491228071406,0.8596491228071406,6.288461162606259e-23,7.929981817511474e-12,7.315148699357255e-23,-6.2727600891321345e-15,-1.0315938930728855e-14,1.2073363870866155e-14,0.3438596491228562,0.3438596491228562
10,0.8596491228071381,0.8596491228071381,7.753461843656238e-23,8.80537440638173e-12,9.019333165068236e-23,-6.050715484207103e-15,-9.91170450393245e-15,1.1612624339230922e-14,0.34385964912285527,0.34385964912285527
11,0.8596491228071408,0.8596491228071408,9.369329037415485e-23,9.679529450038098e-12,1.0899015410869513e-22,-5.9396931817445875e-15,-9.699007406602677e-15,1.137324490928586e-14,0.3438596491228561,0.3438596491228561
12,0.8596491228071387,0.8596491228071387,1.1135392168626462e-22,1.055243676532888e-11,1.2953415379828958e-22,-6.5503158452884236e-15,-1.0740801825536116e-14,1.2580598615665177e-14,0.34385964912285527,0.34385964912285527
13,0.8596491228071368,0.8596491228071368,1.3051068286355803e-22,1.1424127225462697e-11,1.5181854945350562e-22,-7.049916206369744e-15,-1.2034273319914214e-14,1.394722384043627e-14,0.3438596491228547,0.3438596491228547
14,0.8596491228071373,0.8596491228071373,1.5116306729330186e-22,1.2294839051134498e-11,1.7584275174932665e-22,-7.438494264988549e-15,-1.3011614217540932e-14,1.4987771731527702e-14,0.34385964912285505,0.34385964912285505
15,0.8596491228071368,0.8596491228071368,1.7330131418893946e-22,1.3164395701624115e-11,2.0159540630139142e-22,-7.438494264988549e-15,-1.2301341647801738e-14,1.437547227976212e-14,0.3438596491228549,0.3438596491228549
16,0.859649122807137,0.859649122807137,1.9692026089320076e-22,1.4032827972051848e-11,2.290705075696099e-22,-7.271960811294775e-15,-1.1615969091373128e-14,1.370445737607815e-14,0.3438596491228547,0.3438596491228547
17,0.8596491228071377,0.8596491228071377,2.220051955274329e-22,1.489983877521609e-11,2.5825094173595727e-22,-7.271960811294775e-15,-1.1654759684164406e-14,1.373735190408366e-14,0.34385964912285505,0.34385964912285505
18,0.8596491228071381,0.8596491228071381,2.485608443999501e-22,1.576581251949769e-11,2.891422067509218e-22,-6.994405055138486e-15,-1.1480582524500308e-14,1.3443417615220048e-14,0.3438596491228554,0.3438596491228554
19,0.8596491228071377,0.8596491228071377,2.765796771066383e-22,1.663068480570293e-11,3.2173554275665673e-22,-6.827871601444713e-15,-1.0754834559468575e-14,1.2739163905349315e-14,0.34385964912285505,0.34385964912285505
20,0.8596491228071399,0.8596491228071399,3.0604225871018807e-22,1.749406352767098e-11,3.56008341764862e-22,-6.827871601444713e-15,-1.0650938345112641e-14,1.265157374547554e-14,0.34385964912285627,0.34385964912285627
21,0.859649122807137,0.859649122807137,3.3696007775564995e-22,1.8356472366869676e-11,3.9197396800141586e-22,-6.827871601444713e-15,-1.0049430677229082e-14,1.214952211168193e-14,0.3438596491228551,0.3438596491228551
