seed,parent_residual,cluster_sse,family_A_modulus,family_B_modulus,relative_phase_rad,relative_phase_mod_pi_rad,groups,opposite_pairing
0,5.87083116272966e-11,2.529454176528969e-18,0.08596491228064895,0.08596491228107278,-2.9522891977349697,0.18930345585482344,"[(0, 4, 9), (1, 5, 6), (2, 8), (3, 7)]","((0, 1), (2, 3))"
1,4.877657225392026e-11,4.8644111184345585e-14,0.08596491228068842,0.0859649122806754,-2.853088713814989,0.28850393977480415,"[(1, 5, 8), (3, 4, 7), (0, 9), (2, 6)]","((0, 1), (2, 3))"
2,2.915127844541048e-11,2.84065185440328e-18,0.08596491228073892,0.08596491228073404,3.028470374323126,-0.11312227926666729,"[(0, 8, 9), (3, 6, 7), (1, 5), (2, 4)]","((0, 1), (2, 3))"
3,4.3371385338629654e-11,8.189836727911697e-18,0.0859649122806842,0.08596491228062471,-0.10175478110758807,-0.10175478110758807,"[(2, 4, 9), (3, 5, 7), (0, 8), (1, 6)]","((0, 1), (2, 3))"
4,2.232797113628624e-11,6.355192875178298e-19,0.10000000001299336,0.09999999998773773,-3.141592641623099,1.1966694302145697e-08,"[(0, 1, 7), (3, 5, 8), (2, 4), (6, 9)]","((0, 2), (1, 3))"
5,4.449105699891197e-11,4.365319915332606e-18,0.08596491228079113,0.08596491228073798,-3.0804122858724856,0.061180367717307504,"[(1, 5, 9), (2, 6, 7), (3, 4), (0, 8)]","((0, 1), (2, 3))"
6,5.218422996952344e-11,0.045196589652327465,0.09811350980851749,0.05683605134594218,-1.8171750756772498,1.324417577912543,"[(0, 3, 5), (1, 4, 7), (2, 8), (6, 9)]","((0, 3), (1, 2))"
7,1.6506660414556063e-11,9.894144920051687e-19,0.09999999981606551,0.0999999997981769,-3.1415926407947303,1.2795062787063216e-08,"[(0, 5, 8), (2, 3, 7), (1, 9), (4, 6)]","((0, 3), (1, 2))"
8,4.3405988888525787e-11,7.023212187478279e-19,0.08596491228080956,0.08596491228061014,-0.13812039965607292,-0.13812039965607292,"[(0, 7, 9), (2, 5, 8), (1, 6), (3, 4)]","((0, 1), (2, 3))"
9,1.613607698936713e-12,7.955239795699354e-21,0.1000000000014065,0.09999999999772788,-1.1108598485520815e-09,-1.1108598485520815e-09,"[(1, 6, 7), (2, 4, 8), (0, 9), (3, 5)]","((0, 1), (2, 3))"
10,4.240662201859594e-11,3.1684094092424715e-18,0.08596491228063885,0.08596491228070957,-0.1291650664567392,-0.1291650664567392,"[(0, 5, 8), (2, 4, 6), (1, 9), (3, 7)]","((0, 1), (2, 3))"
11,4.959094553747518e-11,1.1704330708691005e-17,0.08596491228083075,0.08596491228081612,-0.08218459154966506,-0.08218459154966506,"[(0, 1, 9), (2, 3, 4), (5, 8), (6, 7)]","((0, 1), (2, 3))"
12,6.485068364055408e-11,3.684373420098939e-18,0.0859649122804302,0.08596491228107188,0.14731129521784592,0.14731129521784592,"[(2, 6, 8), (3, 4, 9), (1, 5), (0, 7)]","((0, 1), (2, 3))"
13,3.422966754916061e-11,0.07465810479757361,0.015104858987357441,0.17798557470691936,-0.45263862860355575,-0.45263862860355575,"[(1, 6, 9), (2, 4, 8), (3, 5), (0, 7)]","((0, 1), (2, 3))"
14,3.855229513982593e-11,6.5514922923512986e-18,0.08596491228071906,0.08596491228074092,3.066387430473317,-0.07520522311647593,"[(0, 3, 7), (1, 2, 6), (4, 9), (5, 8)]","((0, 1), (2, 3))"
15,3.521757026425862e-11,1.4563160517207604e-18,0.08596491228077092,0.08596491228073791,-3.059616714376886,0.08197593921290691,"[(1, 5, 9), (2, 6, 7), (0, 8), (3, 4)]","((0, 1), (2, 3))"
16,2.6863477031641932e-11,2.2739362501090206e-18,0.08596491228070498,0.08596491228068674,-0.11496259451800395,-0.11496259451800395,"[(1, 5, 9), (2, 6, 7), (0, 8), (3, 4)]","((0, 1), (2, 3))"
17,4.67222520164581e-11,0.023933081626880758,0.061832581980409446,0.09748396707795046,0.99058524420147,0.99058524420147,"[(1, 8, 9), (3, 4, 7), (0, 5), (2, 6)]","((0, 1), (2, 3))"
18,2.949842369527559e-11,2.4509468143906486e-18,0.08596491228066835,0.08596491228071595,-3.024249308784753,0.11734334480504005,"[(1, 5, 9), (2, 6, 7), (0, 8), (3, 4)]","((0, 1), (2, 3))"
19,7.604363683142244e-14,1.8825630864369106e-23,0.09999999999958,0.09999999999977865,-3.1415926535352514,5.454170448615514e-11,"[(0, 2, 6), (1, 4, 9), (3, 5), (7, 8)]","((0, 2), (1, 3))"
