step,takagi_r1,takagi_r2,takagi_r3,takagi_r4,takagi_r5,takagi_r6,takagi_r7,takagi_r8
0,0.3692325866574749,0.3298072819304503,0.3097502898449784,0.28102328990863534,0.2505022917885197,0.18566239944564059,0.12944030369980028,3.5743508573347243e-09
1,0.369232586657475,0.3298072819304523,0.3097502898449846,0.2810232899086339,0.25050229178851785,0.18566239944561952,0.12944030369980306,2.1885621607523603e-09
2,0.3692325866574745,0.329807281930454,0.3097502898449901,0.2810232899086319,0.2505022917885156,0.18566239944559845,0.12944030369980572,1.1197070496648443e-09
3,0.3692325866574745,0.3298072819304562,0.30975028984499614,0.28102328990863035,0.25050229178851335,0.185662399445578,0.12944030369980825,1.8360823451543893e-09
4,0.369232586657474,0.32980728193045783,0.3097502898450014,0.281023289908628,0.25050229178851063,0.18566239944555785,0.12944030369981047,2.865827698775642e-09
5,0.3692325866574735,0.3298072819304598,0.30975028984500663,0.2810232899086258,0.2505022917885081,0.18566239944553814,0.12944030369981238,3.468209195391989e-09
6,0.36923258665747316,0.32980728193046205,0.30975028984501213,0.28102328990862363,0.2505022917885055,0.1856623994455189,0.1294403036998144,2.4239611202964917e-09
7,0.3692325866574727,0.32980728193046444,0.3097502898450173,0.2810232899086212,0.2505022917885027,0.18566239944550003,0.12944030369981624,1.817265352502684e-09
8,0.3692325866574723,0.3298072819304668,0.30975028984502234,0.28102328990861863,0.25050229178849986,0.18566239944548155,0.12944030369981774,3.479085902177335e-09
9,0.369232586657472,0.32980728193046943,0.3097502898450274,0.2810232899086162,0.2505022917884969,0.18566239944546348,0.12944030369981893,2.5765359467550687e-09
10,0.3692325866574716,0.329807281930472,0.30975028984503217,0.28102328990861364,0.2505022917884938,0.18566239944544596,0.12944030369981996,2.5454210213596203e-09
11,0.36923258665747116,0.3298072819304747,0.3097502898450367,0.2810232899086109,0.2505022917884905,0.18566239944542873,0.12944030369982057,1.8834935122342676e-09
12,0.36923258665747105,0.3298072819304776,0.30975028984504144,0.2810232899086083,0.25050229178848726,0.185662399445412,0.12944030369982135,2.229182448010076e-09
13,0.36923258665747055,0.32980728193048053,0.3097502898450459,0.28102328990860553,0.25050229178848393,0.1856623994453956,0.12944030369982173,1.9096920043794615e-09
14,0.36923258665746983,0.32980728193048325,0.30975028984504993,0.2810232899086024,0.2505022917884802,0.18566239944537946,0.12944030369982185,2.6946972150652024e-09
15,0.3692325866574692,0.32980728193048625,0.309750289845054,0.28102328990859937,0.2505022917884766,0.18566239944536378,0.12944030369982165,1.9121423981295837e-09
16,0.36923258665746855,0.3298072819304892,0.3097502898450581,0.2810232899085961,0.2505022917884729,0.18566239944534887,0.12944030369982137,2.816460080546756e-09
17,0.3692325866574682,0.3298072819304927,0.30975028984506225,0.2810232899085932,0.2505022917884694,0.1856623994453343,0.12944030369982099,4.0956117338653585e-09
18,0.3692325866574679,0.32980728193049635,0.3097502898450663,0.2810232899085902,0.2505022917884659,0.18566239944532031,0.12944030369982049,3.4908544042821783e-09
19,0.36923258665746755,0.3298072819305,0.30975028984507014,0.28102328990858716,0.25050229178846206,0.18566239944530674,0.12944030369981957,3.7347479053091346e-09
20,0.36923258665746733,0.32980728193050385,0.3097502898450741,0.28102328990858405,0.2505022917884583,0.18566239944529375,0.12944030369981857,1.970898938808589e-09
21,0.369232586657467,0.3298072819305079,0.30975028984507785,0.281023289908581,0.25050229178845457,0.18566239944528112,0.12944030369981735,3.567575054853421e-09
22,0.369232586657467,0.3298072819305121,0.3097502898450818,0.28102328990857806,0.2505022917884509,0.1856623994452694,0.1294403036998158,1.7828769557638659e-09
23,0.3692325866574668,0.3298072819305164,0.30975028984508546,0.28102328990857495,0.2505022917884471,0.18566239944525795,0.12944030369981427,2.3996585013415835e-09
24,0.3692325866574661,0.32980728193052017,0.3097502898450884,0.2810232899085713,0.25050229178844297,0.18566239944524648,0.1294403036998121,4.211002661875023e-09
25,0.3692325866574658,0.3298072819305244,0.30975028984509173,0.28102328990856795,0.25050229178843886,0.1856623994452358,0.12944030369980983,3.768370816635318e-09
26,0.36923258665746567,0.32980728193052905,0.309750289845095,0.2810232899085648,0.25050229178843514,0.18566239944522578,0.1294403036998077,2.2395094330541055e-09
27,0.3692325866574654,0.32980728193053344,0.3097502898450981,0.28102328990856135,0.250502291788431,0.18566239944521612,0.129440303699805,3.6335304602224354e-09
28,0.3692325866574643,0.3298072819305375,0.30975028984510056,0.28102328990855746,0.2505022917884264,0.1856623994452065,0.12944030369980217,1.8814404180320284e-09
29,0.36923258665746417,0.32980728193054276,0.3097502898451036,0.2810232899085544,0.25050229178842265,0.18566239944519797,0.12944030369979914,3.80708371313492e-09
30,0.36923258665746406,0.32980728193054787,0.30975028984510655,0.28102328990855124,0.25050229178841876,0.18566239944518995,0.12944030369979617,3.835754751739992e-09
31,0.3692325866574633,0.32980728193055286,0.309750289845109,0.2810232899085478,0.25050229178841443,0.18566239944518223,0.12944030369979267,3.3131644303792882e-09
32,0.36923258665746267,0.32980728193055747,0.30975028984511144,0.281023289908544,0.2505022917884101,0.18566239944517487,0.129440303699789,3.869765572124244e-09
33,0.3692325866574615,0.329807281930562,0.30975028984511344,0.2810232899085399,0.25050229178840555,0.18566239944516796,0.12944030369978513,3.3427480906202827e-09
34,0.3692325866574602,0.32980728193056663,0.30975028984511527,0.2810232899085358,0.25050229178840094,0.18566239944516155,0.1294403036997809,3.6544239776449025e-09
35,0.36923258665745934,0.3298072819305715,0.30975028984511727,0.2810232899085319,0.25050229178839645,0.18566239944515572,0.12944030369977658,2.91730268304078e-09
36,0.3692325866574585,0.32980728193057696,0.30975028984511926,0.2810232899085282,0.25050229178839234,0.1856623994451504,0.12944030369977214,1.2773127340288867e-09
37,0.3692325866574576,0.3298072819305823,0.3097502898451211,0.28102328990852454,0.2505022917883883,0.1856623994451456,0.12944030369976756,2.3233817731022277e-09
38,0.36923258665745756,0.3298072819305884,0.30975028984512354,0.2810232899085213,0.2505022917883844,0.18566239944514212,0.1294403036997628,2.9772797292139713e-09
39,0.3692325866574564,0.32980728193059383,0.3097502898451251,0.28102328990851766,0.25050229178838,0.18566239944513838,0.12944030369975776,2.637377436839728e-09
40,0.3692325866574551,0.32980728193059916,0.30975028984512626,0.2810232899085136,0.25050229178837535,0.18566239944513505,0.12944030369975212,4.1229260057937164e-09
41,0.3692325866574543,0.32980728193060505,0.30975028984512776,0.28102328990851,0.25050229178837125,0.18566239944513266,0.12944030369974652,2.334442856954037e-09
42,0.36923258665745334,0.3298072819306107,0.30975028984512926,0.2810232899085061,0.25050229178836697,0.18566239944513085,0.12944030369974072,3.6870644150208654e-09
43,0.3692325866574516,0.32980728193061587,0.3097502898451299,0.28102328990850195,0.25050229178836236,0.18566239944512872,0.12944030369973455,2.479798174677534e-09
44,0.3692325866574504,0.32980728193062164,0.3097502898451309,0.28102328990849806,0.25050229178835814,0.1856623994451276,0.12944030369972837,2.8612637836663507e-09
45,0.36923258665744874,0.32980728193062714,0.3097502898451314,0.2810232899084939,0.2505022917883538,0.18566239944512677,0.12944030369972173,3.0028526451919612e-09
46,0.3692325866574473,0.329807281930633,0.3097502898451321,0.28102328990849007,0.2505022917883496,0.1856623994451266,0.12944030369971515,3.4370728455737934e-09
47,0.3692325866574457,0.32980728193063874,0.30975028984513264,0.281023289908486,0.2505022917883453,0.1856623994451269,0.12944030369970813,4.208071282790785e-09
48,0.3692325866574445,0.3298072819306452,0.30975028984513336,0.2810232899084826,0.25050229178834155,0.18566239944512794,0.1294403036997013,3.0725278208699865e-09
49,0.369232586657443,0.3298072819306514,0.3097502898451341,0.28102328990847897,0.25050229178833766,0.18566239944512963,0.12944030369969423,4.13931642269352e-09
50,0.3692325866574412,0.32980728193065745,0.3097502898451342,0.281023289908475,0.25050229178833355,0.18566239944513147,0.12944030369968668,2.7858399979022067e-09
51,0.3692325866574395,0.32980728193066366,0.30975028984513453,0.2810232899084712,0.25050229178832956,0.185662399445134,0.12944030369967907,3.438724662641784e-09
52,0.369232586657438,0.32980728193067005,0.30975028984513475,0.2810232899084676,0.2505022917883258,0.18566239944513732,0.1294403036996712,1.4759119650585852e-09
53,0.36923258665743647,0.3298072819306766,0.30975028984513486,0.28102328990846404,0.250502291788322,0.18566239944514104,0.12944030369966342,2.327535995457312e-09
54,0.36923258665743497,0.3298072819306834,0.3097502898451351,0.2810232899084606,0.25050229178831845,0.18566239944514537,0.1294403036996555,3.783700827889804e-09
55,0.36923258665743325,0.32980728193069003,0.309750289845135,0.281023289908457,0.25050229178831473,0.18566239944515012,0.12944030369964699,2.644033146009648e-09
56,0.3692325866574308,0.3298072819306959,0.3097502898451343,0.281023289908453,0.25050229178831074,0.18566239944515514,0.1294403036996382,2.5919128526778075e-09
57,0.3692325866574291,0.32980728193070263,0.3097502898451341,0.2810232899084495,0.2505022917883073,0.1856623994451611,0.12944030369962944,2.0509118344341393e-09
58,0.36923258665742653,0.32980728193070863,0.30975028984513303,0.2810232899084454,0.25050229178830347,0.185662399445167,0.12944030369962028,2.3870424955370616e-09
59,0.36923258665742426,0.3298072819307153,0.30975028984513236,0.28102328990844183,0.25050229178829997,0.1856623994451736,0.12944030369961113,3.279593415848549e-09
60,0.369232586657422,0.32980728193072195,0.3097502898451315,0.2810232899084383,0.2505022917882963,0.1856623994451809,0.12944030369960174,3.371893716839135e-09
61,0.3692325866574194,0.3298072819307282,0.30975028984513037,0.28102328990843445,0.25050229178829253,0.18566239944518867,0.1294403036995918,1.1809094485072627e-09
62,0.3692325866574168,0.3298072819307346,0.3097502898451292,0.2810232899084307,0.25050229178828903,0.18566239944519705,0.12944030369958193,3.052199248706486e-09
63,0.36923258665741404,0.32980728193074127,0.3097502898451277,0.2810232899084272,0.25050229178828576,0.18566239944520554,0.1294403036995718,2.0876410309476006e-09
64,0.36923258665741177,0.3298072819307484,0.30975028984512665,0.2810232899084239,0.2505022917882828,0.18566239944521523,0.12944030369956167,2.996972246805818e-09
65,0.36923258665740905,0.32980728193075515,0.3097502898451253,0.28102328990842046,0.2505022917882799,0.18566239944522508,0.12944030369955153,2.7417612218867335e-09
66,0.3692325866574064,0.32980728193076225,0.30975028984512387,0.2810232899084174,0.25050229178827677,0.1856623994452355,0.12944030369954074,2.8753458039504036e-09
67,0.3692325866574039,0.32980728193076936,0.30975028984512254,0.28102328990841424,0.25050229178827405,0.18566239944524662,0.12944030369953013,3.3627500198357892e-09
68,0.3692325866574011,0.32980728193077635,0.309750289845121,0.2810232899084111,0.25050229178827144,0.18566239944525825,0.12944030369951934,3.289954354062226e-09
69,0.36923258665739833,0.32980728193078335,0.3097502898451192,0.2810232899084079,0.2505022917882687,0.18566239944527033,0.12944030369950835,2.161863327666537e-09
