step,full_r1,parallel_r1,perp_r1,cross_r1,full_r2,parallel_r2,perp_r2,cross_r2,full_r3,parallel_r3,perp_r3,cross_r3,full_r4,parallel_r4,perp_r4,cross_r4,full_r5,parallel_r5,perp_r5,cross_r5
0,0.32066506393149213,0.3206650639314921,5.1977839371981156e-17,6.70323889999777e-09,0.3100188603564024,0.31001886035640247,4.886884742153004e-17,5.588339044737529e-09,0.31001886034035786,0.31001886034035797,2.9627197351771784e-17,4.368207949446345e-09,0.2981469003924988,0.29814690039249886,2.6084743423870637e-17,2.9039043593089244e-09,1.6836017893582799e-09,2.651939162886007e-09,2.340545857138001e-25,1.2993353216274673e-09
1,0.32066506393143857,0.32066506393149236,3.7981989816136454e-13,4.441141430004631e-07,0.31001886035633797,0.3100188603564027,3.4220716969246315e-13,4.1577794325422575e-07,0.3100188603404093,0.3100188603403583,3.047368668868839e-13,3.300783040993277e-07,0.29814690039258124,0.2981469003924991,2.17887427637791e-13,1.3383055333318575e-07,3.189078112283325e-09,2.1607849687896996e-09,3.393610946869036e-21,1.6720660883719774e-09
2,0.3206650639313849,0.3206650639314922,7.591628434140302e-13,6.27964161119013e-07,0.31001886035627385,0.31001886035640236,6.844949878242032e-13,5.880311883342688e-07,0.31001886034045917,0.3100188603403581,6.090066429606519e-13,4.665035491401599e-07,0.2981469003926631,0.2981469003924989,4.3597705501318873e-13,1.8802432321981743e-07,2.7215424919413137e-09,2.3370832772240105e-09,5.4734447383099175e-21,2.100405964251086e-09
3,0.32066506393133215,0.3206650639314924,1.137913668335817e-12,7.689874412238428e-07,0.3100188603562107,0.31001886035640264,1.0268911043565988e-12,7.202529896869798e-07,0.3100188603405084,0.3100188603403583,9.127783659081678e-13,5.710022980672238e-07,0.2981469003927454,0.29814690039249914,6.541452749097987e-13,2.289854009248083e-07,3.1433924023260614e-09,2.0605955174409745e-09,4.099801964116302e-21,2.19062142446267e-09
4,0.3206650639312795,0.32066506393149247,1.516016186765069e-12,8.877554643160994e-07,0.31001886035614806,0.3100188603564027,1.3693780221071966e-12,8.316948816859002e-07,0.3100188603405566,0.31001886034035836,1.2159880457007853e-12,6.589425510086113e-07,0.2981469003928273,0.2981469003924992,8.723550554484959e-13,2.6283397992799703e-07,2.637858895014289e-09,1.0227181305825187e-09,7.757387554661562e-21,1.117199454304405e-09
5,0.32066506393122723,0.3206650639314926,1.8935737623704082e-12,9.923755946727616e-07,0.3100188603560862,0.3100188603564027,1.7120263794216579e-12,9.299207536009727e-07,0.3100188603406036,0.3100188603403585,1.5185192162687316e-12,7.362409186899756e-07,0.29814690039290925,0.29814690039249925,1.0904508858929395e-12,2.9215397659069786e-07,1.3382520337270252e-09,3.280382395172658e-09,1.273866580326433e-20,2.1376475156966066e-09
6,0.3206650639311751,0.32066506393149224,2.270523851619817e-12,1.0869406599336147e-06,0.310018860356025,0.3100188603564024,2.0548151786371406e-12,1.0187480116162354e-06,0.3100188603406489,0.3100188603403581,1.8204847840283988e-12,8.060095205064146e-07,0.2981469003929909,0.2981469003924989,1.3086375035612518e-12,3.1814994505503807e-07,3.640197825426108e-09,1.195215651885112e-09,1.6992642779262624e-20,3.0558879795329014e-09
7,0.3206650639311238,0.32066506393149247,2.6468041312563026e-12,1.173841902451294e-06,0.31001886035596493,0.3100188603564026,2.3976750499601712e-12,1.1004416557564564e-06,0.31001886034069365,0.3100188603403584,2.1216145299811262e-12,8.699444299939869e-07,0.29814690039307284,0.29814690039249914,1.5265960773805017e-12,3.4161824853161144e-07,2.606011836424399e-09,7.922503643380625e-10,1.712138602912098e-20,1.9415806844121143e-09
8,0.32066506393107275,0.32066506393149263,3.02262983498555e-12,1.2547209087389044e-06,0.3100188603559061,0.3100188603564028,2.740787157902212e-12,1.1765199390091684e-06,0.31001886034073695,0.3100188603403587,2.4221816045824992e-12,9.293574963488124e-07,0.29814690039315467,0.2981469003924993,1.7445575257177946e-12,3.630530438644557e-07,9.589387089335514e-10,3.245490891178333e-09,2.4798705081737282e-20,2.43697671334364e-09
9,0.3206650639310221,0.320665063931493,3.397826478785139e-12,1.3306525359418076e-06,0.3100188603558485,0.3100188603564031,3.084022085751076e-12,1.2479643014226632e-06,0.310018860340779,0.31001886034035897,2.7219730590109757e-12,9.85007090289002e-07,0.29814690039323666,0.29814690039249964,1.9624144179841538e-12,3.8290839104635363e-07,3.865002679618245e-09,2.8835370288412916e-09,2.9719033462754364e-20,3.1035084718576522e-09
10,0.3206650639309713,0.3206650639314925,3.772238343794914e-12,1.4024446216140462e-06,0.3100188603557912,0.31001886035640264,3.42748195957447e-12,1.3155457929965555e-06,0.31001886034081877,0.31001886034035847,3.0211202761623064e-12,1.0374818668061506e-06,0.29814690039331776,0.2981469003924992,2.1802207875910127e-12,4.0120323297736913e-07,3.0150529922287523e-09,3.2269312602882158e-09,2.858103351724444e-20,2.4518002098726366e-09
11,0.32066506393092165,0.3206650639314931,4.146091864018019e-12,1.4707306420856837e-06,0.310018860355736,0.31001886035640314,3.771275588185195e-12,1.379832466080996e-06,0.31001886034085796,0.310018860340359,3.31911011546931e-12,1.087238449646376e-06,0.2981469003933996,0.29814690039249975,2.3975349813012012e-12,4.184428070121007e-07,2.242449428728707e-09,3.2440467012417743e-09,4.357114939570687e-20,2.0264716025671083e-09
12,0.32066506393087163,0.32066506393149263,4.5192054527617116e-12,1.5359627753666943e-06,0.31001886035568116,0.3100188603564027,4.115188246433105e-12,1.4412644854550406e-06,0.31001886034089476,0.3100188603403587,3.616322987296212e-12,1.1346123115040958e-06,0.2981469003934804,0.2981469003924993,2.6146709832083377e-12,4.345756972836394e-07,1.011018879923543e-09,2.4891298133167753e-09,3.1412282883086645e-20,2.364889061927305e-09
