N,run,r2_rel_spread,Hperp_frac,rank
3,原本,0.07889252963461443,0.1778213986056036,2.0
3,修正版,0.6666666666665972,0.0,2.0
4,原本,3.6006467928393496e-05,0.1666713102211455,3.0
4,修正版,0.6666666666674849,3.3306690738754607e-16,3.0
6,原本,1.8434017429991285e-05,0.7892403648398887,5.0
6,修正版,1.968066950828379,0.6922050210524128,5.0
7,原本,6.265821195228171e-15,0.2608177369978523,6.0
7,修正版,1.9992821641155785,0.8402561716352084,6.0
8,原本,1.1268763699945153e-14,0.1046931406049927,7.0
8,修正版,1.9408870644647778,0.9208237447419733,7.0
9,原本,3.622102617839486e-15,0.15410893891219127,8.0
9,修正版,1.9598988275247589,0.9346422265694994,8.0
10,原本,9.055256544598698e-15,0.10214356373500498,9.0
10,修正版,1.9811237572992495,0.956512430815298,9.0
11,原本,3.311494481422906e-10,0.1388852941316392,10.0
11,修正版,1.9817062184539846,0.9888844781785746,10.0
12,原本,0.0,0.09827321638654352,11.0
12,修正版,1.9949516126030375,0.9578704000955166,11.0
13,原本,0.0,0.07049837325930704,12.0
13,修正版,1.9963967253262953,0.9462340725306176,12.0
14,原本,9.155870506205121e-15,0.08448345991183692,13.0
14,修正版,1.9754162198125684,0.9652677795757177,13.0
15,原本,1.0564465968698171e-14,0.14445941195538525,14.0
15,修正版,1.9390026289560098,0.994541564149097,14.0
