 N   M  total_closure_residual  best_pair_residual  pair_hits_lt1e-6  pair_exact_cover_count_capped100  best_triple_residual  triple_hits_lt1e-6  triple_exact_cover_count_capped100  roundrobin_min  roundrobin_mean  roundrobin_max  hamilton_min  hamilton_mean  hamilton_max
 3   3            5.346038e-14        4.632856e-01                 0                                 0          5.346038e-14                   1                                   1        1.000000         1.000000        1.000000  5.346038e-14   5.346038e-14  5.346038e-14
 4   6            1.654501e-14        4.999843e-01                 0                                 0          1.065469e-14                   8                                   4        1.000000         1.000000        1.000000           NaN            NaN           NaN
 5  10            2.683487e-15        1.879826e-10                13                                12          3.333333e-01                   0                                   0        0.086584         0.816566        1.000000  2.172485e-01   2.172485e-01  2.172485e-01
 6  15            7.191734e-14        6.101426e-02                 0                                 0          4.067619e-02                   0                                   0        0.352735         0.642882        0.995536           NaN            NaN           NaN
 7  21            1.017286e-13        2.029166e-01                 0                                 0          6.514482e-06                   0                                   0        0.144457         0.526505        0.994670  5.324475e-01   5.459046e-01  5.669031e-01
 8  28            5.643950e-15        1.592502e-03                 0                                 0          2.284290e-03                   0                                   0        0.109945         0.530785        0.991251           NaN            NaN           NaN
 9  36            5.662126e-15        1.656710e-03                 0                                 0          5.034938e-03                   0                                   0        0.191959         0.510139        0.784074  2.688949e-01   3.809222e-01  5.925427e-01
10  45            6.133313e-14        1.988566e-03                 0                                 0          9.853019e-03                   0                                   0        0.235949         0.463699        0.919878           NaN            NaN           NaN
11  55            7.055927e-14        1.338068e-03                 0                                 0          1.399645e-03                   0                                   0        0.205939         0.341707        0.658880  5.091226e-02   1.871601e-01  3.317864e-01
12  66            1.237888e-13        1.094921e-04                 0                                 0          1.125957e-02                   0                                   0        0.077552         0.308536        0.574160           NaN            NaN           NaN
13  78            1.641152e-14        1.654833e-04                 0                                 0          1.035786e-02                   0                                   0        0.057707         0.401825        0.993036  6.470561e-02   2.601229e-01  5.196838e-01
14  91            3.555408e-14        3.725486e-04                 0                                 0          6.073953e-03                   0                                   0        0.151769         0.364025        0.664501           NaN            NaN           NaN
15 105            2.158957e-14        1.675732e-04                 0                                 0          2.208681e-03                   0                                   0        0.102949         0.401759        0.697586  3.810072e-02   1.129404e-01  2.617445e-01
16 120            5.034459e-14        3.301995e-04                 0                                 0          2.120341e-03                   0                                   0        0.015099         0.354598        0.656882           NaN            NaN           NaN
ZIP /Users/kiharahanakira/Library/CloudStorage/GoogleDrive-kihara.noriaki@gmail.com/マイドライブ/OneDrive/GitHub/ai-chat-logs-open/次元の生成構造/電子の反跳実験/seed除去による準安定相追試/chatgpt追試/論文v1_全プログラム修正版_20260828/fixed_baseline/N3_N16_partial_zero_closure_analysis_20260826.zip 301068
