N,M,k,best_residual,edges
15,105,2,2.543654732575304e-05,"5-10;6-11"
15,105,3,0.0027569698164118654,"1-15;2-5;2-9"
15,105,4,5.3332191002078788e-05,"1-15;4-12;6-13;7-14"
15,105,5,2.904079631548022e-05,"3-8;3-15;4-8;12-15;13-14"
15,105,6,1.436510293361896e-05,"2-8;3-10;5-6;6-9;7-9;12-14"
15,105,7,2.5043939676467264e-05,"1-7;5-6;5-14;6-7;8-15;9-14;13-14"
15,105,8,1.7385589343384814e-05,"1-12;1-14;2-3;2-7;3-15;5-15;9-15;12-13"
15,105,9,9.5814890425037046e-06,"1-2;2-6;2-9;2-11;5-11;7-12;8-9;8-14;9-15"
15,105,10,1.0701221623750423e-05,"1-3;1-12;2-10;2-13;4-9;5-9;6-13;7-10;8-14;12-15"
15,105,11,4.5069266027514882e-06,"1-14;2-10;3-4;3-7;3-9;3-13;5-12;5-13;6-10;6-11;6-12"
15,105,12,9.8184391411090016e-06,"1-4;1-8;2-3;3-4;5-11;5-13;8-13;8-15;10-13;11-13;11-14;12-13"
15,105,13,4.4416659709484619e-06,"1-4;2-11;3-6;3-13;4-13;5-8;6-7;6-8;8-12;8-15;10-13;10-15;11-14"
