step,H_total,H_parallel,H_perp,A_perp,f,abs_ztz,full_simplex_rank,perp_simplex_rank,R_full_takagi,R_parallel_takagi,R_perp_takagi,R_cross_takagi,r1_full,r1_parallel,r1_perp,r1_cross,Bcross_fro
0,1.0,1.0,6.947792274376953e-32,2.635866513004206e-16,6.947792274376953e-32,6.087272963323595e-16,15,0,0.45547979174664155,0.4554797917466415,1.195376599051825e-16,8.06226831125365e-09,0.17486863433572516,0.17486863433572514,4.5713640549079705e-17,3.0754066634892433e-09,1.911571344409541e-17
1,1.0,1.0000000000000004,1.5468235144911116e-28,1.2437135982576984e-14,1.5468235144911116e-28,5.197342703367388e-16,15,0,0.4554797917466418,0.45547979174664166,1.0587684062136304e-14,5.62889983328494e-08,0.17486863433572514,0.17486863433572522,6.145032100985151e-15,2.788078752714698e-08,1.3796844461704356e-15
2,1.0,1.0,5.55823044912416e-28,2.3575899662842476e-14,5.55823044912416e-28,5.304624415895319e-16,15,0,0.45547979174664205,0.45547979174664155,2.0414222140997602e-14,7.682695431611923e-08,0.1748686343357251,0.17486863433572516,1.2946368133070072e-14,4.032700044221918e-08,2.646575584502139e-15
3,1.0000000000000002,1.0,1.2673773629069672e-27,3.5600243860217686e-14,1.2673773629069668e-27,6.016565217046462e-16,15,0,0.4554797917466422,0.4554797917466416,3.1131989221806265e-14,9.293377677327872e-08,0.17486863433572514,0.17486863433572516,2.0973614541333895e-14,5.194756626552688e-08,4.0474134932750825e-15
4,1.0000000000000002,1.0,2.5170845593154246e-27,5.0170554704083397e-14,2.517084559315424e-27,4.535829210951031e-16,15,0,0.4554797917466422,0.45547979174664155,4.418397568351648e-14,1.0805503049676117e-07,0.1748686343357251,0.17486863433572516,3.08954053951699e-14,6.354836072561291e-08,5.754334970539867e-15
5,1.0,1.0000000000000002,4.7117121124895525e-27,6.86419122146925e-14,4.7117121124895525e-27,5.27766632335736e-16,15,0,0.45547979174664216,0.45547979174664155,6.08809330928134e-14,1.23743864121184e-07,0.17486863433572505,0.17486863433572516,4.3462999832650083e-14,7.553232245024733e-08,7.908701000408554e-15
6,1.0,1.0000000000000004,8.51417048985422e-27,9.227226284130144e-14,8.51417048985422e-27,5.468205015617747e-16,15,0,0.4554797917466421,0.45547979174664166,8.243171384006606e-14,1.406815896375988e-07,0.174868634335725,0.1748686343357252,5.94921398718796e-14,8.821957982309374e-08,1.0649015251861109e-14
7,1.0000000000000002,1.0000000000000004,1.4997545762815647e-26,1.2246446734794403e-13,1.4997545762815644e-26,5.923820329225954e-16,15,0,0.45547979174664205,0.4554797917466416,1.1006446826317763e-13,1.5934090949839467e-07,0.17486863433572494,0.1748686343357252,7.988174381879325e-14,1.0191626695660383e-07,1.4134584398956609e-14
8,1.0000000000000002,1.0000000000000009,2.590701626899242e-26,1.6095656640532693e-13,2.590701626899241e-26,6.093208492622208e-16,15,0,0.4554797917466421,0.45547979174664166,1.4526681541940987e-13,1.8035532902457555e-07,0.17486863433572483,0.1748686343357252,1.0572510764750484e-13,1.1693766544898166e-07,1.8569103948212412e-14
9,1.0000000000000002,1.0000000000000004,4.404752019793745e-26,2.098750108944308e-13,4.404752019793744e-26,5.855456244815921e-16,15,0,0.4554797917466421,0.4554797917466416,1.8986976929300832e-13,2.0410073578160243e-07,0.17486863433572478,0.1748686343357252,1.383733818196745e-13,1.335830560644662e-07,2.4203713233824204e-14
10,1.0000000000000002,1.0000000000000004,7.395979384706518e-26,2.719554997551349e-13,7.395979384706517e-26,5.644439396877767e-16,15,0,0.4554797917466421,0.4554797917466416,2.462228397531456e-13,2.310122965445359e-07,0.17486863433572467,0.1748686343357252,1.7955563761453188e-13,1.5213782659445681e-07,3.135781987768934e-14
11,1.0000000000000004,1.0000000000000004,1.229612044933539e-25,3.506582445820345e-13,1.2296120449335386e-25,7.130620887274702e-16,15,0,0.4554797917466422,0.45547979174664155,3.1751576309689227e-13,2.615298055592106e-07,0.1748686343357245,0.1748686343357252,2.315968767556758e-13,1.7284105578697664e-07,4.043520752280139e-14
12,1.0000000000000002,1.0000000000000004,2.028402203196055e-25,4.503778639316163e-13,2.0284022031960546e-25,6.15892798796364e-16,15,0,0.4554797917466422,0.45547979174664166,4.077187409112892e-13,2.9600123787841747e-07,0.1748686343357243,0.1748686343357252,2.973973567052805e-13,1.9595341545420514e-07,5.193622557270773e-14
13,1.0000000000000004,1.0000000000000004,3.326176785878807e-25,5.767301609833499e-13,3.3261767858788057e-25,5.69084490397398e-16,15,0,0.45547979174664227,0.45547979174664166,5.219856597684763e-13,3.347558397232032e-07,0.17486863433572408,0.17486863433572522,3.8071941695498837e-13,2.2178740264357058e-07,6.650825638034961e-14
